"experiment","noise_var","noise_level","condition","n","mean_r","ci_low_r","ci_high_r"
"exp1","array_length","2","average",23,0.779696980210267,0.732778178128628,0.819237165591256
"exp1","array_length","6","average",23,0.750919126845071,0.694616243141858,0.798078457883595
"exp1","array_length","8","average",23,0.714994858453534,0.638975943186957,0.777182995627487
"exp1","array_length","12","average",23,0.724229392134909,0.634000352446967,0.79500511111925
"exp1","array_length","2","experience",21,0.81889738200614,0.764585090396741,0.861661690645119
"exp1","array_length","6","experience",21,0.766911478146153,0.686848355341316,0.828585048167417
"exp1","array_length","8","experience",21,0.721567819409257,0.636599204783016,0.789228079339918
"exp1","array_length","12","experience",21,0.789883322071821,0.732675320878308,0.83600742770735
"exp2","array_length","2","average",86,0.811850918880066,0.787758035570932,0.833463640694231
"exp2","array_length","10","average",86,0.743074044216817,0.714057866264803,0.76954167035245
"exp2","array_length","20","average",86,0.768963677818349,0.743932576587854,0.791839999725322
"exp2","array_length","2","experience",77,0.80924634365492,0.782574080832038,0.832953262116757
"exp2","array_length","10","experience",77,0.773720971921335,0.743140679579429,0.801076011612824
"exp2","array_length","20","experience",77,0.779329686265696,0.755328307246975,0.801243214832846
"exp3","array_length","2","average",46,0.813690915327565,0.781926025807645,0.841241126514929
"exp3","array_length","10","average",46,0.72624440184626,0.683115544119201,0.764325230501419
"exp3","array_length","20","average",46,0.755011875689253,0.71061089499289,0.793423097141101
"exp3","array_length","2","experience",38,0.79961646922173,0.762156262583104,0.831740080512115
"exp3","array_length","10","experience",38,0.80005061861635,0.753819893073913,0.838399526432281
"exp3","array_length","20","experience",38,0.802307478687451,0.764568990528833,0.834563812983713
"exp4","variance_level","3","average",51,0.825398830523468,0.802455087889144,0.845905601530603
"exp4","variance_level","5","average",51,0.785163778318883,0.757651070826324,0.809890928621256
"exp4","variance_level","7","average",51,0.710797302373069,0.672453610936663,0.745335835892614
"exp4","variance_level","3","experience",50,0.834133106669724,0.810838472588718,0.854789118824055
"exp4","variance_level","5","experience",50,0.777826251550924,0.749223436482938,0.803533132369251
"exp4","variance_level","7","experience",50,0.715266405876831,0.680735159727316,0.746625836294845
"exp2_batch2","array_length","2","average",57,0.817970694759553,0.790099800929856,0.842466520551132
"exp2_batch2","array_length","10","average",57,0.738645122745811,0.705342215090474,0.768694587640533
"exp2_batch2","array_length","20","average",57,0.77522153576117,0.748234398433325,0.799647402996251
"exp2_batch2","array_length","2","experience",47,0.824758328299072,0.79399391657958,0.851309248234526
"exp2_batch2","array_length","10","experience",47,0.774708138244084,0.734294514040457,0.809649539473881
"exp2_batch2","array_length","20","experience",47,0.799586739676821,0.774007228253818,0.822560566051989
"short_exposure","array_length","2","experience",37,0.833649370396536,0.803824082260837,0.859293924996683
"short_exposure","array_length","10","experience",37,0.789421918442173,0.755518660493854,0.819108120714202
"short_exposure","array_length","20","experience",37,0.788318789926114,0.748455720975065,0.822505916750333
