"experiment","label","noise_var","noise_level","condition","slope","SE","ci_low","ci_high"
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","2","average",0.902273572517312,0.060303079100254,0.782237361661352,1.02230978337327
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","2","experience",0.884599593674055,0.0622996917058892,0.760487065509445,1.00871212183866
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","6","average",0.803346679321562,0.0598071753285751,0.684235788434836,0.922457570208287
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","6","experience",0.825075890997066,0.0619032353011029,0.701700299957782,0.94845148203635
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","8","average",0.752447739900025,0.0603209639958254,0.632378325718991,0.872517154081059
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","8","experience",0.758941419671588,0.0622819911128818,0.634861300075274,0.883021539267901
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","12","average",0.707648671316003,0.059632852011055,0.588861547309892,0.826435795322113
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","12","experience",0.924771903102685,0.0628674159474433,0.799601444153475,1.04994236205189
"exp2","Experiment 2 - array size (2/10/20)","array_length","2","average",0.812431154660612,0.0142144506416222,0.784569045417826,0.840293263903397
"exp2","Experiment 2 - array size (2/10/20)","array_length","2","experience",0.921475288993687,0.0151610796860311,0.891757662320511,0.951192915666864
"exp2","Experiment 2 - array size (2/10/20)","array_length","10","average",0.680787288626542,0.014081644110251,0.653185500694009,0.708389076559076
"exp2","Experiment 2 - array size (2/10/20)","array_length","10","experience",0.829499083319311,0.0149072545409684,0.800278994374239,0.858719172264383
"exp2","Experiment 2 - array size (2/10/20)","array_length","20","average",0.740533715976852,0.0140637915555738,0.712966915176617,0.768100516777087
"exp2","Experiment 2 - array size (2/10/20)","array_length","20","experience",0.871092159314379,0.0151513787384413,0.841393548180707,0.90079077044805
"exp3","Experiment 3 - Mondrian frame (2/10/20)","array_length","2","average",0.825895523562813,0.0378434768912733,0.750924457462214,0.900866589663412
"exp3","Experiment 3 - Mondrian frame (2/10/20)","array_length","2","experience",0.880465177962554,0.0420598117019778,0.797176625031063,0.963753730894045
"exp3","Experiment 3 - Mondrian frame (2/10/20)","array_length","10","average",0.70085634813217,0.0381300096698201,0.625341523546803,0.776371172717537
"exp3","Experiment 3 - Mondrian frame (2/10/20)","array_length","10","experience",0.801319523772641,0.0415985471068584,0.718906102071063,0.883732945474218
"exp3","Experiment 3 - Mondrian frame (2/10/20)","array_length","20","average",0.74154689623891,0.0380348375245999,0.66621294286279,0.816880849615031
"exp3","Experiment 3 - Mondrian frame (2/10/20)","array_length","20","experience",0.885875846091564,0.0417685221427055,0.803140071733393,0.968611620449735
"exp4","Experiment 4 - stimulus variance (SD 3/5/7)","variance_level","3","average",1.07572624934324,0.0326122103332054,1.01119826570238,1.1402542329841
"exp4","Experiment 4 - stimulus variance (SD 3/5/7)","variance_level","3","experience",1.09687864395742,0.0328054825685477,1.03195823354838,1.16179905436646
"exp4","Experiment 4 - stimulus variance (SD 3/5/7)","variance_level","5","average",0.913124295246992,0.032552200168036,0.848710519365105,0.977538071128878
"exp4","Experiment 4 - stimulus variance (SD 3/5/7)","variance_level","5","experience",0.9647668162855,0.0329242985908137,0.899620284518461,1.02991334805254
"exp4","Experiment 4 - stimulus variance (SD 3/5/7)","variance_level","7","average",0.777532305779237,0.0325772947407451,0.713070779677247,0.841993831881227
"exp4","Experiment 4 - stimulus variance (SD 3/5/7)","variance_level","7","experience",0.860198766363864,0.0329580673753638,0.794987981657179,0.92540955107055
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","2","average",0.831192744018869,0.0171704051084934,0.797535021806846,0.864850466230891
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","2","experience",0.972186521035343,0.0193386294808638,0.9342785955753,1.01009444649539
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","10","average",0.688321672354819,0.0172428831303381,0.654521887120099,0.722121457589539
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","10","experience",0.821376244597062,0.0188432880245488,0.784439317190462,0.858313172003661
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","20","average",0.75888202083898,0.017084799104414,0.725392100616004,0.792371941061956
"exp2_batch2","Partial snapshot of Experiment 2 (subset, not independent)","array_length","20","experience",0.915967152343142,0.0193827607352738,0.877972725287172,0.953961579399111
"short_exposure","Pilot - short exposure, experience only (2/10/20)","array_length","2","experience",0.915769113385312,0.0367454413532002,0.842224557226766,0.989313669543859
"short_exposure","Pilot - short exposure, experience only (2/10/20)","array_length","10","experience",0.835897611140335,0.0367562721930752,0.762333143924597,0.909462078356073
"short_exposure","Pilot - short exposure, experience only (2/10/20)","array_length","20","experience",0.857464773674832,0.0370153335309956,0.783425558255036,0.931503989094628
