"experiment","label","noise_var","noise_level","model","condition","slope","SE","ci_low","ci_high"
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","2","combined","average",0.585004135704001,0.0258004143156891,0.534420178373516,0.635588093034485
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","2","combined","experience",0.684008269027554,0.0282945123156379,0.628534115513605,0.739482422541502
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","6","combined","average",0.594764860314732,0.0265032591472774,0.54280322401033,0.646726496619134
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","6","combined","experience",0.609961508873244,0.027089281034095,0.556850961312123,0.663072056434366
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","8","combined","average",0.586176336978228,0.0280051294093035,0.531269505533962,0.641083168422493
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","8","combined","experience",0.590718674991667,0.0282753378073066,0.53528211896954,0.646155231013793
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","12","combined","average",0.605866725378303,0.0285523468994519,0.54988704638254,0.661846404374066
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","12","combined","experience",0.599893442467109,0.0263532267721311,0.548225975267123,0.651560909667095
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","2","experience","experience",0.678577328984037,0.0278233377186155,0.624010041946338,0.733144616021737
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","6","experience","experience",0.609188820570373,0.0267626640613061,0.556701595576994,0.661676045563752
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","8","experience","experience",0.588629942493182,0.0279590091248432,0.533796526043933,0.643463358942431
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","12","experience","experience",0.598536339472396,0.0260553537328509,0.547436226979612,0.64963645196518
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","2","average","average",0.580591161548204,0.0262573295461357,0.52909798525892,0.632084337837488
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","6","average","average",0.594153399417854,0.027052891577233,0.541099977527658,0.64720682130805
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","8","average","average",0.582984889668611,0.028625804087008,0.526846888580775,0.639122890756447
"exp1","Experiment 1 - array size (2/6/8/12)","array_length","12","average","average",0.604253164564069,0.0290192496057179,0.547343625342098,0.661162703786039
"exp2","Experiment 2 - array size (2/10/20)","array_length","2","combined","average",0.74148056917482,0.0125572821686451,0.716866720073257,0.766094418276382
"exp2","Experiment 2 - array size (2/10/20)","array_length","2","combined","experience",0.642316175250652,0.0116984885271059,0.619385668237011,0.665246682264294
"exp2","Experiment 2 - array size (2/10/20)","array_length","10","combined","average",0.737919048780213,0.0135304309788927,0.711397700663195,0.764440396897231
"exp2","Experiment 2 - array size (2/10/20)","array_length","10","combined","experience",0.641955575802328,0.0121092838242557,0.618219852224885,0.665691299379771
"exp2","Experiment 2 - array size (2/10/20)","array_length","20","combined","average",0.730987363813915,0.0129038725638438,0.705694141513261,0.756280586114569
"exp2","Experiment 2 - array size (2/10/20)","array_length","20","combined","experience",0.62003401233534,0.0118197994674055,0.596865716979606,0.643202307691074
