"comparison","model","frame","condition","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"compare_exp2_exp3","both conditions","no frame","average","2",0.812246212252504,0.014106903797811,22183.50926656,0.784595680223362,0.839896744281647,57.5779224055204,0
"compare_exp2_exp3","both conditions","Mondrian frame","average","2",0.822524277245641,0.019086262554609,22168.9191365484,0.785113847529915,0.859934706961368,43.0950939133452,0
"compare_exp2_exp3","both conditions","no frame","experience","2",0.921607773860002,0.0150448079379748,22133.4744013958,0.89211887955435,0.951096668165655,61.2575300169675,0
"compare_exp2_exp3","both conditions","Mondrian frame","experience","2",0.879533888201284,0.0219079837519973,22170.2359754899,0.836592684738091,0.922475091664477,40.1467290718207,0
"compare_exp2_exp3","both conditions","no frame","average","10",0.680775354500873,0.0139704118279065,22232.3654154121,0.653392359697349,0.708158349304397,48.7297985833886,0
"compare_exp2_exp3","both conditions","Mondrian frame","average","10",0.700469967171519,0.0196389569945084,22213.6584498584,0.661976221345802,0.738963712997235,35.6673711016012,5.44131289104841e-271
"compare_exp2_exp3","both conditions","no frame","experience","10",0.829448159511348,0.0147895685736152,22223.1185313867,0.800459558920265,0.858436760102431,56.0833235521889,0
"compare_exp2_exp3","both conditions","Mondrian frame","experience","10",0.791282634498775,0.0208936206898193,22228.0106811743,0.750329660461475,0.832235608536074,37.8719728019346,3.32338412265449e-304
"compare_exp2_exp3","both conditions","no frame","average","20",0.740569056431179,0.0139503648530677,22180.554734015,0.713225351638111,0.767912761224247,53.0859991284261,0
"compare_exp2_exp3","both conditions","Mondrian frame","average","20",0.741032662373323,0.0195194917748809,22171.3382479038,0.702773072854879,0.779292251891766,37.9637272793616,1.33444086469291e-305
"compare_exp2_exp3","both conditions","no frame","experience","20",0.870979992328746,0.0150296955422116,22156.7296286206,0.841520721085281,0.900439263572211,57.9506078404955,0
"compare_exp2_exp3","both conditions","Mondrian frame","experience","20",0.887725777153924,0.0212486667053737,22110.9325050993,0.846076875810067,0.929374678497781,41.7779519751901,0
