"grouping","weighting","level","n_trials","sd_true","sd_rating","sd_ratio","r","forward","reverse"
"number of faces","as shown","1",582,12.5432170245228,12.9622417551467,1.03340648015615,0.800551657452798,0.827295270511465,0.774672573498703
"number of faces","as shown","10",572,8.35145348132676,10.5675379161152,1.26535314358674,0.578530007450312,0.732044763586511,0.457208337753385
"number of faces","as shown","11",657,8.72334329894119,10.4508880984181,1.19803700717437,0.470099404058324,0.563196483112491,0.392391387948086
"number of faces","as shown","12",513,8.34298280105951,10.3664974177838,1.24254090712824,0.531398313987956,0.660284143109011,0.427670679443563
"number of faces","as shown","2",534,10.8643161122671,11.1020034168527,1.02187779719676,0.712209707338834,0.727791286877554,0.69696172017103
"number of faces","as shown","3",603,9.84121054881985,10.2952796781296,1.0461395604796,0.618628675120647,0.647171930290789,0.591344308628421
"number of faces","as shown","4",564,10.7312901140631,11.0985880146793,1.03422681678644,0.666154000496226,0.688954331422766,0.644108226245869
"number of faces","as shown","5",601,10.5071948424296,10.6039259175572,1.00920617506177,0.559446829506885,0.564597194957079,0.55434344669229
"number of faces","as shown","6",612,7.76769677028553,9.69020467635185,1.2475003804758,0.51012481785203,0.636380904360556,0.408917564944923
"number of faces","as shown","7",717,8.92100463180344,10.220305924305,1.14564517631451,0.554829634284123,0.635637894193946,0.484294479438204
"number of faces","as shown","8",699,9.228153160699,10.5156628661984,1.13951975905457,0.459092656247231,0.523145153030569,0.402882576277683
"number of faces","as shown","9",650,9.13519558022664,10.3344661723024,1.13128023166484,0.541089118347635,0.612123423155638,0.478298040752772
"number of faces","matched","1",347,8.22631554677453,11.5808115642823,1.40777623936672,0.748560924253343,1.05380628288225,0.531732887173942
"number of faces","matched","10",451,7.85679986419586,10.3118049448737,1.31246883249063,0.534186799078661,0.70110352451868,0.407009131077765
"number of faces","matched","11",508,7.75420689073144,9.93593753377981,1.28136090173918,0.397603747911369,0.50947389695859,0.310298017811926
"number of faces","matched","12",467,7.93230614475123,10.0828798785005,1.27111582615509,0.517924964774911,0.658342619486206,0.407456939893155
"number of faces","matched","2",403,7.55683038985777,9.9102064119249,1.3114236922964,0.582833943528431,0.764342242217725,0.444428407807584
"number of faces","matched","3",465,7.57472387451058,9.60120421694978,1.26753190954702,0.540226046272669,0.684753752019032,0.426203113470912
"number of faces","matched","4",411,8.07921365690567,10.1628454626786,1.25790032226614,0.567148948095567,0.713416844582314,0.450869546701312
"number of faces","matched","5",418,7.6456494507861,9.69167875766239,1.26760699925445,0.475573445339377,0.602840227971747,0.375174202745085
"number of faces","matched","6",534,7.79232364602731,9.75452602599164,1.25181222817467,0.513837593439866,0.643228182763871,0.410474975299704
"number of faces","matched","7",569,7.6894303274134,9.75887609265398,1.26912861904254,0.394302965526482,0.500421178123002,0.310687947312979
"number of faces","matched","8",561,7.8525236564991,9.93151682659776,1.26475477961508,0.407714209858477,0.515658495635496,0.322366213933234
"number of faces","matched","9",545,7.80664154336286,9.87748985526094,1.26526750336817,0.476973682755436,0.603499300752291,0.376974577696592
"cluster","as shown","1-4 faces",2283,11.0456896546957,11.4189135818714,1.0337891013457,0.709646491459231,0.733624808678766,0.686451898685597
"cluster","as shown","5-8 faces",2629,9.17821065221777,10.2732529284524,1.11930890646642,0.520019324034404,0.582062260926357,0.464589641903294
"cluster","as shown","9-12 faces",2392,8.75737671707221,10.4335793628768,1.19140465232435,0.525548314938943,0.626140707439482,0.4411165542401
"cluster","matched","1-4 faces",1955,8.7271378689132,10.3065201152844,1.18097367889616,0.630175239805835,0.744220371302768,0.533606507127958
"cluster","matched","5-8 faces",2577,8.75431779083288,10.0925675997139,1.15286740107634,0.494412195070574,0.569991702391464,0.428854345789446
"cluster","matched","9-12 faces",2392,8.84392785933278,10.4721235249952,1.18410322783719,0.530586594903203,0.628269299672028,0.448091502860218
