"direction","side","cluster","n_trials","n_participants","mean_true","mean_rating","effect"
"forward","high","1-4 faces",156,49,145.044903846154,141.371794871795,3.67310897435897
"forward","high","5-8 faces",111,30,141.206,137.765765765766,3.44023423423424
"forward","high","9-12 faces",71,43,140.849521126761,137.12676056338,3.72276056338028
"forward","low","1-4 faces",306,50,106.323300653595,112.673202614379,6.34990196078431
"forward","low","5-8 faces",146,49,108.52202739726,118.184931506849,9.66290410958904
"forward","low","9-12 faces",37,26,109.747756756757,119.351351351351,9.6035945945946
"reverse","high","1-4 faces",336,48,135.50893452381,145.309523809524,9.80058928571429
"reverse","high","5-8 faces",370,47,131.751183783784,145.008108108108,13.2569243243243
"reverse","high","9-12 faces",338,50,131.367517751479,145.292899408284,13.9253816568047
"reverse","low","1-4 faces",176,44,110.420488636364,105.3125,5.10798863636364
"reverse","low","5-8 faces",142,43,116.826485915493,105.30985915493,11.5166267605634
"reverse","low","9-12 faces",132,46,116.897742424242,105.340909090909,11.5568333333333
