"weighting","direction","side","term","estimate","ci_low","ci_high","p"
"as shown","forward","low","1-4 faces",7.00622137073453,5.07297529722787,9.11083217971466,NA
"as shown","forward","low","5-8 faces",9.79991865703661,8.17017439381749,11.5997448556722,NA
"as shown","forward","low","9-12 faces",7.05002589807853,1.71384644480294,14.0072380052564,NA
"as shown","forward","low","5-8 faces - 1-4 faces",2.79369728630209,0.0865615626023899,5.58419571067058,0.04
"as shown","forward","low","9-12 faces - 1-4 faces",0.043804527344002,-6.35847972868255,7.84238488773583,0.97
"as shown","forward","low","9-12 faces - 5-8 faces",-2.74989275895808,-8.38477402689312,4.47842503491116,0.392
"as shown","forward","high","1-4 faces",-1.00823842823843,-3.46991646982828,2.7728667388973,NA
"as shown","forward","high","5-8 faces",2.83599702380953,0.995160503534464,4.60583970354081,NA
"as shown","forward","high","9-12 faces",3.50989547119547,1.55426555841991,5.45653725243715,NA
"as shown","forward","high","5-8 faces - 1-4 faces",3.84423545204796,-0.346029213725643,6.93108378124836,0.066
"as shown","forward","high","9-12 faces - 1-4 faces",4.5181338994339,0.383719465222162,7.61499304253989,0.042
"as shown","forward","high","9-12 faces - 5-8 faces",0.673898447385946,-1.85163794684366,3.47319197644021,0.622
"as shown","forward","both","1-4 faces",2.99899147124805,1.12370205958825,5.2344077770384,NA
"as shown","forward","both","5-8 faces",6.31795784042307,4.98866036132229,7.60335274104552,NA
"as shown","forward","both","9-12 faces",5.279960684637,2.24514468353927,9.26621489490802,NA
"as shown","forward","both","5-8 faces - 1-4 faces",3.31896636917502,0.622823579958038,5.43952379341388,0.018
"as shown","forward","both","9-12 faces - 1-4 faces",2.28096921338895,-1.48195890715369,6.65876526563621,0.27
"as shown","forward","both","9-12 faces - 5-8 faces",-1.03799715578607,-4.34004344427859,2.94413076772554,0.578
"as shown","reverse","low","1-4 faces",5.08645785717492,3.08655682705533,7.08917484518175,NA
"as shown","reverse","low","5-8 faces",11.5535475555556,9.94546285963611,13.2524568121292,NA
"as shown","reverse","low","9-12 faces",11.5856924844845,10.1534834882974,13.1497979747288,NA
"as shown","reverse","low","5-8 faces - 1-4 faces",6.46708969838063,4.65216870233042,8.32572251352265,0
"as shown","reverse","low","9-12 faces - 1-4 faces",6.49923462730956,4.91948474281069,8.1772702608576,0
"as shown","reverse","low","9-12 faces - 5-8 faces",0.0321449289289273,-1.65015350210964,1.82260846025789,0.946
"as shown","reverse","high","1-4 faces",9.67932736877787,8.33264991139271,10.8856449253029,NA
"as shown","reverse","high","5-8 faces",13.331282363315,12.1315753554898,14.5944175758832,NA
"as shown","reverse","high","9-12 faces",13.7500619020518,12.5494383983398,14.8112000608161,NA
"as shown","reverse","high","5-8 faces - 1-4 faces",3.65195499453713,2.49940206418759,4.81166403509315,0
"as shown","reverse","high","9-12 faces - 1-4 faces",4.07073453327388,2.89320115422679,5.20717909313225,0
"as shown","reverse","high","9-12 faces - 5-8 faces",0.418779538736757,-0.603952877982747,1.38969166890574,0.424
"as shown","reverse","both","1-4 faces",7.3828926129764,5.92394699465282,8.7840932733896,NA
"as shown","reverse","both","5-8 faces",12.4424149594353,11.2551730054308,13.6812855282342,NA
"as shown","reverse","both","9-12 faces",12.6678771932681,11.6403136783384,13.7049115062292,NA
"as shown","reverse","both","5-8 faces - 1-4 faces",5.05952234645888,3.98442084629989,6.2205360629021,0
"as shown","reverse","both","9-12 faces - 1-4 faces",5.28498458029172,4.29634913892208,6.39082751487822,0
"as shown","reverse","both","9-12 faces - 5-8 faces",0.225462233832843,-0.785893978589756,1.18270309527599,0.598
"matched","forward","low","1-4 faces",7.15727598676742,5.24875081790493,9.31863646498765,NA
"matched","forward","low","5-8 faces",9.94494712286924,8.34382246240099,11.7301812968828,NA
"matched","forward","low","9-12 faces",8.20609776129011,2.66904003062177,14.6604307290962,NA
"matched","forward","low","5-8 faces - 1-4 faces",2.78767113610182,0.0617562325064137,5.37003737694734,0.046
"matched","forward","low","9-12 faces - 1-4 faces",1.0488217745227,-5.05883171339268,8.01245050784867,0.77
"matched","forward","low","9-12 faces - 5-8 faces",-1.73884936157913,-7.30536628837179,5.12419230577321,0.582
"matched","forward","high","1-4 faces",-0.79017037735488,-3.29784810064297,3.01188013624488,NA
"matched","forward","high","5-8 faces",2.86328468727129,0.954898047487273,4.88407471235392,NA
"matched","forward","high","9-12 faces",3.45048060159462,1.55235813854849,5.34003349113726,NA
"matched","forward","high","5-8 faces - 1-4 faces",3.65345506462617,-0.484826568707535,6.88503595706455,0.086
"matched","forward","high","9-12 faces - 1-4 faces",4.2406509789495,0.147500983342831,7.24375630605678,0.048
"matched","forward","high","9-12 faces - 5-8 faces",0.587195914323335,-2.07961653134911,3.43656554682483,0.67
"matched","forward","both","1-4 faces",3.18355280470627,1.24335110768919,5.45828703861873,NA
"matched","forward","both","5-8 faces",6.40411590507026,5.07753782611835,7.7021746058581,NA
"matched","forward","both","9-12 faces",5.82828918144237,2.92355864777141,9.52009779777697,NA
"matched","forward","both","5-8 faces - 1-4 faces",3.220563100364,0.3951110855837,5.47227228996309,0.032
"matched","forward","both","9-12 faces - 1-4 faces",2.6447363767361,-0.980637940578597,6.56172518240557,0.17
"matched","forward","both","9-12 faces - 5-8 faces",-0.575826723627896,-3.86469519961797,3.18759105442622,0.728
"matched","reverse","low","1-4 faces",10.9674780458453,8.66154725744789,12.8793077546986,NA
"matched","reverse","low","5-8 faces",12.676448143137,10.6944804451007,14.452407231634,NA
"matched","reverse","low","9-12 faces",11.3953334268626,9.99554126067324,13.0395141870949,NA
"matched","reverse","low","5-8 faces - 1-4 faces",1.70897009729175,-0.595592980127244,3.94359145905876,0.13
"matched","reverse","low","9-12 faces - 1-4 faces",0.427855381017352,-1.24897243388684,2.36716025581613,0.54
"matched","reverse","low","9-12 faces - 5-8 faces",-1.2811147162744,-2.84681999371912,0.575092537245257,0.192
"matched","reverse","high","1-4 faces",12.1739450160248,11.0746885331029,13.290933645982,NA
"matched","reverse","high","5-8 faces",13.4665968551839,12.2360975831402,14.708840751011,NA
"matched","reverse","high","9-12 faces",13.5447366881438,12.2945560638972,14.6053689519306,NA
"matched","reverse","high","5-8 faces - 1-4 faces",1.29265183915911,0.0281290200986573,2.48924309173524,0.04
"matched","reverse","high","9-12 faces - 1-4 faces",1.37079167211895,0.0326348901279712,2.48392923089698,0.048
"matched","reverse","high","9-12 faces - 5-8 faces",0.0781398329598453,-0.904644842547219,1.07164611732834,0.94
"matched","reverse","both","1-4 faces",11.5707115309351,10.0374082050638,12.8427754600839,NA
"matched","reverse","both","5-8 faces",13.0715224991605,11.7752408913643,14.3081241523612,NA
"matched","reverse","both","9-12 faces",12.4700350575032,11.4183282816049,13.5546939085425,NA
"matched","reverse","both","5-8 faces - 1-4 faces",1.50081096822543,0.14336929518314,2.87947533459039,0.032
"matched","reverse","both","9-12 faces - 1-4 faces",0.899323526568152,-0.260463015494874,2.15940837464482,0.14
"matched","reverse","both","9-12 faces - 5-8 faces",-0.601487441657277,-1.59074782834471,0.457551811478891,0.3
