"direction","side","cluster","emmean","SE","df","ci_low","ci_high"
"forward","low","1-4 faces",6.34405152005544,0.731754886832051,156.881398912531,4.89868871084501,7.78941432926588
"forward","low","5-8 faces",9.30677383022121,1.02725699890619,340.454763974145,7.28620415444862,11.3273435059938
"forward","low","9-12 faces",6.1777861453033,1.70518830428174,472.945144576812,2.82710377705781,9.52846851354879
"forward","high","1-4 faces",4.03873932318754,0.95972225686636,129.280664073245,2.1399443618518,5.93753428452329
"forward","high","5-8 faces",6.59129735266227,1.51946837617529,288.539255221883,3.60064983470386,9.58194487062068
"forward","high","9-12 faces",7.34645995432573,1.67874719668158,309.801002450909,4.04327155180828,10.6496483568432
"forward","both, shift removed","1-4 faces",4.82100469985457,0.651607475269603,126.32571706628,3.53152489748526,6.11048450222388
"forward","both, shift removed","5-8 faces",8.2996610799311,0.952296930100095,387.519546242662,6.42734579537966,10.1719763644825
"forward","both, shift removed","9-12 faces",7.24132992051382,1.21236819041703,629.701150658249,4.8605559381032,9.62210390292443
"reverse","low","1-4 faces",4.33929442024959,0.728920435107906,125.703572383185,2.8967493267095,5.78183951378968
"reverse","low","5-8 faces",10.7801038894794,0.78427035546324,156.075213191466,9.23095028940773,12.3292574895511
"reverse","low","9-12 faces",10.622046843448,0.796733120692184,169.128047539877,9.04922422089443,12.1948694660016
"reverse","high","1-4 faces",9.01580992143555,0.574261790485249,131.446415388772,7.87981908078721,10.1518007620839
"reverse","high","5-8 faces",12.7598366136193,0.560726750003615,117.008839413882,11.6493475446129,13.8703256826257
"reverse","high","9-12 faces",13.0269180193313,0.575537567911275,133.554197840674,11.8885703707367,14.1652656679259
"reverse","both, shift removed","1-4 faces",6.81935111657519,0.509150660253943,122.741003696272,5.81149747642916,7.82720475672122
"reverse","both, shift removed","5-8 faces",11.8968117405027,0.528358324395122,139.587947190657,10.8521920673479,12.9414314136574
"reverse","both, shift removed","9-12 faces",12.0087722829179,0.538935554003832,151.407877228015,10.9439671664552,13.0735773993806
