"direction","valence","faces","slope","SE","ci_low","ci_high"
"forward","positive",1,0.796064002714071,0.0492352642424568,0.699564658029543,0.892563347398599
"forward","positive",2,0.706465518123177,0.046094339987527,0.61612227185648,0.796808764389875
"forward","positive",3,0.667083861550953,0.0507251573423052,0.567664380049907,0.766503343051998
"forward","positive",4,0.695711671927812,0.0534556559157635,0.59094051156295,0.800482832292674
"forward","positive",5,0.600375156277617,0.0481624564555553,0.50597847621775,0.694771836337484
"forward","positive",6,0.677602035876832,0.0679374766371107,0.544447028467564,0.810757043286101
"forward","positive",7,0.657008890798012,0.0755875557078087,0.508860003931292,0.805157777664732
"forward","positive",8,0.485548689348255,0.0551612144957022,0.37743469559319,0.59366268310332
"forward","positive",9,0.631469722363073,0.051041222396876,0.531430764738297,0.731508679987849
"forward","positive",10,0.756685809518467,0.0758369471441311,0.608048124418503,0.905323494618432
"forward","positive",11,0.566011838871578,0.0676111074964195,0.43349650322373,0.698527174519426
"forward","positive",12,0.613104010916051,0.0738465128453331,0.468367505355324,0.757840516476779
"forward","negative",1,0.838717123617255,0.0435331251133827,0.753393766260549,0.924040480973961
"forward","negative",2,0.718595688632137,0.0696072598893292,0.582167966186532,0.855023411077741
"forward","negative",3,0.605252846473332,0.0609818806396124,0.485730556710171,0.724775136236492
"forward","negative",4,0.690651261685157,0.0507285185232941,0.591225192390427,0.790077330979886
"forward","negative",5,0.497184648543021,0.0568477571891983,0.385765091850315,0.608604205235728
"forward","negative",6,0.603186096387769,0.0654168393263707,0.474971447325639,0.731400745449899
"forward","negative",7,0.612666156335404,0.0526281677101222,0.509516843051231,0.715815469619577
"forward","negative",8,0.556476487023076,0.0528340566505043,0.452923638830939,0.660029335215213
"forward","negative",9,0.544656494294429,0.0656507648799362,0.415983359572247,0.673329629016611
"forward","negative",10,0.719631361567023,0.0574542831318687,0.607023035870994,0.832239687263053
"forward","negative",11,0.569667345534023,0.0526735280491855,0.466429127618959,0.672905563449087
"forward","negative",12,0.694315818586391,0.0641834742151762,0.56851852072199,0.820113116450791
"reverse","positive",1,0.674812713821611,0.0400277605149807,0.596359744830454,0.753265682812767
"reverse","positive",2,0.807840960582747,0.0415922204471137,0.726321706469354,0.889360214696141
"reverse","positive",3,0.596189348163296,0.0411926190337952,0.515453298428178,0.676925397898414
"reverse","positive",4,0.697245617278636,0.0464257448033664,0.606252829508591,0.788238405048682
"reverse","positive",5,0.588246665118816,0.0405515902497538,0.508767008713473,0.667726321524159
"reverse","positive",6,0.431411499445239,0.0480834122357706,0.337169743209336,0.525653255681142
"reverse","positive",7,0.36215258320175,0.047813487440311,0.268439869843482,0.455865296560018
"reverse","positive",8,0.426351128909595,0.0445532937920437,0.339028277684558,0.513673980134633
"reverse","positive",9,0.631546846073969,0.0442684040452717,0.544782368492169,0.718311323655769
"reverse","positive",10,0.406868220536928,0.0486983340711023,0.311421239650468,0.502315201423389
"reverse","positive",11,0.380303341555724,0.046620102872441,0.288929618970188,0.471677064141261
"reverse","positive",12,0.327041531483083,0.048552992950705,0.231879413958074,0.422203649008092
"reverse","negative",1,0.870018334328761,0.0381608940854311,0.795224356303468,0.944812312354053
"reverse","negative",2,0.523982470003604,0.0516277174435408,0.422794003210253,0.625170936796954
"reverse","negative",3,0.663914795607534,0.0548381642231142,0.556433968751937,0.77139562246313
"reverse","negative",4,0.625662040995189,0.042163986413559,0.543022146179978,0.708301935810401
"reverse","negative",5,0.564414961006142,0.0518663961132435,0.462758692616296,0.666071229395987
"reverse","negative",6,0.434995638597026,0.0481630594275287,0.340597776733807,0.529393500460244
"reverse","negative",7,0.491969969881379,0.0412507470450695,0.41111999133767,0.572819948425087
"reverse","negative",8,0.426044017988205,0.0404449532531708,0.346773366255584,0.505314669720826
"reverse","negative",9,0.353427014885258,0.0445521007455756,0.26610650198833,0.440747527782187
"reverse","negative",10,0.523395149214108,0.0437078699767426,0.437729298218733,0.609061000209483
"reverse","negative",11,0.463965878819504,0.0414566316431848,0.382712373878518,0.545219383760489
"reverse","negative",12,0.549056628547585,0.0499229091644097,0.451209524581877,0.646903732513293
