"cluster","rating","mean_objective","n"
"1-4 faces",101,108.390777777778,45
"1-4 faces",102,109.71875,8
"1-4 faces",103,109.1,10
"1-4 faces",104,108.555583333333,12
"1-4 faces",105,110.303090909091,11
"1-4 faces",106,110.934571428571,14
"1-4 faces",107,109.9445,12
"1-4 faces",108,110.734142857143,21
"1-4 faces",109,113.78672,25
"1-4 faces",110,112.7315,18
"1-4 faces",111,111.479492753623,138
"1-4 faces",112,113.401296296296,27
"1-4 faces",113,116.782388888889,18
"1-4 faces",114,114.807888888889,36
"1-4 faces",115,117.95,35
"1-4 faces",116,118.659945945946,37
"1-4 faces",117,116.625032258065,62
"1-4 faces",118,116.9517,50
"1-4 faces",119,118.281434782609,69
"1-4 faces",120,120.315746478873,71
"1-4 faces",121,118.467871428571,70
"1-4 faces",122,121.123301369863,73
"1-4 faces",123,122.231477777778,90
"1-4 faces",124,123.701416666667,84
"1-4 faces",125,122.844916666667,72
"1-4 faces",126,123.086989130435,92
"1-4 faces",127,125.131972222222,72
"1-4 faces",128,123.937516666667,60
"1-4 faces",129,126.827037974684,79
"1-4 faces",130,125.051096774194,62
"1-4 faces",131,128.864052631579,76
"1-4 faces",132,128.201292307692,65
"1-4 faces",133,130.552109375,64
"1-4 faces",134,128.911884615385,52
"1-4 faces",135,130.410837209302,43
"1-4 faces",136,130.717487804878,41
"1-4 faces",137,130.15037254902,51
"1-4 faces",138,133.032979166667,48
"1-4 faces",139,132.502441176471,34
"1-4 faces",140,133.05,40
"1-4 faces",141,133.122222222222,45
"1-4 faces",142,135.6375,20
"1-4 faces",143,134.438735294118,34
"1-4 faces",144,136.129611111111,18
"1-4 faces",145,136.1375,20
"1-4 faces",146,135.284294117647,17
"1-4 faces",147,135.5042,20
"1-4 faces",148,137.986166666667,12
"1-4 faces",149,132.442307692308,13
"1-4 faces",150,137.87887628866,97
"5-8 faces",101,116.284925,40
"5-8 faces",102,118.175375,8
"5-8 faces",103,116.4684,5
"5-8 faces",104,115.040125,8
"5-8 faces",105,116.84325,12
"5-8 faces",106,113.668,7
"5-8 faces",107,116.3929,10
"5-8 faces",108,117.272,13
"5-8 faces",109,121.8848,15
"5-8 faces",110,115.64025,24
"5-8 faces",111,115.303728395062,81
"5-8 faces",112,117.529739130435,23
"5-8 faces",113,116.067970588235,34
"5-8 faces",114,118.006764705882,34
"5-8 faces",115,120.214267857143,56
"5-8 faces",116,120.028963636364,55
"5-8 faces",117,117.592603448276,58
"5-8 faces",118,118.949758064516,62
"5-8 faces",119,121.220214285714,70
"5-8 faces",120,121.404779220779,77
"5-8 faces",121,121.255422222222,90
"5-8 faces",122,121.408395833333,96
"5-8 faces",123,122.22595049505,101
"5-8 faces",124,122.487674698795,83
"5-8 faces",125,122.193297029703,101
"5-8 faces",126,123.692947916667,96
"5-8 faces",127,124.211815533981,103
"5-8 faces",128,125.038865168539,89
"5-8 faces",129,125.099132653061,98
"5-8 faces",130,125.977321428571,84
"5-8 faces",131,127.744186813187,91
"5-8 faces",132,126.697876712329,73
"5-8 faces",133,126.985966666667,90
"5-8 faces",134,128.21412195122,82
"5-8 faces",135,128.510575757576,66
"5-8 faces",136,128.07823943662,71
"5-8 faces",137,127.8824375,64
"5-8 faces",138,129.88,42
"5-8 faces",139,130.391021276596,47
"5-8 faces",140,129.751916666667,48
"5-8 faces",141,129.205904761905,42
"5-8 faces",142,131.18734375,32
"5-8 faces",143,131.297909090909,33
"5-8 faces",144,129.919310344828,29
"5-8 faces",145,129.984193548387,31
"5-8 faces",146,133.070947368421,19
"5-8 faces",147,136.26865,20
"5-8 faces",148,134.133363636364,11
"5-8 faces",149,132.440666666667,15
"5-8 faces",150,133.882266666667,90
"9-12 faces",101,116.084486486486,37
"9-12 faces",102,114.266,4
"9-12 faces",103,115.184166666667,6
"9-12 faces",104,118.350875,8
"9-12 faces",105,119.057166666667,6
"9-12 faces",106,116.687916666667,12
"9-12 faces",107,117.290833333333,12
"9-12 faces",108,117.8944,15
"9-12 faces",109,117.101875,16
"9-12 faces",110,117.266625,16
"9-12 faces",111,116.774028985507,69
"9-12 faces",112,119.210962962963,27
"9-12 faces",113,118.849125,24
"9-12 faces",114,119.16452,25
"9-12 faces",115,120.495545454545,33
"9-12 faces",116,118.156307692308,39
"9-12 faces",117,118.645319148936,47
"9-12 faces",118,118.858767123288,73
"9-12 faces",119,119.234245614035,57
"9-12 faces",120,121.274666666667,78
"9-12 faces",121,121.359454545455,66
"9-12 faces",122,122.372807228916,83
"9-12 faces",123,122.6166625,80
"9-12 faces",124,121.357074074074,81
"9-12 faces",125,124.471073170732,82
"9-12 faces",126,122.58985106383,94
"9-12 faces",127,123.849441176471,102
"9-12 faces",128,126.030375,88
"9-12 faces",129,124.784,98
"9-12 faces",130,125.301657894737,76
"9-12 faces",131,125.894966666667,90
"9-12 faces",132,128.0415,86
"9-12 faces",133,127.490106666667,75
"9-12 faces",134,127.982371428571,70
"9-12 faces",135,128.069845070423,71
"9-12 faces",136,129.242169491525,59
"9-12 faces",137,128.968807692308,52
"9-12 faces",138,127.5356875,48
"9-12 faces",139,129.831897959184,49
"9-12 faces",140,129.855166666667,42
"9-12 faces",141,131.326096774194,31
"9-12 faces",142,131.432804878049,41
"9-12 faces",143,131.592904761905,21
"9-12 faces",144,128.198045454545,22
"9-12 faces",145,132.7282,20
"9-12 faces",146,131.152866666667,30
"9-12 faces",147,135.305,10
"9-12 faces",148,131.6045,10
"9-12 faces",149,131.409266666667,15
"9-12 faces",150,132.0339375,96
