"participant_id","condition","array_length","n_trials","n_eligible","n_exaggerated","prop_exagg"
"average.55ec49b67480920010aaa4e8","average","2",24,13,5,0.208333333333333
"average.55ec49b67480920010aaa4e8","average","6",23,12,3,0.130434782608696
"average.55ec49b67480920010aaa4e8","average","8",23,10,4,0.173913043478261
"average.55ec49b67480920010aaa4e8","average","12",21,14,3,0.142857142857143
"average.581e0aee4182b600017307ea","average","2",23,14,2,0.0869565217391304
"average.581e0aee4182b600017307ea","average","6",24,10,0,0
"average.581e0aee4182b600017307ea","average","8",23,10,0,0
"average.581e0aee4182b600017307ea","average","12",22,8,0,0
"average.5a8b61fcf1408d000176b02f","average","2",24,11,3,0.125
"average.5a8b61fcf1408d000176b02f","average","6",21,11,4,0.19047619047619
"average.5a8b61fcf1408d000176b02f","average","8",22,13,3,0.136363636363636
"average.5a8b61fcf1408d000176b02f","average","12",24,16,2,0.0833333333333333
"average.5dd42e7f35cf744223c60d1b","average","2",24,9,1,0.0416666666666667
"average.5dd42e7f35cf744223c60d1b","average","6",24,17,0,0
"average.5dd42e7f35cf744223c60d1b","average","8",22,10,1,0.0454545454545455
"average.5dd42e7f35cf744223c60d1b","average","12",23,10,2,0.0869565217391304
"average.5e2f4ab6fb987e078bf5f68e","average","2",24,13,1,0.0416666666666667
"average.5e2f4ab6fb987e078bf5f68e","average","6",24,14,2,0.0833333333333333
"average.5e2f4ab6fb987e078bf5f68e","average","8",22,11,0,0
"average.5e2f4ab6fb987e078bf5f68e","average","12",22,13,3,0.136363636363636
"average.615921b85071b9caef6148d8","average","2",24,12,2,0.0833333333333333
"average.615921b85071b9caef6148d8","average","6",23,13,4,0.173913043478261
"average.615921b85071b9caef6148d8","average","8",24,13,4,0.166666666666667
"average.615921b85071b9caef6148d8","average","12",22,17,2,0.0909090909090909
"average.62cd43d66c2dd7ae9ab53ae7","average","2",23,13,4,0.173913043478261
"average.62cd43d66c2dd7ae9ab53ae7","average","6",23,11,3,0.130434782608696
"average.62cd43d66c2dd7ae9ab53ae7","average","8",22,12,5,0.227272727272727
"average.62cd43d66c2dd7ae9ab53ae7","average","12",24,15,3,0.125
"average.6422f34be2b8257efb345837","average","2",24,11,4,0.166666666666667
"average.6422f34be2b8257efb345837","average","6",23,11,1,0.0434782608695652
"average.6422f34be2b8257efb345837","average","8",24,17,1,0.0416666666666667
"average.6422f34be2b8257efb345837","average","12",24,13,0,0
"average.661415341b1fdb1844c6f6a6","average","2",24,12,2,0.0833333333333333
"average.661415341b1fdb1844c6f6a6","average","6",24,13,2,0.0833333333333333
"average.661415341b1fdb1844c6f6a6","average","8",24,12,4,0.166666666666667
"average.661415341b1fdb1844c6f6a6","average","12",23,11,5,0.217391304347826
"average.66ba25f31c96638d878c9235","average","2",23,12,5,0.217391304347826
"average.66ba25f31c96638d878c9235","average","6",24,12,7,0.291666666666667
"average.66ba25f31c96638d878c9235","average","8",24,8,1,0.0416666666666667
"average.66ba25f31c96638d878c9235","average","12",21,11,3,0.142857142857143
"average.66df49caa6df07d77078a5fd","average","2",22,15,6,0.272727272727273
"average.66df49caa6df07d77078a5fd","average","6",24,11,4,0.166666666666667
"average.66df49caa6df07d77078a5fd","average","8",23,13,2,0.0869565217391304
"average.66df49caa6df07d77078a5fd","average","12",24,11,1,0.0416666666666667
"average.6705565ffd67124adcd513ec","average","2",23,9,1,0.0434782608695652
"average.6705565ffd67124adcd513ec","average","6",24,10,1,0.0416666666666667
"average.6705565ffd67124adcd513ec","average","8",24,11,0,0
"average.6705565ffd67124adcd513ec","average","12",24,13,0,0
"average.675c611268e0e1825a5fe25d","average","2",24,11,6,0.25
"average.675c611268e0e1825a5fe25d","average","6",23,11,4,0.173913043478261
"average.675c611268e0e1825a5fe25d","average","8",23,9,1,0.0434782608695652
"average.675c611268e0e1825a5fe25d","average","12",24,13,3,0.125
"average.678d702b1b04e7a307fdfde5","average","2",23,13,3,0.130434782608696
"average.678d702b1b04e7a307fdfde5","average","6",22,9,2,0.0909090909090909
"average.678d702b1b04e7a307fdfde5","average","8",24,8,1,0.0416666666666667
"average.678d702b1b04e7a307fdfde5","average","12",23,12,1,0.0434782608695652
"average.67c758c1c0984b56a597d24d","average","2",23,9,4,0.173913043478261
"average.67c758c1c0984b56a597d24d","average","6",24,16,5,0.208333333333333
"average.67c758c1c0984b56a597d24d","average","8",22,9,1,0.0454545454545455
"average.67c758c1c0984b56a597d24d","average","12",23,13,7,0.304347826086957
"average.67d4a65b95f05bc507735cb8","average","2",23,8,4,0.173913043478261
"average.67d4a65b95f05bc507735cb8","average","6",24,12,3,0.125
"average.67d4a65b95f05bc507735cb8","average","8",21,6,5,0.238095238095238
"average.67d4a65b95f05bc507735cb8","average","12",23,11,2,0.0869565217391304
"average.67d8b5e7ceb82869824198a2","average","2",20,10,3,0.15
"average.67d8b5e7ceb82869824198a2","average","6",24,17,1,0.0416666666666667
"average.67d8b5e7ceb82869824198a2","average","8",24,12,2,0.0833333333333333
"average.67d8b5e7ceb82869824198a2","average","12",23,8,2,0.0869565217391304
"average.67db3c988acf7102a0ce9138","average","2",23,12,6,0.260869565217391
"average.67db3c988acf7102a0ce9138","average","6",24,13,2,0.0833333333333333
"average.67db3c988acf7102a0ce9138","average","8",24,7,1,0.0416666666666667
"average.67db3c988acf7102a0ce9138","average","12",22,17,2,0.0909090909090909
"average.67ddc16bf07d3aedfbdf9f3b","average","2",23,14,5,0.217391304347826
"average.67ddc16bf07d3aedfbdf9f3b","average","6",23,15,2,0.0869565217391304
"average.67ddc16bf07d3aedfbdf9f3b","average","8",23,11,2,0.0869565217391304
"average.67ddc16bf07d3aedfbdf9f3b","average","12",23,13,1,0.0434782608695652
"average.67e0706e6c8edde0a06d4069","average","2",24,13,5,0.208333333333333
"average.67e0706e6c8edde0a06d4069","average","6",23,13,1,0.0434782608695652
"average.67e0706e6c8edde0a06d4069","average","8",21,12,3,0.142857142857143
"average.67e0706e6c8edde0a06d4069","average","12",23,15,3,0.130434782608696
"average.67e413ce38b79c273d9563dd","average","2",21,10,0,0
"average.67e413ce38b79c273d9563dd","average","6",21,12,0,0
"average.67e413ce38b79c273d9563dd","average","8",23,12,2,0.0869565217391304
"average.67e413ce38b79c273d9563dd","average","12",23,7,0,0
"average.67eaa46b7bb6cbefdcbde74c","average","2",22,10,2,0.0909090909090909
"average.67eaa46b7bb6cbefdcbde74c","average","6",23,13,9,0.391304347826087
