"experiment","version","level","report","mean_objective","n","sd_objective","min_objective","max_objective"
"exp1","raw","2 squares",5,14,1,NA,14,14
"exp1","raw","2 squares",6,19.4,5,3.84707681233427,15,25
"exp1","raw","2 squares",7,20.3333333333333,12,6.38653887390336,15,34
"exp1","raw","2 squares",8,15.5,12,1.83402190925746,14,20
"exp1","raw","2 squares",9,16.5882352941176,17,3.02197831580183,14,23
"exp1","raw","2 squares",10,18.7058823529412,17,5.4631115891307,14,34
"exp1","raw","2 squares",11,19,25,2.79880927062444,14,25
"exp1","raw","2 squares",12,18.0416666666667,24,2.86628325713718,14,24
"exp1","raw","2 squares",13,19.7142857142857,21,4.32600112277906,14,28
"exp1","raw","2 squares",14,19.4705882352941,34,4.01689835205803,14,30
"exp1","raw","2 squares",15,20.6739130434783,46,4.60943162476478,14,33
"exp1","raw","2 squares",16,20.8684210526316,38,4.44893581342519,14,29
"exp1","raw","2 squares",17,21.7179487179487,39,4.87716871031543,14,35
"exp1","raw","2 squares",18,20.8983050847458,59,4.93996689663011,14,35
"exp1","raw","2 squares",19,23.4848484848485,33,4.42380783461214,16,31
"exp1","raw","2 squares",20,22.5897435897436,39,5.02476995397982,14,36
"exp1","raw","2 squares",21,23.5111111111111,45,5.42980923079516,14,34
"exp1","raw","2 squares",22,23.7272727272727,44,5.23122839575383,14,35
"exp1","raw","2 squares",23,27.5555555555556,36,5.81841630119127,15,36
"exp1","raw","2 squares",24,26.8108108108108,37,4.84675056001348,17,36
"exp1","raw","2 squares",25,27.4411764705882,34,6.02113035029031,14,36
"exp1","raw","2 squares",26,27.952380952381,42,5.53900748770902,14,36
"exp1","raw","2 squares",27,29.1,50,4.29166253879994,18,36
"exp1","raw","2 squares",28,29.78125,32,4.47021955872704,19,36
"exp1","raw","2 squares",29,30.3513513513514,37,4.6201023089695,18,36
"exp1","raw","2 squares",30,29.3548387096774,31,4.57928951619335,17,36
"exp1","raw","2 squares",31,31.44,25,3.2542280190546,27,36
"exp1","raw","2 squares",32,30.7692307692308,26,3.78742859795606,21,36
"exp1","raw","2 squares",33,30.6923076923077,26,4.33376723665894,15,36
"exp1","raw","2 squares",34,30.4375,32,3.84319675404767,21,36
"exp1","raw","2 squares",35,31.3888888888889,18,3.58327633333598,24,36
"exp1","raw","2 squares",36,30.4615384615385,13,4.9263811027194,20,36
"exp1","raw","2 squares",37,33.1666666666667,12,3.09936454875199,27,36
"exp1","raw","2 squares",38,33.5833333333333,12,1.56427928995103,31,36
"exp1","raw","2 squares",39,34.5714285714286,7,0.975900072948533,33,36
"exp1","raw","2 squares",40,32.5555555555556,9,2.65099562009781,27,35
"exp1","raw","2 squares",41,34,5,2.12132034355964,31,36
"exp1","raw","2 squares",42,33.3333333333333,6,3.07679486912382,29,36
"exp1","raw","2 squares",43,34,4,2.3094010767585,32,36
"exp1","raw","2 squares",44,35,1,NA,35,35
