"experiment","condition","term","b","SE","df","t","p"
"exp1","experience","(Intercept)",24.6003374026713,0.601436550412255,19.9938112506179,40.902631184967,9.47787136658318e-21
"exp1","experience","meanVal_c",0.848576785536827,0.0579076595470464,20.0384267698873,14.6539644698887,3.58663369259002e-12
"exp1","experience","array_length1",-1.87754021115118,0.205554432211052,1880.73652949689,-9.13402932233264,1.65661897569241e-19
"exp1","experience","array_length2",-0.312735732225811,0.20326236758717,1878.78683975941,-1.5385815679417,0.124074871601728
"exp1","experience","array_length3",0.390385629981827,0.205231672053432,1878.05970455729,1.90217048896912,0.0573017195387029
"exp1","experience","meanVal_c:array_length1",0.0366276303409235,0.0307603023950502,1878.93384925046,1.19074350669639,0.233904700720921
"exp1","experience","meanVal_c:array_length2",-0.023240813853195,0.030384561331482,1880.51244182713,-0.76488890524527,0.444433675720001
"exp1","experience","meanVal_c:array_length3",-0.0893143367369825,0.030683502809786,1878.36812605873,-2.91082596699152,0.00364721192971182
"exp1","average","(Intercept)",24.853666971864,0.653525575258583,22.0065930773502,38.0301367119872,1.43168429970682e-21
"exp1","average","meanVal_c",0.791584245473742,0.0476967782723468,21.8241149906945,16.5961784872308,7.34874190152717e-14
"exp1","average","array_length1",-1.9266478907866,0.202960311516916,2063.8770061087,-9.49273223117823,5.97939356086223e-21
"exp1","average","array_length2",0.0511230911590007,0.202366773201877,2065.0817049703,0.252625914571466,0.800582444676976
"exp1","average","array_length3",0.345533839389758,0.204008863041749,2066.47882763785,1.69371974451447,0.0904692521719415
"exp1","average","meanVal_c:array_length1",0.11072407684538,0.031596357596007,2064.37858369175,3.50433041241983,0.00046751111409684
"exp1","average","meanVal_c:array_length2",0.0126137705303994,0.0311298760100855,2066.28411009433,0.405198225855857,0.685373755648038
"exp1","average","meanVal_c:array_length3",-0.0395311088172816,0.0316024242014755,2064.10585022507,-1.25088849403635,0.211116929454982
