"experiment","condition","contrast","estimate","SE","df","t.ratio","p.value"
"exp1","experience","array_length2 - array_length6",0.0598684441941185,0.0497590574226885,1880.32481068673,1.20316676591266,0.62489353900014
"exp1","experience","array_length2 - array_length8",0.125941967077906,0.0501324959727767,1878.21116002539,2.51218226090909,0.0583604727564012
"exp1","experience","array_length2 - array_length12",-0.0392998899083306,0.0508284644156521,1878.18425941819,-0.773186645713982,0.866592475439745
"exp1","experience","array_length6 - array_length8",0.0660735228837875,0.0496625672358512,1879.87290820518,1.3304492007028,0.543558248207657
"exp1","experience","array_length6 - array_length12",-0.0991683341024491,0.0503838348912116,1878.8940618985,-1.96825696806471,0.200433985837842
"exp1","experience","array_length8 - array_length12",-0.165241856986237,0.0507370729443968,1877.76274613588,-3.25682676190892,0.00629972197587192
"exp1","average","array_length2 - array_length6",0.0981103063149802,0.0512337364716399,2065.3250540352,1.914955126673,0.221981737387209
"exp1","average","array_length2 - array_length8",0.150255185662661,0.0518396610700739,2063.89453709194,2.89846003158768,0.0198053730565732
"exp1","average","array_length2 - array_length12",0.194530815403877,0.0510266969633942,2065.05749912496,3.81233407177875,0.000815918698300777
"exp1","average","array_length6 - array_length8",0.052144879347681,0.0512791562091846,2065.26618787399,1.01688255428707,0.739571489003096
"exp1","average","array_length6 - array_length12",0.0964205090888969,0.0504428376442328,2066.55917060086,1.91148066984135,0.223440073146958
"exp1","average","array_length8 - array_length12",0.0442756297412158,0.050996091052301,2064.70027862204,0.868216148092748,0.821285274199967
