"experiment","comparison_set","contrast","condition","estimate","SE","df","t.ratio","p.value","array_length"
"exp1","noise_within_condition","array_length2 - array_length6","average",0.0989268931957505,0.0502821322609757,3943.80559163418,1.96743631877617,0.200560022849504,NA
"exp1","noise_within_condition","array_length2 - array_length8","average",0.149825832617288,0.0508737394690297,3941.85506637808,2.94505248053363,0.0171145750946581,NA
"exp1","noise_within_condition","array_length2 - array_length12","average",0.19462490120131,0.0500760713090031,3944.04199807622,3.88658487205083,0.000597835427926352,NA
"exp1","noise_within_condition","array_length6 - array_length8","average",0.0508989394215373,0.050328224166341,3943.29919587956,1.01133986475084,0.742804372644021,NA
"exp1","noise_within_condition","array_length6 - array_length12","average",0.0956980080055593,0.04950787947832,3945.72470577462,1.9329853957382,0.214355759722917,NA
"exp1","noise_within_condition","array_length8 - array_length12","average",0.044799068584022,0.0500474416002387,3943.01216501921,0.895132041750727,0.807387644584755,NA
"exp1","noise_within_condition","array_length2 - array_length6","experience",0.0595237026769892,0.050844982694718,3945.70691185992,1.17068980108381,0.645438649632846,NA
"exp1","noise_within_condition","array_length2 - array_length8","experience",0.125658174002467,0.0512257673891486,3941.49333646049,2.45302667791925,0.0676749614695742,NA
"exp1","noise_within_condition","array_length2 - array_length12","experience",-0.0401723094286297,0.0519378031525712,3941.19730675452,-0.773469553778016,0.866473027371778,NA
"exp1","noise_within_condition","array_length6 - array_length8","experience",0.0661344713254782,0.0507456338819711,3944.97100552612,1.30325441355802,0.560869979615966,NA
"exp1","noise_within_condition","array_length6 - array_length12","experience",-0.0996960121056189,0.0514826984659213,3942.90263160899,-1.93649546500777,0.212921764709088,NA
"exp1","noise_within_condition","array_length8 - array_length12","experience",-0.165830483431097,0.051845438452186,3940.03501027836,-3.19855494295863,0.00760080032342636,NA
"exp1","condition_within_noise","average - experience",NA,0.0176739788432575,0.0867047457502778,76.6778436526457,0.203840962686876,0.839017811694426,"2"
"exp1","condition_within_noise","average - experience",NA,-0.0217292116755038,0.0860750182197287,74.4770973593907,-0.25244504299766,0.801392496291944,"6"
"exp1","condition_within_noise","average - experience",NA,-0.00649367977156293,0.0867044699791813,76.6698493512776,-0.0748944059414945,0.940493798714776,"8"
"exp1","condition_within_noise","average - experience",NA,-0.217123231786682,0.0866509609114708,76.4771777651274,-2.50572214667661,0.0143453436735209,"12"
