"experiment","model","comparison_set","contrast","condition","estimate","SE","df","t.ratio","p.value","array_length"
"exp1","combined","noise_within_condition","array_length2 - array_length6","average",-0.00976072461073123,0.0369721475214967,3915.13397447321,-0.264002100636866,0.993560043786935,NA
"exp1","combined","noise_within_condition","array_length2 - array_length8","average",-0.00117220127422678,0.038036260221121,3836.62467165631,-0.0308179949188556,0.999989488894177,NA
"exp1","combined","noise_within_condition","array_length2 - array_length12","average",-0.0208625896743022,0.038465459383607,3853.01892752993,-0.542372039970835,0.948606727252843,NA
"exp1","combined","noise_within_condition","array_length6 - array_length8","average",0.00858852333650447,0.0385905226241525,3916.81805767834,0.222555248089053,0.996112725450642,NA
"exp1","combined","noise_within_condition","array_length6 - array_length12","average",-0.011101865063571,0.038995392960839,3908.17068234443,-0.284696837770554,0.99195790164869,NA
"exp1","combined","noise_within_condition","array_length8 - array_length12","average",-0.0196903884000755,0.0399986257788128,3909.75323389042,-0.492276622425999,0.96083430808772,NA
"exp1","combined","noise_within_condition","array_length2 - array_length6","experience",0.0740467601543093,0.039215283759917,3919.96648364429,1.88821176477102,0.233217729449094,NA
"exp1","combined","noise_within_condition","array_length2 - array_length8","experience",0.0932895940358871,0.039950578780081,3813.5608129674,2.33512496901297,0.0903561840123226,NA
"exp1","combined","noise_within_condition","array_length2 - array_length12","experience",0.0841148265604448,0.0386580639338051,3885.19772779191,2.17586754226689,0.130135528218763,NA
"exp1","combined","noise_within_condition","array_length6 - array_length8","experience",0.0192428338815778,0.0391923145288785,3915.29733529219,0.490984880910743,0.961123656468223,NA
"exp1","combined","noise_within_condition","array_length6 - array_length12","experience",0.0100680664061355,0.0377927506712133,3909.76047630418,0.266402054026841,0.993385952872941,NA
"exp1","combined","noise_within_condition","array_length8 - array_length12","experience",-0.00917476747544229,0.0386477050381274,3895.80834518826,-0.237394884544659,0.995294145621239,NA
"exp1","combined","condition_within_noise","average - experience",NA,-0.0990041333235527,0.038291523945137,3776.0401849398,-2.58553651365255,0.00975988951253058,"2"
"exp1","combined","condition_within_noise","average - experience",NA,-0.0151966485585122,0.0378979140899855,3885.35409842392,-0.40098904975163,0.688450235811406,"6"
"exp1","combined","condition_within_noise","average - experience",NA,-0.00454233801343887,0.0397967586789319,3741.23718790906,-0.114138391271638,0.909134213787552,"8"
"exp1","combined","condition_within_noise","average - experience",NA,0.00597328291119429,0.0388552322701848,3861.66258555198,0.153731751483515,0.877829281116873,"12"
"exp1","experience","noise_within_condition","array_length2 - array_length6","experience",0.0693885084136646,0.0386323613785699,1911.15792141122,1.79612392143742,0.275457483715602,NA
"exp1","experience","noise_within_condition","array_length2 - array_length8","experience",0.0899473864908553,0.0395115555440421,1914.50593086154,2.2764830503976,0.103885123475102,NA
"exp1","experience","noise_within_condition","array_length2 - array_length12","experience",0.0800409895116413,0.0381502220915855,1910.57836679256,2.09804779955122,0.154057869416594,NA
"exp1","experience","noise_within_condition","array_length6 - array_length8","experience",0.0205588780771907,0.038732908918706,1909.97322029769,0.530785800786106,0.951604653147982,NA
"exp1","experience","noise_within_condition","array_length6 - array_length12","experience",0.0106524810979767,0.0373507066277277,1901.81787009399,0.285201594822538,0.991914477604688,NA
"exp1","experience","noise_within_condition","array_length8 - array_length12","experience",-0.00990639697921402,0.0382133896739391,1904.59454199307,-0.259238896725511,0.993895581611865,NA
"exp1","average","noise_within_condition","array_length2 - array_length6","average",-0.0135622378696503,0.0376870029647293,2090.9193917586,-0.359865120671522,0.984045986733691,NA
"exp1","average","noise_within_condition","array_length2 - array_length8","average",-0.0023937281204071,0.0389176749871415,2098.85223366258,-0.0615074801153458,0.999916511392566,NA
"exp1","average","noise_within_condition","array_length2 - array_length12","average",-0.0236620030158647,0.039223056144585,2100.5826876011,-0.603267703787314,0.931053601511049,NA
"exp1","average","noise_within_condition","array_length6 - array_length8","average",0.0111685097492432,0.039422735813289,2094.77713111838,0.283301235158785,0.992072088248611,NA
"exp1","average","noise_within_condition","array_length6 - array_length12","average",-0.0100997651462144,0.0397317735579486,2097.68572369304,-0.254198698970332,0.994239377712661,NA
"exp1","average","noise_within_condition","array_length8 - array_length12","average",-0.0212682748954576,0.0407677407222005,2095.47363441863,-0.521693734278382,0.953888517155955,NA
