"experiment","tail","contrast","estimate","SE","df","t.ratio","p.value"
"exp1","low","array_length2 - array_length6",0.042903377892677,0.532310295120689,344.988806504374,0.0805984372008993,0.999811998848269
"exp1","low","array_length2 - array_length8",0.320696303533595,0.569767107416104,351.078722089198,0.562855067200973,0.942973699110203
"exp1","low","array_length2 - array_length12",1.16527495665113,0.609689694560552,347.720539179994,1.91125906677991,0.225154406269034
"exp1","low","array_length6 - array_length8",0.277792925640918,0.605999261145692,345.746112398453,0.458404726625784,0.967953755076569
"exp1","low","array_length6 - array_length12",1.12237157875845,0.650480109683526,347.99501070526,1.72545103539679,0.311993708550061
"exp1","low","array_length8 - array_length12",0.844578653117536,0.669285843531741,341.28392328089,1.2619102305538,0.587853439976866
"exp1","high","array_length2 - array_length6",0.920828245901945,0.664588783969465,304.44367371599,1.38556091844044,0.509367287103904
"exp1","high","array_length2 - array_length8",1.22795496678382,0.662141351375805,307.746577396259,1.85452088777172,0.250054474883573
"exp1","high","array_length2 - array_length12",2.03560189373976,0.620598174396159,309.431546657785,3.28006426335429,0.00632516046142684
"exp1","high","array_length6 - array_length8",0.307126720881877,0.617194863537991,306.806714274502,0.497617104460839,0.959565431063032
"exp1","high","array_length6 - array_length12",1.11477364783781,0.573006253272644,307.693999132224,1.94548251693754,0.211347203311632
"exp1","high","array_length8 - array_length12",0.807646926955934,0.56530753273798,307.167067394628,1.42868594558473,0.482396557445172
