"experiment","measure","condition","array_length","n","mean","se"
"exp2","slope_fwd","average","2",86,0.815322706768495,0.0262486854804995
"exp2","slope_fwd","average","10",86,0.680134019676998,0.0238856767290133
"exp2","slope_fwd","average","20",86,0.737986367612207,0.0232715179006563
"exp2","slope_fwd","experience","2",77,0.919724829659,0.031498313767829
"exp2","slope_fwd","experience","10",77,0.829022076544202,0.0293549285391848
"exp2","slope_fwd","experience","20",77,0.877749771304728,0.0279623667010373
"exp2","slope_rev","average","2",86,0.787818344909871,0.0194903271457845
"exp2","slope_rev","average","10",86,0.793838956266637,0.0218660369570532
"exp2","slope_rev","average","20",86,0.789840237885638,0.021491489044136
"exp2","slope_rev","experience","2",77,0.700393225537106,0.0229103912590452
"exp2","slope_rev","experience","10",77,0.704743542065618,0.0246300715218647
"exp2","slope_rev","experience","20",77,0.697508175187013,0.0240751474908051
"exp2","r","average","2",86,1.13243478780262,0.0341527860649333
"exp2","r","average","10",86,0.957308795965916,0.0315786207008367
"exp2","r","average","20",86,1.0177871121497,0.0298768018617198
"exp2","r","experience","2",77,1.12484140729424,0.0371753301208706
"exp2","r","experience","10",77,1.02953299385897,0.0367731576380898
"exp2","r","experience","20",77,1.04366109849151,0.02980313552161
"exp2","bias","average","2",86,-3.53492986598456,0.289806261203135
"exp2","bias","average","10",86,-1.81815893155455,0.314239931357907
"exp2","bias","average","20",86,-3.51937867788307,0.361532508848828
"exp2","bias","experience","2",77,-2.62912369535403,0.297703775789302
"exp2","bias","experience","10",77,-0.220466440859139,0.358230042066603
"exp2","bias","experience","20",77,-1.93822208268716,0.345308590530029
"exp2","abs_error","average","2",86,5.01636612543256,0.173008408403315
"exp2","abs_error","average","10",86,4.77549644844451,0.127975233559829
"exp2","abs_error","average","20",86,5.48347109706066,0.17759397179155
"exp2","abs_error","experience","2",77,4.79762610536288,0.175950744357768
"exp2","abs_error","experience","10",77,4.70570643958833,0.168341250730773
"exp2","abs_error","experience","20",77,5.02188069723327,0.171907352183484
"exp2","sd_response","average","2",86,6.75297135752726,0.153003288444602
"exp2","sd_response","average","10",86,6.21230079157864,0.161715032236702
"exp2","sd_response","average","20",86,6.52988509665042,0.1621116746867
"exp2","sd_response","experience","2",77,7.61044486237746,0.204216892071145
"exp2","sd_response","experience","10",77,7.31223074942757,0.205414941492658
"exp2","sd_response","experience","20",77,7.54023793952366,0.206057016696018
"exp2","sd_objective","average","2",86,6.58626529068141,0.0571582796768545
"exp2","sd_objective","average","10",86,6.62731647541296,0.0642509284359847
"exp2","sd_objective","average","20",86,6.66178039002928,0.0622147435635436
"exp2","sd_objective","experience","2",77,6.52786528639782,0.0653725869013003
"exp2","sd_objective","experience","10",77,6.61168149797871,0.0692140956926975
"exp2","sd_objective","experience","20",77,6.54360494492322,0.0635319194958565
"exp2","mean_rt","average","2",86,2673.07679154198,106.209143762384
"exp2","mean_rt","average","10",86,2675.87712363964,110.526448435252
"exp2","mean_rt","average","20",86,2756.14078126332,110.906133514263
"exp2","mean_rt","experience","2",77,2420.42852933052,91.2106890269659
"exp2","mean_rt","experience","10",77,2473.19148474542,96.4788618106806
"exp2","mean_rt","experience","20",77,2491.26859260502,97.5749156266295
