"comparison_set","experiment","measure","contrast","condition","estimate","SE","df","t.ratio","p.value","array_length"
"noise","exp2","slope_fwd","X2 - X10","average",0.135188687091498,0.024332238387832,161,5.55594947479647,3.35121008054884e-07,NA
"noise","exp2","slope_fwd","X2 - X20","average",0.077336339156289,0.026600780983469,161,2.90729581226768,0.0115312880466869,NA
"noise","exp2","slope_fwd","X10 - X20","average",-0.0578523479352086,0.0203595491705882,161,-2.84153383999205,0.0139718067344495,NA
"noise","exp2","slope_fwd","X2 - X10","experience",0.0907027531147981,0.0257149642993902,161,3.52723620607744,0.0015793547294074,NA
"noise","exp2","slope_fwd","X2 - X20","experience",0.0419750583542732,0.0281124211600638,161,1.49311431111819,0.296914565089017,NA
"noise","exp2","slope_fwd","X10 - X20","experience",-0.048727694760525,0.0215165194310759,161,-2.26466436249668,0.0638012625996972,NA
"condition","exp2","slope_fwd","average - experience",NA,-0.104402122890505,0.0407148039825885,161,-2.56423002638431,0.0112547799150669,"X2"
"condition","exp2","slope_fwd","average - experience",NA,-0.148888056867204,0.0375312818151284,161,-3.96703895168295,0.000109305431466089,"X10"
"condition","exp2","slope_fwd","average - experience",NA,-0.139763403692521,0.0361222362211274,161,-3.86917916257839,0.000158300125694374,"X20"
"noise","exp2","slope_rev","X2 - X10","average",-0.00602061135676665,0.0179662204793226,161,-0.33510728445617,0.940001419524286,NA
"noise","exp2","slope_rev","X2 - X20","average",-0.0020218929757671,0.0180987052690269,161,-0.111714785434252,0.99314340101715,NA
"noise","exp2","slope_rev","X10 - X20","average",0.00399871838099958,0.0177505869308639,161,0.225272459810711,0.972416791933499,NA
"noise","exp2","slope_rev","X2 - X10","experience",-0.00435031652851173,0.0189871852665964,161,-0.229118559040192,0.971480836779074,NA
"noise","exp2","slope_rev","X2 - X20","experience",0.00288505035009318,0.0191271987574704,161,0.15083496473661,0.987536521389561,NA
"noise","exp2","slope_rev","X10 - X20","experience",0.00723536687860488,0.0187592979299698,161,0.385694971401124,0.921319618184777,NA
"condition","exp2","slope_rev","average - experience",NA,0.0874251193727643,0.029902579670262,161,2.92366479202823,0.00395814640545493,"X2"
"condition","exp2","slope_rev","average - experience",NA,0.0890954142010191,0.0328194413658801,161,2.71471452569101,0.00735680145918722,"X10"
"condition","exp2","slope_rev","average - experience",NA,0.0923320626986245,0.0321680696149292,161,2.87030163152137,0.00465208878194818,"X20"
"noise","exp2","r","X2 - X10","average",0.175125991836706,0.0351735912036938,161,4.97890564607217,4.86479852257471e-06,NA
"noise","exp2","r","X2 - X20","average",0.114647675652921,0.0336976874798992,161,3.40224164406858,0.0024183016601268,NA
"noise","exp2","r","X10 - X20","average",-0.0604783161837845,0.0287230369006943,161,-2.10556830717028,0.0918795244955731,NA
"noise","exp2","r","X2 - X10","experience",0.0953084134352745,0.0371723976918066,161,2.56395657405446,0.0301282458236583,NA
"noise","exp2","r","X2 - X20","experience",0.0811803088027331,0.0356126229205017,161,2.27953748264913,0.0615870960355728,NA
"noise","exp2","r","X10 - X20","experience",-0.0141281046325415,0.0303552783224739,161,-0.46542497428138,0.887554325416832,NA
"condition","exp2","r","average - experience",NA,0.00759338050837797,0.0503991266019675,161,0.150664922595733,0.880428644315572,"X2"
"condition","exp2","r","average - experience",NA,-0.072224197893053,0.0482116188693109,161,-1.49806622525649,0.136074114870398,"X10"
"condition","exp2","r","average - experience",NA,-0.02587398634181,0.042335557948079,161,-0.611164411097222,0.541952669595846,"X20"
"noise","exp2","bias","X2 - X10","average",-1.71677093443001,0.21114826400014,161,-8.13064195701309,3.44946293751036e-13,NA
"noise","exp2","bias","X2 - X20","average",-0.0155511881014856,0.293583424619228,161,-0.052970252396419,0.998454275135215,NA
