"bucket","bucket_label","array_length","condition","value","n_trials","direction"
1,"0-2","2","average",14,1,"reverse"
1,"0-2","2","experience",16,1,"reverse"
1,"0-2","10","experience",15.6666666666667,3,"reverse"
1,"0-2","20","average",15,2,"reverse"
1,"0-2","20","experience",14,1,"reverse"
4,"3-5","2","average",15,6,"reverse"
4,"3-5","2","experience",15.875,8,"reverse"
4,"3-5","10","average",20,6,"reverse"
4,"3-5","10","experience",21.8,5,"reverse"
4,"3-5","20","average",16.1333333333333,15,"reverse"
4,"3-5","20","experience",15.9166666666667,12,"reverse"
7,"6-8","2","average",17.1515151515152,33,"reverse"
7,"6-8","2","experience",16.9787234042553,47,"reverse"
7,"6-8","10","average",17.5,22,"reverse"
7,"6-8","10","experience",17.1851851851852,27,"reverse"
7,"6-8","20","average",17,53,"reverse"
7,"6-8","20","experience",16.9,60,"reverse"
10,"9-11","2","average",17.2137931034483,145,"reverse"
10,"9-11","2","experience",18.513698630137,146,"reverse"
10,"9-11","10","average",17.5285714285714,70,"reverse"
10,"9-11","10","experience",18.3833333333333,60,"reverse"
10,"9-11","20","average",18.2435897435897,156,"reverse"
10,"9-11","20","experience",18.392523364486,107,"reverse"
13,"12-14","2","average",18.725,280,"reverse"
13,"12-14","2","experience",18.9032258064516,217,"reverse"
13,"12-14","10","average",18.6581632653061,196,"reverse"
13,"12-14","10","experience",18.3165467625899,139,"reverse"
13,"12-14","20","average",19.25,248,"reverse"
13,"12-14","20","experience",19.0975609756098,205,"reverse"
16,"15-17","2","average",20.9192708333333,384,"reverse"
16,"15-17","2","experience",20.4275862068966,290,"reverse"
16,"15-17","10","average",19.7964912280702,285,"reverse"
16,"15-17","10","experience",19.86,200,"reverse"
16,"15-17","20","average",21.4129213483146,356,"reverse"
16,"15-17","20","experience",20.4036363636364,275,"reverse"
19,"18-20","2","average",23.5144356955381,381,"reverse"
19,"18-20","2","experience",22.4267515923567,314,"reverse"
19,"18-20","10","average",21.7845036319613,413,"reverse"
19,"18-20","10","experience",20.8360128617363,311,"reverse"
19,"18-20","20","average",23.5320334261838,359,"reverse"
19,"18-20","20","experience",22.1958762886598,291,"reverse"
22,"21-23","2","average",25.5946666666667,375,"reverse"
22,"21-23","2","experience",24.7716049382716,324,"reverse"
22,"21-23","10","average",24.0210772833724,427,"reverse"
22,"21-23","10","experience",23.316265060241,332,"reverse"
22,"21-23","20","average",25.5652173913043,414,"reverse"
22,"21-23","20","experience",24.2910216718266,323,"reverse"
25,"24-26","2","average",28.3677811550152,329,"reverse"
25,"24-26","2","experience",27.6233766233766,308,"reverse"
25,"24-26","10","average",26.4952830188679,424,"reverse"
25,"24-26","10","experience",25.0244648318043,327,"reverse"
25,"24-26","20","average",27.4484679665738,359,"reverse"
25,"24-26","20","experience",26.531914893617,282,"reverse"
28,"27-29","2","average",30.3656957928803,309,"reverse"
28,"27-29","2","experience",29.4185022026432,227,"reverse"
28,"27-29","10","average",28.7687296416938,307,"reverse"
28,"27-29","10","experience",27.820788530466,279,"reverse"
28,"27-29","20","average",29.6584507042254,284,"reverse"
28,"27-29","20","experience",28.9014598540146,274,"reverse"
31,"30-32","2","average",31.6342857142857,175,"reverse"
31,"30-32","2","experience",31.1534391534392,189,"reverse"
31,"30-32","10","average",30.297619047619,252,"reverse"
31,"30-32","10","experience",29.01953125,256,"reverse"
31,"30-32","20","average",31.385,200,"reverse"
31,"30-32","20","experience",29.6218905472637,201,"reverse"
34,"33-35","2","average",32.5234375,128,"reverse"
34,"33-35","2","experience",31.8840579710145,138,"reverse"
34,"33-35","10","average",31.2797202797203,143,"reverse"
34,"33-35","10","experience",30.6648044692737,179,"reverse"
34,"33-35","20","average",31.6857142857143,105,"reverse"
34,"33-35","20","experience",31.0194805194805,154,"reverse"
37,"36-38","2","average",33.1967213114754,61,"reverse"
37,"36-38","2","experience",32.6288659793814,97,"reverse"
37,"36-38","10","average",32.5172413793103,58,"reverse"
37,"36-38","10","experience",31.4222222222222,135,"reverse"
37,"36-38","20","average",33.0526315789474,57,"reverse"
37,"36-38","20","experience",31.2,100,"reverse"
40,"39-41","2","average",33.6153846153846,26,"reverse"
40,"39-41","2","experience",32.9444444444444,36,"reverse"
40,"39-41","10","average",33.0689655172414,29,"reverse"
40,"39-41","10","experience",33.0119047619048,84,"reverse"
40,"39-41","20","average",32.52,25,"reverse"
40,"39-41","20","experience",33.6153846153846,52,"reverse"
43,"42-44","2","average",33.6666666666667,9,"reverse"
43,"42-44","2","experience",33.5,20,"reverse"
43,"42-44","10","average",35.1111111111111,9,"reverse"
43,"42-44","10","experience",34.5384615384615,26,"reverse"
43,"42-44","20","average",33.4285714285714,7,"reverse"
43,"42-44","20","experience",33.5909090909091,22,"reverse"
46,"45-47","2","average",34,1,"reverse"
46,"45-47","2","experience",35.5,4,"reverse"
46,"45-47","10","average",35,2,"reverse"
46,"45-47","10","experience",33.25,8,"reverse"
46,"45-47","20","experience",31.5,2,"reverse"
49,"48-50","2","experience",32,3,"reverse"
49,"48-50","10","experience",31.8,5,"reverse"
49,"48-50","20","average",36,1,"reverse"
49,"48-50","20","experience",31,1,"reverse"
13,"12-14","2","average",13.0840336134454,119,"forward"
13,"12-14","2","experience",13.1481481481481,81,"forward"
13,"12-14","10","average",15.9393939393939,132,"forward"
13,"12-14","10","experience",16.3725490196078,102,"forward"
13,"12-14","20","average",13.9652173913043,115,"forward"
13,"12-14","20","experience",13.5752212389381,113,"forward"
16,"15-17","2","average",14.4313725490196,306,"forward"
16,"15-17","2","experience",14.5469798657718,298,"forward"
16,"15-17","10","average",17.2515527950311,322,"forward"
16,"15-17","10","experience",17.4474576271186,295,"forward"
16,"15-17","20","average",14.7025495750708,353,"forward"
16,"15-17","20","experience",15.7241379310345,290,"forward"
19,"18-20","2","average",16.3249299719888,357,"forward"
19,"18-20","2","experience",16.8928571428571,308,"forward"
19,"18-20","10","average",19.0273224043716,366,"forward"
19,"18-20","10","experience",19.8791946308725,298,"forward"
19,"18-20","20","average",17.4777448071217,337,"forward"
19,"18-20","20","experience",17.3517915309446,307,"forward"
22,"21-23","2","average",18.9239766081871,342,"forward"
22,"21-23","2","experience",19.1329479768786,346,"forward"
22,"21-23","10","average",20.8167115902965,371,"forward"
22,"21-23","10","experience",21.9456193353474,331,"forward"
22,"21-23","20","average",19.5236593059937,317,"forward"
22,"21-23","20","experience",20.4695652173913,345,"forward"
25,"24-26","2","average",21.6050420168067,357,"forward"
25,"24-26","2","experience",22.0292207792208,308,"forward"
25,"24-26","10","average",22.9648093841642,341,"forward"
25,"24-26","10","experience",25.4862068965517,290,"forward"
25,"24-26","20","average",21.1153846153846,338,"forward"
25,"24-26","20","experience",23.1655629139073,302,"forward"
28,"27-29","2","average",24.124203821656,314,"forward"
28,"27-29","2","experience",24.7474048442907,289,"forward"
28,"27-29","10","average",25.0521739130435,345,"forward"
28,"27-29","10","experience",26.6687116564417,326,"forward"
28,"27-29","20","average",23.731843575419,358,"forward"
28,"27-29","20","experience",25.6194968553459,318,"forward"
31,"30-32","2","average",26.1204481792717,357,"forward"
31,"30-32","2","experience",28.2869822485207,338,"forward"
31,"30-32","10","average",27.1592356687898,314,"forward"
31,"30-32","10","experience",29.1214953271028,321,"forward"
31,"30-32","20","average",25.258064516129,341,"forward"
31,"30-32","20","experience",28.979381443299,291,"forward"
34,"33-35","2","average",28.9180327868852,366,"forward"
34,"33-35","2","experience",30.3724832214765,298,"forward"
34,"33-35","10","average",29.6280487804878,328,"forward"
34,"33-35","10","experience",32.3311475409836,305,"forward"
34,"33-35","20","average",28.2556179775281,356,"forward"
34,"33-35","20","experience",30.6333333333333,300,"forward"
37,"36-38","2","average",31.032,125,"forward"
37,"36-38","2","experience",33.378640776699,103,"forward"
37,"36-38","10","average",30.5322580645161,124,"forward"
37,"36-38","10","experience",35.3611111111111,108,"forward"
37,"36-38","20","average",30.3174603174603,126,"forward"
37,"36-38","20","experience",32,96,"forward"
