"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",-0.738426903892602,0.141832465135772,161,-5.20633201422347,1.73432568395526e-06,NA,NA
"noise_overall","X2 - X20",-0.447544605225595,0.154844908529362,161,-2.89027653202256,0.0121230317938942,NA,NA
"noise_overall","X10 - X20",0.290882298667007,0.125550410272991,161,2.31685661587665,0.0563122621986439,NA,NA
"noise_within_condition","X2 - X10",-0.774924060410756,0.19496524836287,161,-3.97467788191907,0.000311373630783485,"average",NA
"noise_within_condition","X2 - X20",-0.67012837516181,0.212852367899364,161,-3.14832473688357,0.00552803096672694,"average",NA
"noise_within_condition","X10 - X20",0.104795685248946,0.17258366691647,161,0.607216703187023,0.816387141955002,"average",NA
"noise_within_condition","X2 - X10",-0.701929747374448,0.206044520909351,161,-3.40668970121881,0.00238242050846271,"experience",NA
"noise_within_condition","X2 - X20",-0.224960835289381,0.22494811017099,161,-1.00005656912779,0.5778954424543,"experience",NA
"noise_within_condition","X10 - X20",0.476968912085067,0.18239106335709,161,2.6150892664694,0.026286976674099,"experience",NA
"condition_within_noise","average - experience",0.598129123067357,0.26016905594325,161,2.29900178135644,0.0227902255903687,NA,"X2"
"condition_within_noise","average - experience",0.671123436103665,0.252273783911011,161,2.66029797349217,0.00859717908171195,NA,"X10"
"condition_within_noise","average - experience",1.04329666293979,0.242449333026041,161,4.30315336370808,2.91323020535437e-05,NA,"X20"
"band_within_noise","extreme - middle",1.32582457458845,0.215061418174378,161,6.16486483648796,5.46455047885203e-09,NA,"X2"
"band_within_noise","extreme - middle",1.36473971779976,0.184177563819164,161,7.40991296388163,6.74096874357066e-12,NA,"X10"
"band_within_noise","extreme - middle",1.0587763258508,0.222095570506652,161,4.76721045555066,4.15128502699283e-06,NA,"X20"
