"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",-0.909764423179099,0.166200109731116,161,-5.47390988279699,4.9590192974236e-07,NA,NA
"noise_overall","X2 - X20",-0.401997295385922,0.178963294170734,161,-2.24625556457633,0.0666331026716948,NA,NA
"noise_overall","X10 - X20",0.507767127793177,0.139409990755328,161,3.64225781123776,0.00105562838919615,NA,NA
"noise_within_condition","X2 - X10",-1.05956891091125,0.228461414956334,161,-4.63784622499064,2.15271524198757e-05,"average",NA
"noise_within_condition","X2 - X20",-0.53285170047311,0.246005899019197,161,-2.16601188263184,0.0802188724004006,"average",NA
"noise_within_condition","X10 - X20",0.526717210438141,0.191635275082185,161,2.74853995545577,0.0182120321990695,"average",NA
"noise_within_condition","X2 - X10",-0.759959935446948,0.241444171134218,161,-3.14755966928888,0.00554137581660241,"experience",NA
"noise_within_condition","X2 - X20",-0.271142890298734,0.259985654007137,161,-1.04291481518165,0.550963826434056,"experience",NA
"noise_within_condition","X10 - X20",0.488817045148213,0.202525315538029,161,2.41360959665522,0.0443768954548543,"experience",NA
"condition_within_noise","average - experience",0.935236608663976,0.348475022958798,161,2.68379811190816,0.00804003396802659,NA,"X2"
"condition_within_noise","average - experience",1.23484558412828,0.325654798527022,161,3.7918851179643,0.00021108030150318,NA,"X10"
"condition_within_noise","average - experience",1.19694541883835,0.330233061415771,161,3.62454750504635,0.000387830467779136,NA,"X20"
