"experiment","version","segment","level","slope","SE","n_trials_segment"
"exp2","raw","low","2 squares",0.568312089621241,0.0504462831131997,2271
"exp2","raw","low","10 squares",0.258619326324185,0.0619639163876515,2271
"exp2","raw","low","20 squares",0.56525589132766,0.04727300073437,2271
"exp2","raw","mid","2 squares",0.690747375182624,0.0162186110271631,11883
"exp2","raw","mid","10 squares",0.664458516267841,0.0172704729746401,11883
"exp2","raw","mid","20 squares",0.626131291678017,0.0175988969754971,11883
"exp2","raw","high","2 squares",-0.192783975960525,0.0841789602466187,880
"exp2","raw","high","10 squares",0.155781114246974,0.070693558611966,880
"exp2","raw","high","20 squares",-0.00583915488633424,0.0877746857093172,880
"exp2","shift_removed","low","2 squares",0.102456961275561,0.0786717106508171,931
"exp2","shift_removed","low","10 squares",0.0349778750475017,0.0661353793686881,931
"exp2","shift_removed","low","20 squares",0.14721978955831,0.0743257435590476,931
"exp2","shift_removed","mid","2 squares",0.79887469331998,0.0130036658602132,12952
"exp2","shift_removed","mid","10 squares",0.795071032353511,0.0152770612445105,12952
"exp2","shift_removed","mid","20 squares",0.789783471980757,0.0148964812991324,12952
"exp2","shift_removed","high","2 squares",0.0855427042586605,0.0585033411446697,1151
"exp2","shift_removed","high","10 squares",0.183185045002489,0.0718264274793837,1151
"exp2","shift_removed","high","20 squares",0.0958283190915531,0.0593922710200833,1151
