"experiment","model","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"exp2","combined","resp_c",353948.50071988,353948.50071988,1,14840.137333209,18197.1671588318,0
"exp2","combined","array_length",3950.89089653336,1975.44544826668,2,162.946789152626,101.561416313815,2.29427138190051e-29
"exp2","combined","condition",0.407045231066775,0.407045231066775,1,162.712769381967,0.0209269712849822,0.885157106625204
"exp2","combined","resp_c:array_length",40.8000469473365,20.4000234736683,2,14813.7876650533,1.04880409562245,0.350382505582844
"exp2","combined","resp_c:condition",1958.56779723195,1958.56779723195,1,14840.1373366465,100.693704100024,1.27695775818139e-23
"exp2","combined","array_length:condition",47.1340645748895,23.5670322874447,2,162.94678916146,1.21162605605051,0.300380556947551
"exp2","combined","resp_c:array_length:condition",7.76856258193997,3.88428129096999,2,14813.7876648584,0.199698305826822,0.818980001329615
"exp2","experience","resp_c",166749.299651911,166749.299651911,1,7015.07808446946,8740.23783515715,0
"exp2","experience","array_length",1857.83256178642,928.916280893211,2,77.3267520840078,48.6895551639774,2.06075668116827e-14
"exp2","experience","resp_c:array_length",45.2740622584315,22.6370311292157,2,7002.10779308588,1.18652993664273,0.305340136930126
"exp2","average","resp_c",187320.432511452,187320.432511452,1,7824.72353173153,9467.84366534872,0
"exp2","average","array_length",2142.31285339971,1071.15642669985,2,85.5922153082826,54.1400713908118,6.36632080994504e-16
"exp2","average","resp_c:array_length",6.80690707540676,3.40345353770338,2,7809.79640954149,0.17202269707168,0.841963253075555
