"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",-0.825253312298147,0.183151849838462,102,-4.50584208145324,5.22013421272449e-05,NA,NA
"noise_overall","X2 - X20",-0.331021180566741,0.196654499655099,102,-1.68326268225391,0.216531903735269,NA,NA
"noise_overall","X10 - X20",0.494232131731406,0.158403483322385,102,3.12008373405234,0.0065940096874253,NA,NA
"noise_within_condition","X2 - X10",-0.772458339843977,0.24624848337407,102,-3.13690597911441,0.00626625558291138,"average",NA
"noise_within_condition","X2 - X20",-0.483566329566004,0.264402856599405,102,-1.82889979248088,0.165346975537159,"average",NA
"noise_within_condition","X10 - X20",0.288892010277973,0.212974193619724,102,1.3564648625636,0.367618343389677,"average",NA
"noise_within_condition","X2 - X10",-0.878048284752317,0.271182751724685,102,-3.23784709450749,0.00459445749595,"experience",NA
"noise_within_condition","X2 - X20",-0.178476031567478,0.291175373890827,102,-0.612950295839221,0.81338261413976,"experience",NA
"noise_within_condition","X10 - X20",0.699572253184839,0.23453922266156,102,2.98275164915303,0.00991817503035863,"experience",NA
"condition_within_noise","average - experience",0.821161163600683,0.316955208902788,102,2.59077983429683,0.0109777864593359,NA,"X2"
"condition_within_noise","average - experience",0.715571218692343,0.331137260345584,102,2.16095047094837,0.0330396232525302,NA,"X10"
"condition_within_noise","average - experience",1.12625146159921,0.302139811968115,102,3.72758377740058,0.000317626305775178,NA,"X20"
"band_within_noise","extreme - middle",1.21467500441204,0.26799027146894,102,4.53253395264696,1.58995417141532e-05,NA,"X2"
"band_within_noise","extreme - middle",1.30242593494481,0.223524156435182,102,5.82677933211436,6.63933223866372e-08,NA,"X10"
"band_within_noise","extreme - middle",1.00713253956984,0.289599206210844,102,3.47767714127155,0.000744819792199798,NA,"X20"
