"experiment","condition","array_length","band","n","dist","se","inward"
"exp2_batch2","average","2","extreme",57,8.4006599833816,0.358429127654647,1.86214241780887
"exp2_batch2","average","2","middle",57,2.71019138158318,0.239362583706883,0.142033779216034
"exp2_batch2","average","10","extreme",57,8.47913194062689,0.25281579550236,2.64122634998736
"exp2_batch2","average","10","middle",57,2.80601391513163,0.244515740070102,0.907866526725497
"exp2_batch2","average","20","extreme",57,8.43182708793134,0.313344642944531,2.17624877724886
"exp2_batch2","average","20","middle",57,2.75073412579561,0.232417905222687,0.79506007890805
"exp2_batch2","experience","2","extreme",47,8.33171698761527,0.330248691969138,0.535547620027397
"exp2_batch2","experience","2","middle",47,2.78995138402995,0.188179927392315,-0.173693750203862
"exp2_batch2","experience","10","extreme",47,8.4380473897191,0.35175748709785,1.49472124297797
"exp2_batch2","experience","10","middle",47,2.86491933031922,0.285638704725169,0.623229196350203
"exp2_batch2","experience","20","extreme",47,8.34397370785545,0.341492650437518,0.675941156878678
"exp2_batch2","experience","20","middle",47,2.72738865425111,0.290523033849062,0.0428647760798146
