"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",-1.14400982426598,0.198269176269478,102,-5.76998324092042,2.55994834330586e-07,NA,NA
"noise_overall","X2 - X20",-0.429446037662723,0.210954875792575,102,-2.03572463565613,0.108893800477294,NA,NA
"noise_overall","X10 - X20",0.71456378660326,0.168655418819962,102,4.23682672992587,0.000146486562886627,NA,NA
"noise_within_condition","X2 - X10",-1.07359772293983,0.266573796547766,102,-4.02739405314151,0.000317901334207837,"average",NA
"noise_within_condition","X2 - X20",-0.580260748023907,0.283629776440172,102,-2.04583861154051,0.106583015545103,"average",NA
"noise_within_condition","X10 - X20",0.493336974915922,0.226757966866643,102,2.17561032907856,0.0802701990906795,"average",NA
"noise_within_condition","X2 - X10",-1.21442192559214,0.293566135697596,102,-4.13679160474803,0.000212774383225756,"experience",NA
"noise_within_condition","X2 - X20",-0.27863132730154,0.312349145027069,102,-0.892050872357577,0.646543785405631,"experience",NA
"noise_within_condition","X10 - X20",0.935790598290598,0.249718693036493,102,3.74737904844731,0.000859241875866057,"experience",NA
"condition_within_noise","average - experience",1.19433231838047,0.408318227477667,102,2.92500368097281,0.0042452809033641,NA,"X2"
"condition_within_noise","average - experience",1.05350811572816,0.403477154242457,102,2.61107253446893,0.0103862125451922,NA,"X10"
"condition_within_noise","average - experience",1.49596173910284,0.421529061446288,102,3.54889348309726,0.000586552729651384,NA,"X20"
