"experiment","version","band","level","n_trials","n_participants","mean_report","sd_report","mean_objective","sd_objective","gap"
"exp2_batch2","raw","extreme low (1-9)","2 squares",127,62,7.8503937007874,1.44792539138162,16.8976377952756,2.9380769157741,9.04724409448819
"exp2_batch2","raw","extreme low (1-9)","10 squares",67,34,7.25373134328358,1.82028372398945,18.1940298507463,5.06993158154227,10.9402985074627
"exp2_batch2","raw","extreme low (1-9)","20 squares",139,48,7.35971223021583,1.72789221619619,16.9136690647482,3.02999979525634,9.55395683453238
"exp2_batch2","raw","low (10-14)","2 squares",488,100,12.3176229508197,1.34559013764505,18.8237704918033,4.22295581018002,6.50614754098361
"exp2_batch2","raw","low (10-14)","10 squares",292,91,12.6164383561644,1.33295668549154,18.5753424657534,4.12491485520932,5.95890410958904
"exp2_batch2","raw","low (10-14)","20 squares",429,91,12.3076923076923,1.3903746346688,19.0536130536131,4.43429890457965,6.74592074592075
"exp2_batch2","raw","high (36-40)","2 squares",136,58,37.5367647058824,1.33836875965452,32.7867647058824,3.76417437356413,4.75
"exp2_batch2","raw","high (36-40)","10 squares",172,53,37.656976744186,1.35241094637579,31.7267441860465,3.91440358414365,5.93023255813953
"exp2_batch2","raw","high (36-40)","20 squares",152,51,37.7105263157895,1.42648356117281,32.1842105263158,3.66552048585277,5.52631578947368
"exp2_batch2","raw","extreme high (41-50)","2 squares",30,19,43.2,2.10745802101604,33.5666666666667,2.83674574764493,9.63333333333333
"exp2_batch2","raw","extreme high (41-50)","10 squares",52,23,43,2.17832459454868,34.1538461538462,2.49222017238284,8.84615384615385
"exp2_batch2","raw","extreme high (41-50)","20 squares",40,20,42.45,1.53506034292149,33.6,2.07302578310929,8.85
"exp2_batch2","shift_removed","extreme low (1-9)","2 squares",31,17,7.38709677419355,1.76403740237821,16.0967741935484,2.67525498734454,8.70967741935484
"exp2_batch2","shift_removed","extreme low (1-9)","10 squares",45,28,7.53333333333333,1.85374314195997,17.7555555555556,4.59819903260335,10.2222222222222
"exp2_batch2","shift_removed","extreme low (1-9)","20 squares",32,19,7.375,1.93023481773926,16.1875,2.54555273166309,8.8125
"exp2_batch2","shift_removed","low (10-14)","2 squares",186,72,12.6774193548387,1.21398419618887,17.3548387096774,3.20858699654308,4.67741935483871
"exp2_batch2","shift_removed","low (10-14)","10 squares",143,69,12.5174825174825,1.29925843883709,16.972027972028,3.0648944929203,4.45454545454546
"exp2_batch2","shift_removed","low (10-14)","20 squares",175,69,12.6742857142857,1.30523764893488,17.1828571428571,2.96933423730099,4.50857142857143
"exp2_batch2","shift_removed","high (36-40)","2 squares",226,86,37.6637168141593,1.35719068974785,33.4336283185841,2.89175411954502,4.23008849557522
"exp2_batch2","shift_removed","high (36-40)","10 squares",166,69,37.3674698795181,1.36755552177887,33.1867469879518,2.9717975820924,4.18072289156626
"exp2_batch2","shift_removed","high (36-40)","20 squares",199,78,37.4472361809045,1.36551314937227,33.0150753768844,3.13416717940046,4.4321608040201
"exp2_batch2","shift_removed","extreme high (41-50)","2 squares",55,40,42.7272727272727,2.01342296944086,34.0363636363636,2.4416421035066,8.69090909090909
"exp2_batch2","shift_removed","extreme high (41-50)","10 squares",33,23,42.4545454545455,1.7155704060696,34.1818181818182,2.27011213179197,8.27272727272727
"exp2_batch2","shift_removed","extreme high (41-50)","20 squares",57,33,42.7017543859649,1.79249339788286,33.5614035087719,2.60506062350386,9.14035087719298
