"experiment","version","level","report","mean_objective","n","sd_objective","min_objective","max_objective"
"exp2_batch2","raw","2 squares",2,16,1,NA,16,16
"exp2_batch2","raw","2 squares",3,15,1,NA,15,15
"exp2_batch2","raw","2 squares",4,14,1,NA,14,14
"exp2_batch2","raw","2 squares",5,16.4285714285714,7,4.35343323738644,14,26
"exp2_batch2","raw","2 squares",6,17.1666666666667,12,2.5524794837866,14,23
"exp2_batch2","raw","2 squares",7,16.8421052631579,19,2.47797313891676,14,22
"exp2_batch2","raw","2 squares",8,16.9230769230769,26,2.22572373709006,14,21
"exp2_batch2","raw","2 squares",9,17,60,3.324281494944,14,27
"exp2_batch2","raw","2 squares",10,17.59375,64,3.70635982799878,14,32
"exp2_batch2","raw","2 squares",11,18.9605263157895,76,4.01145290212473,14,32
"exp2_batch2","raw","2 squares",12,17.9816513761468,109,3.9790694319153,14,36
"exp2_batch2","raw","2 squares",13,19.1932773109244,119,4.50475701657471,14,35
"exp2_batch2","raw","2 squares",14,19.7916666666667,120,4.30340071374735,14,36
"exp2_batch2","raw","2 squares",15,20.1544117647059,136,4.79487176126449,14,35
"exp2_batch2","raw","2 squares",16,20.859872611465,157,4.78172080216129,14,36
"exp2_batch2","raw","2 squares",17,21.6903225806452,155,4.84106854944865,14,36
"exp2_batch2","raw","2 squares",18,22.7210884353741,147,4.87906109444824,14,35
"exp2_batch2","raw","2 squares",19,22.8714285714286,140,4.98464239590015,14,36
"exp2_batch2","raw","2 squares",20,23.9769230769231,130,4.60277197338714,14,35
"exp2_batch2","raw","2 squares",21,24.9337748344371,151,5.04601344187955,14,36
"exp2_batch2","raw","2 squares",22,25.5864661654135,133,4.91307442404397,14,36
"exp2_batch2","raw","2 squares",23,25.3228346456693,127,4.8499417272948,14,36
"exp2_batch2","raw","2 squares",24,27.2426470588235,136,4.65155700500447,16,36
"exp2_batch2","raw","2 squares",25,28.781954887218,133,3.90675085078005,17,36
"exp2_batch2","raw","2 squares",26,28.8347107438017,121,4.36910957259031,18,36
"exp2_batch2","raw","2 squares",27,29.603305785124,121,4.71960333580937,14,36
"exp2_batch2","raw","2 squares",28,29.8532110091743,109,4.1316880418823,16,36
"exp2_batch2","raw","2 squares",29,30.5254237288136,118,4.5266766066255,14,36
"exp2_batch2","raw","2 squares",30,31.2359550561798,89,3.96009203264874,18,36
"exp2_batch2","raw","2 squares",31,30.9605263157895,76,3.98142617487313,17,36
"exp2_batch2","raw","2 squares",32,31.8484848484848,66,4.01628387076115,20,36
"exp2_batch2","raw","2 squares",33,31.859375,64,3.56734389431653,15,36
"exp2_batch2","raw","2 squares",34,32.7166666666667,60,3.39037354407469,23,36
"exp2_batch2","raw","2 squares",35,32.3260869565217,46,3.50272495717318,21,36
"exp2_batch2","raw","2 squares",36,32.7368421052632,38,4.03152583632922,20,36
"exp2_batch2","raw","2 squares",37,32.5,36,3.29935058545076,23,36
"exp2_batch2","raw","2 squares",38,33.2,30,3.93393722229594,15,36
"exp2_batch2","raw","2 squares",39,33.3333333333333,15,2.71679082392303,27,36
"exp2_batch2","raw","2 squares",40,32.2941176470588,17,4.75348169611435,19,36
"exp2_batch2","raw","2 squares",41,35,5,1,34,36
"exp2_batch2","raw","2 squares",42,33.2727272727273,11,3.49545159002121,26,36
"exp2_batch2","raw","2 squares",43,33,4,2.44948974278318,30,35
"exp2_batch2","raw","2 squares",44,32.6666666666667,3,2.51661147842358,30,35
"exp2_batch2","raw","2 squares",45,34.6666666666667,3,1.15470053837925,34,36
"exp2_batch2","raw","2 squares",46,36,1,NA,36,36
"exp2_batch2","raw","2 squares",48,32,3,4.58257569495584,27,36
"exp2_batch2","raw","10 squares",2,14,1,NA,14,14
"exp2_batch2","raw","10 squares",3,21.6666666666667,3,7.37111479583199,16,30
"exp2_batch2","raw","10 squares",4,22,3,8,14,30
"exp2_batch2","raw","10 squares",5,24.5,2,13.4350288425444,15,34
"exp2_batch2","raw","10 squares",6,15.7272727272727,11,2.41209075662211,14,22
"exp2_batch2","raw","10 squares",7,17.4166666666667,12,3.60450055381106,14,25
"exp2_batch2","raw","10 squares",8,19,12,5.75246982529323,14,34
"exp2_batch2","raw","10 squares",9,18.0434782608696,23,4.54750941694827,14,35
