"bias","experiment","level","true","n","mean_report","sd_report"
-1.23308270676692,"exp2_batch2","2 squares",14,133,12.7669172932331,4.39677433078331
-1.584,"exp2_batch2","2 squares",15,125,13.416,4.75222189120266
-1.83333333333333,"exp2_batch2","2 squares",16,126,14.1666666666667,4.1966653428645
-2.40157480314961,"exp2_batch2","2 squares",17,127,14.5984251968504,4.37209739090411
-2.30882352941176,"exp2_batch2","2 squares",18,136,15.6911764705882,4.58421560135849
-3.05263157894737,"exp2_batch2","2 squares",19,133,15.9473684210526,4.94103993083299
-2.74698795180723,"exp2_batch2","2 squares",20,166,17.2530120481928,5.09507991668724
-3.13194444444444,"exp2_batch2","2 squares",21,144,17.8680555555556,4.7632722603545
-3.34459459459459,"exp2_batch2","2 squares",22,148,18.6554054054054,4.76054195428146
-3.03623188405797,"exp2_batch2","2 squares",23,138,19.963768115942,5.07809007761267
-3.26618705035971,"exp2_batch2","2 squares",24,139,20.7338129496403,5.20531436849914
-2.90070921985816,"exp2_batch2","2 squares",25,141,22.0992907801418,5.2716288680052
-3.71527777777778,"exp2_batch2","2 squares",26,144,22.2847222222222,6.18554958742743
-3.45864661654135,"exp2_batch2","2 squares",27,133,23.5413533834586,6.29515359308553
-5.24427480916031,"exp2_batch2","2 squares",28,131,22.7557251908397,5.1187312175719
-2.61029411764706,"exp2_batch2","2 squares",29,136,26.3897058823529,4.98170399839943
-3.7603305785124,"exp2_batch2","2 squares",30,121,26.2396694214876,6.29818068094328
-3.80921052631579,"exp2_batch2","2 squares",31,152,27.1907894736842,5.29116914261702
-4.31292517006803,"exp2_batch2","2 squares",32,147,27.687074829932,6.15529922165127
-4.29166666666667,"exp2_batch2","2 squares",33,144,28.7083333333333,5.94717421292509
-4.31578947368421,"exp2_batch2","2 squares",34,133,29.6842105263158,5.88059008203417
-4.84,"exp2_batch2","2 squares",35,150,30.16,6.26386247888333
-3.90604026845637,"exp2_batch2","2 squares",36,149,32.0939597315436,6.0452597935358
1.75324675324675,"exp2_batch2","10 squares",14,154,15.7532467532468,5.14916287163109
