"experiment","term","b","SE","df","t","p"
"exp2_batch2","(Intercept)",22.7239448586664,0.276158758476351,102.010552933522,82.2858017759096,4.3315461830774e-95
"exp2_batch2","meanVal_c",0.831321059198036,0.00742116542512567,9414.24292168432,112.020284089538,0
"exp2_batch2","array_length1",-0.915737247939511,0.143136208639351,102.043214021783,-6.39766315347099,4.84234299987171e-09
"exp2_batch2","array_length2",1.24133056828287,0.0816952090973452,102.273015039739,15.1946556229967,5.58385819107089e-28
"exp2_batch2","condition1",-0.888470651406997,0.276158758476352,102.010552928904,-3.21724596499836,0.00173494253759162
"exp2_batch2","meanVal_c:array_length1",0.0703685733290704,0.0105355987921784,9375.17852183396,6.67912424506066,2.54029212895738e-11
"exp2_batch2","meanVal_c:array_length2",-0.0764721007220955,0.010488037430576,9361.69946860212,-7.29136420691586,3.31723646185148e-13
"exp2_batch2","meanVal_c:condition1",-0.0718555801271465,0.00742116542512567,9414.24292250419,-9.68251965976485,4.53382069499961e-22
"exp2_batch2","array_length1:condition1",0.250093714287387,0.143136208639351,102.043214016748,1.74724283020189,0.0836036879907594
"exp2_batch2","array_length2:condition1",-0.0768070569164571,0.0816952090973452,102.273015044291,-0.940165987272724,0.349347691170789
"exp2_batch2","meanVal_c:array_length1:condition1",0.00135869161890923,0.0105355987921784,9375.17851986667,0.128961974132683,0.89739050411431
"exp2_batch2","meanVal_c:array_length2:condition1",0.00532829400602507,0.010488037430576,9361.69946772111,0.508035372804009,0.611440506236134
