"experiment","model","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"exp2_batch2","combined","resp_c",231307.88330442,231307.88330442,1,9476.2553899294,12266.4480199985,0
"exp2_batch2","combined","array_length",2781.52852420507,1390.76426210253,2,103.452457913656,73.7533770377393,1.23743694212209e-20
"exp2_batch2","combined","condition",6.29273344189916,6.29273344189916,1,103.122992689872,0.33370884972033,0.564742510823799
"exp2_batch2","combined","resp_c:array_length",20.0769270286313,10.0384635143156,2,9466.23070244004,0.532348007944662,0.587242120720475
"exp2_batch2","combined","resp_c:condition",1177.85234523109,1177.85234523109,1,9476.25539489601,62.4624823054375,3.01858405250599e-15
"exp2_batch2","combined","array_length:condition",37.6470469905203,18.8235234952602,2,103.452457912337,0.998226991701571,0.372053686382692
"exp2_batch2","combined","resp_c:array_length:condition",18.3711628913022,9.18558144565108,2,9466.23070373282,0.487118967701818,0.614409335379204
"exp2_batch2","experience","resp_c",103480.763123765,103480.763123765,1,4291.12875006519,5509.63621940124,0
"exp2_batch2","experience","array_length",1761.02965392268,880.514826961341,2,4294.26855484419,46.8813355825734,7.22417865719176e-21
"exp2_batch2","experience","resp_c:array_length",40.736091567956,20.368045783978,2,4333.0804185766,1.08445781981343,0.33817678129652
"exp2_batch2","average","resp_c",126781.007103546,126781.007103546,1,5195.01717053904,6518.19766167952,0
"exp2_batch2","average","array_length",1881.27531295353,940.637656476766,2,56.8402610075573,48.3610464454424,5.40824178040246e-13
"exp2_batch2","average","resp_c:array_length",15.1427719938348,7.5713859969174,2,5183.89660060761,0.389268011260337,0.677572457667816
