"participant_id","condition","array_length","n_trials","mean_abs_resp","mean_abs_obj","ratio"
"average.55a56724fdf99b7973398109","average","2",5,10.2586956521739,8.25652173913043,0.804831532104259
"average.55a56724fdf99b7973398109","average","10",10,9.44130434782609,6.4,0.677872438406631
"average.55a56724fdf99b7973398109","average","20",9,11.2814009661836,7.95410628019324,0.705063697676908
"average.55d35a63da14d7001295328e","average","2",10,12.0172043010753,8.65268817204301,0.720025053686471
"average.55d35a63da14d7001295328e","average","10",5,11.8516129032258,5.85806451612903,0.494284158954818
"average.55d35a63da14d7001295328e","average","20",16,12.0409946236559,7.18413978494624,0.596640062510465
"average.55d4d11258c35800113dc2ab","average","2",5,12.1758241758242,8.75384615384615,0.718953068592058
"average.55d4d11258c35800113dc2ab","average","10",13,10.6289095519865,7.6508875739645,0.719818673453157
"average.55d4d11258c35800113dc2ab","average","20",8,14.5,8.875,0.612068965517241
"average.56e6a66af6ed900006a5867c","average","10",1,10.0212765957447,7.26595744680851,0.725053078556263
"average.56e6a66af6ed900006a5867c","average","20",2,10.0212765957447,11.2659574468085,1.12420382165605
"average.57bfc1beef05670001ee84c2","average","2",6,11.0141843971631,9.95744680851064,0.904056664520283
"average.57bfc1beef05670001ee84c2","average","10",9,9.71985815602837,7.84042553191489,0.806639912440715
"average.57bfc1beef05670001ee84c2","average","20",4,11.4787234042553,10.563829787234,0.92029657089898
"average.5930c7fdfa699e0001017cc1","average","2",3,9.87719298245614,10.4526315789474,1.0582593250444
"average.5930c7fdfa699e0001017cc1","average","10",1,10.3684210526316,10.6421052631579,1.02639593908629
"average.593890eac6aa16000101f037","average","2",5,11.4173913043478,9.50869565217391,0.832825590251333
"average.593890eac6aa16000101f037","average","10",2,11.4130434782609,9.45652173913043,0.828571428571428
"average.593890eac6aa16000101f037","average","20",1,9.91304347826087,10.4565217391304,1.05482456140351
"average.5969496f06679c00014b818e","average","2",8,11.1346153846154,6.68956043956044,0.600789538613373
"average.5969496f06679c00014b818e","average","10",9,12.2905982905983,6.35653235653236,0.51718656864693
"average.5969496f06679c00014b818e","average","20",12,10.7948717948718,7.25,0.671615201900237
"average.5a33d736bf4d770001e6097a","average","2",5,12.3406593406593,8.8043956043956,0.713446126447017
