"experiment","condition","array_length","band","n","dist","se","inward"
"exp3","average","2","extreme",46,8.40784015736392,0.343946102792086,1.42269218868357
"exp3","average","2","middle",46,2.76743337440283,0.283611428983901,0.858173350071654
"exp3","average","10","extreme",46,8.30274025618976,0.358137759222676,2.39465045274643
"exp3","average","10","middle",46,2.69315307463175,0.2557795306122,1.13323084667983
"exp3","average","20","extreme",46,8.43406482068487,0.361299987074926,2.13242033808984
"exp3","average","20","middle",46,2.85724536880112,0.302603322991135,0.633438160379875
"exp3","experience","2","extreme",38,8.29595651554189,0.39685883443076,0.880340822024462
"exp3","experience","2","middle",38,2.72843519731304,0.333860743455844,0.302774588355898
"exp3","experience","10","extreme",38,8.48360834431727,0.384566388873017,1.51306051936042
"exp3","experience","10","middle",38,2.7393895687841,0.233833357725694,0.454053486277089
"exp3","experience","20","extreme",38,8.39133752064504,0.410011767636822,0.71109876868807
"exp3","experience","20","middle",38,2.75069503534549,0.237943397882837,0.631856146044675
