"participant_id","condition","array_length","n_trials","r","z"
"average.566a17d07da0350012b3e876","average","2",32,0.72285642646822,0.913601608752053
"average.566a17d07da0350012b3e876","average","10",32,0.307471013728783,0.317749965922096
"average.566a17d07da0350012b3e876","average","20",31,0.339621447574584,0.353664558173756
"average.573b8bc2f3580b0006ce0986","average","2",32,0.89290891222391,1.43609513594504
"average.573b8bc2f3580b0006ce0986","average","10",25,0.497842452198673,0.546433537876654
"average.573b8bc2f3580b0006ce0986","average","20",28,0.807169931178001,1.11885399901558
"average.588f1a4f7f238e000133c03f","average","2",29,0.634579022593,0.749045259956063
"average.588f1a4f7f238e000133c03f","average","10",29,0.491606584250795,0.538176737104841
"average.588f1a4f7f238e000133c03f","average","20",30,0.232195235145384,0.236508556611308
"average.59f224ce40333e00017edfe8","average","2",32,0.79545220536658,1.0861052657126
"average.59f224ce40333e00017edfe8","average","10",30,0.753596168588788,0.981226065385565
"average.59f224ce40333e00017edfe8","average","20",30,0.896658666800769,1.45490579835818
"average.5a907927873cda0001dc4719","average","2",30,0.87254935533092,1.34366344200506
"average.5a907927873cda0001dc4719","average","10",31,0.801575858782455,1.10300508550337
"average.5a907927873cda0001dc4719","average","20",31,0.856504757205553,1.28007447634056
"average.5c22db5c540c6d00018bc10c","average","2",31,0.665848178591913,0.803247122232918
"average.5c22db5c540c6d00018bc10c","average","10",30,0.706532879273805,0.880226713516138
"average.5c22db5c540c6d00018bc10c","average","20",31,0.771688528232215,1.02448877032598
"average.5c6c597c42e33400019c72a5","average","2",31,0.846746212675337,1.24454263885793
"average.5c6c597c42e33400019c72a5","average","10",32,0.780267204188957,1.04605325152853
"average.5c6c597c42e33400019c72a5","average","20",31,0.588726989870084,0.675715543517396
"average.5c7f489defd9e20015751167","average","2",32,0.927341602705154,1.6390639777626
"average.5c7f489defd9e20015751167","average","10",31,0.847942596602464,1.24878504289524
"average.5c7f489defd9e20015751167","average","20",31,0.825170958103364,1.17281017215391
"average.5d7ff85ffec5620017b07c40","average","2",32,0.800520585175194,1.10006003444282
"average.5d7ff85ffec5620017b07c40","average","10",28,0.651585799062707,0.778049595548195
"average.5d7ff85ffec5620017b07c40","average","20",30,0.865110683413333,1.31331055648604
"average.5f5e32a0d6a12c6857b8e127","average","2",31,0.80647094460823,1.11685140419682
"average.5f5e32a0d6a12c6857b8e127","average","10",32,0.469715953440103,0.509705816130305
"average.5f5e32a0d6a12c6857b8e127","average","20",30,0.698970698314534,0.865285133644775
"average.607dc630d2d30aa7e8699c23","average","2",30,0.829866205406261,1.18770648841696
"average.607dc630d2d30aa7e8699c23","average","10",31,0.769218058477815,1.01840983224199
"average.607dc630d2d30aa7e8699c23","average","20",31,0.85540574787322,1.27596356217814
"average.60fcc2322b3777e4020465cb","average","2",28,0.853815198179647,1.27006473830278
"average.60fcc2322b3777e4020465cb","average","10",31,0.930166373932741,1.65962291985729
"average.60fcc2322b3777e4020465cb","average","20",26,0.857260122590981,1.28291684681355
"average.61074792728f0f9e791ad083","average","2",32,0.74507265245331,0.961786437715879
"average.61074792728f0f9e791ad083","average","10",32,0.801917044075343,1.10396024468325
"average.61074792728f0f9e791ad083","average","20",31,0.858918105309501,1.28920469924199
"average.6110888158573651261c3100","average","2",31,0.681149562700407,0.831255478828776
"average.6110888158573651261c3100","average","10",30,0.468525724829456,0.508179736032769
"average.6110888158573651261c3100","average","20",32,0.703834899013424,0.87485987000764
"average.614f39b82ccdbdd51c76cc50","average","2",30,0.908828544601607,1.52075157320423
"average.614f39b82ccdbdd51c76cc50","average","10",32,0.726982904617662,0.92229838276779
"average.614f39b82ccdbdd51c76cc50","average","20",31,0.720024999469947,0.907696894457726
"average.6151e479b4ee16668948c7f2","average","2",30,0.593316577524733,0.682768984772909
"average.6151e479b4ee16668948c7f2","average","10",32,0.736274175936083,0.942293399962366
"average.6151e479b4ee16668948c7f2","average","20",31,0.628402467639945,0.738771682834093
"average.62733b8ee687326d23d970ea","average","2",30,0.817723195051263,1.14990678360776
"average.62733b8ee687326d23d970ea","average","10",30,0.720750121476355,0.909204294466795
"average.62733b8ee687326d23d970ea","average","20",32,0.778905083527477,1.04258061839576
"average.628a4816764d2f993ee7493d","average","2",28,0.883251300028437,1.39036560783845
"average.628a4816764d2f993ee7493d","average","10",29,0.76754752123268,1.01433123590015
"average.628a4816764d2f993ee7493d","average","20",30,0.822982867046008,1.16599142608774
"average.62e97dfea1a1ef00cb9f0b10","average","2",30,0.641840219905621,0.761296888556973
"average.62e97dfea1a1ef00cb9f0b10","average","10",30,0.632564364000176,0.745679561921099
"average.62e97dfea1a1ef00cb9f0b10","average","20",29,0.662421844856751,0.797116853256739
