"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X10",0.0417906990851328,0.0103159817917106,82,4.05106367274841,0.000336222274568088,NA,NA
"noise_overall","X2 - X20",0.0208297147959201,0.0110570375239248,82,1.88384228151977,0.149829953112429,NA,NA
"noise_overall","X10 - X20",-0.0209609842892127,0.00969625167042922,82,-2.16176157567544,0.0839927207914308,NA,NA
"noise_within_condition","X2 - X10",0.0578593076733522,0.0138769082813386,82,4.1694667501089,0.000220557250106168,"average",NA
"noise_within_condition","X2 - X20",0.0324642305727872,0.0148737656464378,82,2.18265040235874,0.0801947140495957,"average",NA
"noise_within_condition","X10 - X20",-0.0253950771005651,0.0130432563589288,82,-1.94698903415947,0.132172896052004,"average",NA
"noise_within_condition","X2 - X10",0.0257220904969133,0.0152679185830595,82,1.68471493720521,0.217165967759968,"experience",NA
"noise_within_condition","X2 - X20",0.00919519901905298,0.0163647001413642,82,0.56189230108841,0.840648855818806,"experience",NA
"noise_within_condition","X10 - X20",-0.0165268914778604,0.0143507020518325,82,-1.15164341215975,0.485400082777672,"experience",NA
"condition_within_noise","average - experience",-0.00183467731834626,0.0195599385284079,82,-0.093797703693274,0.925498666179727,NA,"X2"
"condition_within_noise","average - experience",-0.0339718944947852,0.0160904687955784,82,-2.11130545208978,0.0377910918854792,NA,"X10"
"condition_within_noise","average - experience",-0.0251037088720805,0.0189114247585848,82,-1.32743614997514,0.188048371579573,NA,"X20"
