"experiment","version","band","level","n_trials","n_participants","mean_report","sd_report","mean_objective","sd_objective","gap"
"exp3","raw","extreme low (1-9)","2 squares",153,46,7.0718954248366,1.72483628194632,17.5882352941176,3.98769391834149,10.516339869281
"exp3","raw","extreme low (1-9)","10 squares",55,34,7.63636363636364,1.40585595863551,17.3818181818182,4.39482401405086,9.74545454545455
"exp3","raw","extreme low (1-9)","20 squares",89,40,7.20224719101124,1.69343501956083,16.9438202247191,3.12380722895591,9.74157303370787
"exp3","raw","low (10-14)","2 squares",403,78,12.2307692307692,1.37092994325007,18.9305210918114,4.3216608743471,6.69975186104218
"exp3","raw","low (10-14)","10 squares",266,74,12.4248120300752,1.24232928002429,18.2142857142857,4.21801424901004,5.78947368421053
"exp3","raw","low (10-14)","20 squares",337,77,12.3501483679525,1.36351534097138,18.4243323442136,4.10223533532164,6.07418397626113
"exp3","raw","high (36-40)","2 squares",67,34,37.3731343283582,1.37989701960429,32.6417910447761,3.63360365634913,4.73134328358209
"exp3","raw","high (36-40)","10 squares",123,45,37.3414634146341,1.32954613414912,32.3008130081301,3.74589383793445,5.04065040650407
"exp3","raw","high (36-40)","20 squares",90,36,37.4888888888889,1.25639438133422,32.1444444444444,3.19255141217033,5.34444444444444
"exp3","raw","extreme high (41-50)","2 squares",15,9,43.8,2.83347338589432,33.7333333333333,2.31352133173242,10.0666666666667
"exp3","raw","extreme high (41-50)","10 squares",22,13,42.9545454545455,1.98751514465084,33.1818181818182,3.23134003805827,9.77272727272727
"exp3","raw","extreme high (41-50)","20 squares",30,16,43.6666666666667,2.46818840913503,33.3666666666667,2.85854235018761,10.3
"exp3","shift_removed","extreme low (1-9)","2 squares",12,11,8.33333333333333,1.07308673997732,16.5833333333333,2.19330938551907,8.25
"exp3","shift_removed","extreme low (1-9)","10 squares",21,20,8.14285714285714,1.1084094137869,17.2857142857143,4.47373286130114,9.14285714285714
"exp3","shift_removed","extreme low (1-9)","20 squares",23,15,7.69565217391304,1.14553610350214,16.0434782608696,2.28589073288461,8.34782608695652
"exp3","shift_removed","low (10-14)","2 squares",160,61,12.51875,1.3642878899048,17.075,3.57234309944129,4.55625
"exp3","shift_removed","low (10-14)","10 squares",156,61,12.6730769230769,1.30093495678554,17.0833333333333,3.73640906328149,4.41025641025641
"exp3","shift_removed","low (10-14)","20 squares",171,62,12.6198830409357,1.3112463708486,16.8538011695906,2.89557982534411,4.23391812865497
"exp3","shift_removed","high (36-40)","2 squares",177,63,37.4632768361582,1.24318894251434,32.8813559322034,3.12841492919072,4.5819209039548
"exp3","shift_removed","high (36-40)","10 squares",138,57,37.3333333333333,1.35804353333861,32.9130434782609,2.96322536069092,4.42028985507246
"exp3","shift_removed","high (36-40)","20 squares",133,61,37.3759398496241,1.28865388869136,32.8195488721804,2.72984233773332,4.55639097744361
"exp3","shift_removed","extreme high (41-50)","2 squares",34,27,42.7352941176471,2.50222717193391,34.0882352941176,1.94418553577185,8.64705882352941
"exp3","shift_removed","extreme high (41-50)","10 squares",24,21,41.9583333333333,1.33446509937476,33.5833333333333,3.729047747274,8.375
"exp3","shift_removed","extreme high (41-50)","20 squares",39,24,42.5897435897436,1.61763226446864,33.2307692307692,2.74783683785071,9.35897435897436
