"response_value","array_length","condition","mean_true","n_trials"
1,"2","experience",14,1
2,"2","experience",18,1
2,"20","average",14,1
2,"20","experience",15,1
3,"2","average",14,1
3,"2","experience",14,1
3,"20","experience",14,1
4,"2","average",21,3
4,"2","experience",19.6,5
4,"10","average",24,1
4,"20","average",15,1
4,"20","experience",15.5,2
5,"2","average",15,5
5,"2","experience",17.6428571428571,14
5,"10","average",18,1
5,"10","experience",16,3
5,"20","experience",16.8888888888889,9
6,"2","average",17.2,10
6,"2","experience",17.0909090909091,11
6,"10","average",18.75,4
6,"10","experience",17,4
6,"20","average",15.2,5
6,"20","experience",16.6,5
7,"2","average",16.5714285714286,14
7,"2","experience",18.5384615384615,13
7,"10","average",15,1
7,"10","experience",16.5,8
7,"20","average",16,9
7,"20","experience",16.5,10
8,"2","average",17.2307692307692,13
8,"2","experience",17.1363636363636,22
8,"10","average",14.2,5
8,"10","experience",16.5714285714286,7
8,"20","average",16.6363636363636,11
8,"20","experience",16.5,10
9,"2","average",16.5,16
9,"2","experience",19.5652173913043,23
9,"10","average",18.7,10
9,"10","experience",18.3636363636364,11
9,"20","average",18.6923076923077,13
9,"20","experience",18.9090909090909,11
10,"2","average",17.6,30
10,"2","experience",17.9642857142857,28
10,"10","average",17.3076923076923,13
10,"10","experience",17.3636363636364,11
10,"20","average",17.8695652173913,23
10,"20","experience",17.6,20
11,"2","average",18.7551020408163,49
11,"2","experience",18.25,24
11,"10","average",17.55,20
11,"10","experience",16.2,20
11,"20","average",16.5641025641026,39
11,"20","experience",18.2222222222222,18
12,"2","average",18.5116279069767,43
12,"2","experience",20.6190476190476,42
12,"10","average",19.3448275862069,29
12,"10","experience",18.0625,32
12,"20","average",18.6666666666667,39
12,"20","experience",17.24,25
13,"2","average",18.6923076923077,52
13,"2","experience",19.225,40
13,"10","average",18.5555555555556,45
13,"10","experience",19.6388888888889,36
13,"20","average",19.6274509803922,51
13,"20","experience",18.9411764705882,34
14,"2","average",18.64,50
14,"2","experience",20.1333333333333,45
14,"10","average",18.5526315789474,38
14,"10","experience",16.7272727272727,22
14,"20","average",18.9152542372881,59
14,"20","experience",19.0344827586207,29
15,"2","average",20.9047619047619,63
15,"2","experience",20.5333333333333,45
15,"10","average",19.6111111111111,54
15,"10","experience",18.4242424242424,33
15,"20","average",20,50
15,"20","experience",20.8039215686275,51
16,"2","average",21.8983050847458,59
16,"2","experience",20.4651162790698,43
16,"10","average",20.0769230769231,52
16,"10","experience",19.8787878787879,33
16,"20","average",20.8953488372093,86
16,"20","experience",19.46,50
17,"2","average",21.8148148148148,81
17,"2","experience",21.7719298245614,57
17,"10","average",20.9253731343284,67
17,"10","experience",18.4615384615385,39
17,"20","average",21.0545454545455,55
17,"20","experience",20.3846153846154,52
18,"2","average",22.6176470588235,68
18,"2","experience",23.4259259259259,54
18,"10","average",21.5820895522388,67
18,"10","experience",20.2745098039216,51
18,"20","average",22.304347826087,69
18,"20","experience",21.3529411764706,51
19,"2","average",23.6923076923077,65
19,"2","experience",23.2173913043478,69
19,"10","average",21.5070422535211,71
19,"10","experience",21.02,50
19,"20","average",21.9491525423729,59
19,"20","experience",21.4181818181818,55
20,"2","average",24.421052631579,57
20,"2","experience",24.2758620689655,58
20,"10","average",22.984375,64
20,"10","experience",21.2941176470588,51
20,"20","average",23.8870967741935,62
20,"20","experience",23.3584905660377,53
21,"2","average",25.4782608695652,69
21,"2","experience",24.9473684210526,57
21,"10","average",23.6578947368421,76
21,"10","experience",23.3214285714286,56
21,"20","average",24.0428571428571,70
21,"20","experience",22.8518518518519,54
22,"2","average",26,73
22,"2","experience",25.0588235294118,51
22,"10","average",23.7808219178082,73
22,"10","experience",24.047619047619,63
22,"20","average",24.2898550724638,69
22,"20","experience",25.2758620689655,58
23,"2","average",26.3235294117647,68
23,"2","experience",27.5121951219512,41
23,"10","average",25.671052631579,76
23,"10","experience",24.8392857142857,56
23,"20","average",26.6117647058824,85
23,"20","experience",24.921568627451,51
24,"2","average",28.1311475409836,61
24,"2","experience",26.5833333333333,48
24,"10","average",25.9818181818182,55
24,"10","experience",26.7017543859649,57
24,"20","average",27.0675675675676,74
24,"20","experience",24.7692307692308,65
25,"2","average",28.8181818181818,55
25,"2","experience",28.3181818181818,44
25,"10","average",26.775,80
25,"10","experience",25.9107142857143,56
25,"20","average",25.8166666666667,60
25,"20","experience",26.5714285714286,42
26,"2","average",29.56,50
26,"2","experience",28.8571428571429,42
26,"10","average",26.6964285714286,56
26,"10","experience",25.8863636363636,44
26,"20","average",29.0701754385965,57
26,"20","experience",27.7755102040816,49
27,"2","average",30.2631578947368,57
27,"2","experience",29.1764705882353,34
27,"10","average",26.7142857142857,63
27,"10","experience",28.0357142857143,56
27,"20","average",29.3333333333333,48
27,"20","experience",28.6274509803922,51
28,"2","average",31.1086956521739,46
28,"2","experience",30.1025641025641,39
28,"10","average",28.4137931034483,58
28,"10","experience",28.8867924528302,53
28,"20","average",28.9,50
28,"20","experience",29.5675675675676,37
29,"2","average",30.8285714285714,35
29,"2","experience",29.7222222222222,36
29,"10","average",29.2127659574468,47
29,"10","experience",27.6346153846154,52
29,"20","average",30.9024390243902,41
29,"20","experience",28.7297297297297,37
30,"2","average",32.2682926829268,41
30,"2","experience",31.65625,32
30,"10","average",29.9811320754717,53
30,"10","experience",30.8604651162791,43
30,"20","average",30.8787878787879,33
30,"20","experience",30.4651162790698,43
31,"2","average",32.0689655172414,29
31,"2","experience",31.2941176470588,17
31,"10","average",28.7173913043478,46
31,"10","experience",30.7878787878788,33
31,"20","average",30.15625,32
31,"20","experience",31.0416666666667,24
32,"2","average",32.1176470588235,34
32,"2","experience",31.6666666666667,27
32,"10","average",31.6136363636364,44
32,"10","experience",32.16,25
32,"20","average",31.1351351351351,37
32,"20","experience",29.9411764705882,34
33,"2","average",32.5,30
33,"2","experience",31.9,20
33,"10","average",30.3,30
33,"10","experience",30.2058823529412,34
33,"20","average",30.5333333333333,30
33,"20","experience",33.047619047619,21
34,"2","average",32.375,24
34,"2","experience",31.9230769230769,26
34,"10","average",31.4666666666667,15
34,"10","experience",32.5806451612903,31
34,"20","average",33.3125,16
34,"20","experience",31.625,16
35,"2","average",32.5333333333333,15
35,"2","experience",32.9166666666667,12
35,"10","average",32.0333333333333,30
35,"10","experience",31.1578947368421,19
35,"20","average",30.8235294117647,17
35,"20","experience",33.65,20
36,"2","average",32.6666666666667,15
36,"2","experience",32.5555555555556,9
36,"10","average",32.25,20
36,"10","experience",30.8695652173913,23
36,"20","average",31.3076923076923,13
36,"20","experience",32.5384615384615,13
37,"2","average",33.5454545454545,11
37,"2","experience",32.75,8
37,"10","average",32.3333333333333,12
37,"10","experience",32.6363636363636,22
37,"20","average",31.9,10
37,"20","experience",33,10
38,"2","average",32.6666666666667,3
38,"2","experience",34.5,2
38,"10","average",34.5714285714286,7
38,"10","experience",32.4166666666667,12
38,"20","average",32.8,5
38,"20","experience",31.35,20
39,"2","average",35,4
39,"2","experience",30.3333333333333,9
39,"10","average",34.8,5
39,"10","experience",30.4,10
39,"20","average",32.3333333333333,6
39,"20","experience",32.5,6
40,"2","average",34,2
40,"2","experience",31.25,4
40,"10","average",35,5
40,"10","experience",32.5714285714286,7
40,"20","average",33.3333333333333,3
40,"20","experience",33.5,4
41,"2","average",35.5,2
41,"2","experience",36,1
41,"10","average",34.3333333333333,3
41,"10","experience",28,2
41,"20","average",32,1
41,"20","experience",34,6
42,"2","average",35,3
42,"2","experience",31.5,2
42,"10","average",30.5,2
42,"10","experience",35.25,4
42,"20","average",35,3
42,"20","experience",35,2
43,"2","average",32,1
43,"10","average",34,1
43,"10","experience",32.25,4
43,"20","experience",32.1666666666667,6
44,"2","experience",36,1
44,"10","average",34,2
44,"10","experience",35,1
44,"20","experience",33.5,2
45,"2","experience",32,1
45,"10","experience",34,1
45,"20","experience",32.3333333333333,3
46,"20","experience",35,2
48,"2","average",34,1
48,"2","experience",32.3333333333333,3
48,"10","experience",34.5,2
48,"20","experience",32.6,5
