"experiment","window","condition","array_length","n_trials","mean_report","mean_obj","se_obj"
"exp3","high","average","2",14,39.8571428571429,34.4285714285714,0.465446562297744
"exp3","high","average","10",22,39.4545454545455,34.3181818181818,0.42835820486197
"exp3","high","average","20",18,39.5,33.0555555555556,0.659135015586863
"exp3","high","experience","2",18,39.5555555555556,31.4444444444444,1.23463688986619
"exp3","high","experience","10",35,39.3142857142857,31.9428571428571,0.629716298857524
"exp3","high","experience","20",38,39.0526315789474,32.3684210526316,0.479184128559589
"exp3","low","average","2",151,10.6158940397351,18.0860927152318,0.318098711177942
"exp3","low","average","10",77,10.7532467532468,18.1168831168831,0.507959216146288
"exp3","low","average","20",125,10.656,17.688,0.368854547781852
"exp3","low","experience","2",139,10.294964028777,18.9496402877698,0.394589059145922
"exp3","low","experience","10",81,10.7283950617284,17.4197530864198,0.420854582349812
"exp3","low","experience","20",84,10.4404761904762,17.6666666666667,0.385975206224744
