"comparison_set","experiment","measure","contrast","condition","estimate","SE","df","t.ratio","p.value","variance_level"
"noise","exp4","slope_fwd","X3 - X5","average",0.162232358130221,0.021152918424534,99,7.66950237665821,2.59770316368702e-10,NA
"noise","exp4","slope_fwd","X3 - X7","average",0.297959144834004,0.0278679161057637,99,10.6918344272028,2.23286833467284e-10,NA
"noise","exp4","slope_fwd","X5 - X7","average",0.135726786703783,0.0222970925275399,99,6.08719663947855,6.56632105355826e-08,NA
"noise","exp4","slope_fwd","X3 - X5","experience",0.134514232142257,0.0213634004089352,99,6.29648040889582,2.53712656439475e-08,NA
"noise","exp4","slope_fwd","X3 - X7","experience",0.245415448927283,0.0281452156332021,99,8.71961516037465,2.23498775042685e-10,NA
"noise","exp4","slope_fwd","X5 - X7","experience",0.110901216785025,0.0225189596093005,99,4.92479309475836,1.00541725764902e-05,NA
"condition","exp4","slope_fwd","average - experience",NA,-0.0236793092840227,0.0495806492382508,99,-0.47759175500579,0.633993566548929,"X3"
"condition","exp4","slope_fwd","average - experience",NA,-0.0513974352719867,0.0454380579240801,99,-1.13115387453099,0.260723049380942,"X5"
"condition","exp4","slope_fwd","average - experience",NA,-0.0762230051907442,0.0481686633800986,99,-1.58241893882894,0.11674354556849,"X7"
"noise","exp4","slope_rev","X3 - X5","average",-0.0396020898357045,0.0123364150982064,99,-3.21017812066508,0.00504556968403258,NA
"noise","exp4","slope_rev","X3 - X7","average",-0.00653881327905687,0.0184338083457178,99,-0.354718523509866,0.933043192268829,NA
"noise","exp4","slope_rev","X5 - X7","average",0.0330632765566476,0.0161801051546682,99,2.0434525140962,0.10727976323431,NA
"noise","exp4","slope_rev","X3 - X5","experience",0.0086456865903476,0.012459168520602,99,0.693921634983221,0.767590032817356,NA
"noise","exp4","slope_rev","X3 - X7","experience",0.0343564952215518,0.0186172338420397,99,1.8454135299075,0.160317809638588,NA
"noise","exp4","slope_rev","X5 - X7","experience",0.0257108086312042,0.0163411051912789,99,1.57338248118773,0.261931240494339,NA
"condition","exp4","slope_rev","average - experience",NA,-0.00170272568751582,0.027158215446197,99,-0.0626965233002544,0.950134575978929,"X3"
"condition","exp4","slope_rev","average - experience",NA,0.0465450507385363,0.0314924748705064,99,1.47797373594563,0.142589290937594,"X5"
"condition","exp4","slope_rev","average - experience",NA,0.0391925828130929,0.0386217398668078,99,1.01478035293733,0.312684210216208,"X7"
"noise","exp4","r","X3 - X5","average",0.114829986826182,0.0224605244038594,99,5.11252474614755,4.62462981754008e-06,NA
"noise","exp4","r","X3 - X7","average",0.284731228301746,0.0278143307280448,99,10.2368534798019,2.23292606627012e-10,NA
"noise","exp4","r","X5 - X7","average",0.169901241475564,0.0245527363393087,99,6.91984954864496,1.58231594493685e-09,NA
"noise","exp4","r","X3 - X5","experience",0.161727322276616,0.022684017713498,99,7.12957132723367,7.2236938652992e-10,NA
"noise","exp4","r","X3 - X7","experience",0.303685953770047,0.0280910970545124,99,10.8107544956584,2.23287721645704e-10,NA
"noise","exp4","r","X5 - X7","experience",0.141958631493431,0.024797048190915,99,5.724819760823,3.32029081229201e-07,NA
"condition","exp4","r","average - experience",NA,-0.0280460850670529,0.0505600746995702,99,-0.55470814142787,0.580345374194865,"X3"
"condition","exp4","r","average - experience",NA,0.0188512503833812,0.0493100334420736,99,0.382300498853372,0.703057952379905,"X5"
"condition","exp4","r","average - experience",NA,-0.00909135959875198,0.0509621359166236,99,-0.178394398806711,0.858777794722009,"X7"
"noise","exp4","bias","X3 - X5","average",-0.535879803826051,0.160267555478168,99,-3.34365743725996,0.00332234747021876,NA
"noise","exp4","bias","X3 - X7","average",-0.605629799269103,0.246677425338223,99,-2.45514885863072,0.0415290646448628,NA
"noise","exp4","bias","X5 - X7","average",-0.0697499954430519,0.162968760738453,99,-0.427996108744996,0.904068380167906,NA
"noise","exp4","bias","X3 - X5","experience",-0.623272175280982,0.161862296801098,99,-3.85063222009558,0.000608025385303468,NA
"noise","exp4","bias","X3 - X7","experience",-1.06582547459321,0.249131987538583,99,-4.27815586879686,0.000128103757235931,NA
"noise","exp4","bias","X5 - X7","experience",-0.442553299312233,0.164590380387675,99,-2.68881631034478,0.0227072927221221,NA
"condition","exp4","bias","average - experience",NA,-0.325069626116536,0.447517833916533,99,-0.726383624249408,0.469317568362923,"X3"
"condition","exp4","bias","average - experience",NA,-0.412461997571466,0.44474180152033,99,-0.927419001680264,0.355964548032268,"X5"
"condition","exp4","bias","average - experience",NA,-0.785265301440647,0.499334913911319,99,-1.57262246152511,0.118996843494224,"X7"
"noise","exp4","abs_error","X3 - X5","average",0.100967506639708,0.0931292722240457,99,1.08416509899064,0.526102979587904,NA
"noise","exp4","abs_error","X3 - X7","average",-0.270265168825402,0.144058973666632,99,-1.87607312440547,0.15101381531502,NA
"noise","exp4","abs_error","X5 - X7","average",-0.371232675465111,0.101406192947976,99,-3.66084816590602,0.00117122985141049,NA
"noise","exp4","abs_error","X3 - X5","experience",-0.0818392470040902,0.0940559544732816,99,-0.870112343895657,0.660343544796576,NA
"noise","exp4","abs_error","X3 - X7","experience",-0.541326013371483,0.145492431596152,99,-3.72064723527379,0.000955013770273072,NA
"noise","exp4","abs_error","X5 - X7","experience",-0.459486766367392,0.102415234645858,99,-4.48650796882174,5.775936812491e-05,NA
"condition","exp4","abs_error","average - experience",NA,0.0583421172598695,0.287018430541752,99,0.203269584987095,0.839341538819632,"X3"
"condition","exp4","abs_error","average - experience",NA,-0.124464636383929,0.251809378244485,99,-0.494281179087322,0.622202618856229,"X5"
"condition","exp4","abs_error","average - experience",NA,-0.212718727286211,0.261027592068744,99,-0.814928129246161,0.41706956947407,"X7"
"noise","exp4","sd_response","X3 - X5","average",0.77004543619984,0.133209646676998,99,5.78070324041184,2.59284816617189e-07,NA
"noise","exp4","sd_response","X3 - X7","average",1.11064305429782,0.184442722718413,99,6.021614937844,8.82901701748651e-08,NA
"noise","exp4","sd_response","X5 - X7","average",0.340597618097975,0.132010235205142,99,2.58008492726864,0.0302431019359968,NA
