"experiment","condition","variance_level","band","n","dist","se","inward"
"exp4","average","3","extreme",51,8.06446912263034,0.291085540747645,-0.758245496254917
"exp4","average","3","middle",51,2.77077718444282,0.187363858609663,-0.117763393461167
"exp4","average","5","extreme",51,8.15721684570714,0.272222512355129,0.686496768618895
"exp4","average","5","middle",51,2.72953114749842,0.169622845249764,0.23338966639879
"exp4","average","7","extreme",51,8.15284255000492,0.262508106184564,1.66437255242149
"exp4","average","7","middle",51,2.8543858455185,0.161270735174276,0.575144573631928
"exp4","experience","3","extreme",50,8.16420108987947,0.288446908253586,-0.764727816052851
"exp4","experience","3","middle",50,2.82374433330258,0.227412984252044,-0.61638826130471
"exp4","experience","5","extreme",50,8.03861137050886,0.255352895879179,0.38990762176869
"exp4","experience","5","middle",50,2.72913693726057,0.158414863663404,-0.252476544989451
"exp4","experience","7","extreme",50,8.12968732752576,0.284331259262742,1.14853431799911
"exp4","experience","7","middle",50,2.83993697969521,0.166366761985874,0.492627163356043
