"participant_id","condition","variance_level","n_sides","n_low","n_high","inward_low","inward_high","inward"
"average.55b5f6b6fdf99b713277dc94","average","3",2,20,15,-1.2,2.4,0.6
"average.55b5f6b6fdf99b713277dc94","average","5",2,18,18,0.666666666666667,3.66666666666667,2.16666666666667
"average.55b5f6b6fdf99b713277dc94","average","7",2,19,12,2.78947368421053,4.08333333333333,3.43640350877193
"average.58ed2be2a083320001a13783","average","3",2,23,16,-2.73913043478261,0.25,-1.2445652173913
"average.58ed2be2a083320001a13783","average","5",2,14,17,-0.928571428571428,1.11764705882353,0.0945378151260506
"average.58ed2be2a083320001a13783","average","7",2,19,13,1.47368421052632,1.84615384615385,1.65991902834008
"average.5d27dc6b46dea800184f8bfa","average","3",2,21,18,1.66666666666667,7.16666666666667,4.41666666666667
"average.5d27dc6b46dea800184f8bfa","average","5",2,17,10,2.29411764705882,8.3,5.29705882352941
"average.5d27dc6b46dea800184f8bfa","average","7",2,21,16,1.0952380952381,6.3125,3.70386904761905
"average.5eb278ce4602871c6d7e335d","average","3",2,21,15,-6.28571428571429,0.2,-3.04285714285714
"average.5eb278ce4602871c6d7e335d","average","5",2,18,19,-4.77777777777778,2.57894736842105,-1.09941520467836
"average.5eb278ce4602871c6d7e335d","average","7",2,19,12,-1.21052631578947,5.33333333333333,2.06140350877193
"average.5f0a7dec44c42c19a6c9f6d9","average","3",2,12,14,-0.666666666666667,-2.85714285714286,-1.76190476190476
"average.5f0a7dec44c42c19a6c9f6d9","average","5",2,19,15,-2.36842105263158,-0.933333333333333,-1.65087719298246
"average.5f0a7dec44c42c19a6c9f6d9","average","7",2,27,16,0.111111111111111,-0.6875,-0.288194444444444
"average.5f3898caed1478189b8462a0","average","3",2,17,15,-4.94117647058824,0.2,-2.37058823529412
"average.5f3898caed1478189b8462a0","average","5",2,20,11,-3.95,5.09090909090909,0.570454545454545
"average.5f3898caed1478189b8462a0","average","7",2,14,18,-4.14285714285714,7.66666666666667,1.76190476190476
"average.5f9fdfd04296cb0102563f84","average","3",2,18,13,0.444444444444445,5.07692307692308,2.76068376068376
"average.5f9fdfd04296cb0102563f84","average","5",2,31,15,0.838709677419355,3.26666666666667,2.05268817204301
"average.5f9fdfd04296cb0102563f84","average","7",2,9,18,-0.333333333333333,-0.0555555555555556,-0.194444444444444
"average.606f9bca353fc36aba9ccb8b","average","3",2,22,10,-2.09090909090909,1.4,-0.345454545454545
"average.606f9bca353fc36aba9ccb8b","average","5",2,14,20,-1.14285714285714,3.1,0.978571428571429
"average.606f9bca353fc36aba9ccb8b","average","7",2,20,16,0.25,4.25,2.25
"average.61fa94015719bc09cb834e2e","average","3",2,16,12,-1.5625,-3.75,-2.65625
"average.61fa94015719bc09cb834e2e","average","5",2,23,15,0.695652173913044,-0.6,0.0478260869565218
"average.61fa94015719bc09cb834e2e","average","7",2,19,19,0.842105263157895,-0.947368421052631,-0.0526315789473682
"average.620bdd10a922fc3f247f6b6b","average","3",2,19,16,0.736842105263158,0.9375,0.837171052631579
"average.620bdd10a922fc3f247f6b6b","average","5",2,22,10,2.68181818181818,2.7,2.69090909090909
"average.620bdd10a922fc3f247f6b6b","average","7",2,16,18,2.5625,3.72222222222222,3.14236111111111
"average.63d40c3695dd423166c7c83d","average","3",2,19,8,-0.736842105263158,-1.875,-1.30592105263158
"average.63d40c3695dd423166c7c83d","average","5",2,17,17,2.82352941176471,-1.35294117647059,0.735294117647059
"average.63d40c3695dd423166c7c83d","average","7",2,18,19,0.888888888888889,-3.31578947368421,-1.21345029239766
"average.63e55e08efd239a8c8b9d39e","average","3",2,24,15,0,-6.4,-3.2
"average.63e55e08efd239a8c8b9d39e","average","5",2,15,14,2.46666666666667,-2.85714285714286,-0.195238095238095
"average.63e55e08efd239a8c8b9d39e","average","7",2,17,15,7.76470588235294,-4.6,1.58235294117647
"average.63fa812428f289c772131458","average","3",2,18,19,-1.61111111111111,-4.1578947368421,-2.88450292397661
"average.63fa812428f289c772131458","average","5",2,22,13,3.86363636363636,-0.769230769230769,1.5472027972028
"average.63fa812428f289c772131458","average","7",2,19,12,5.73684210526316,-3.16666666666667,1.28508771929825
"average.65dfbf73ec3a047b5653add8","average","3",2,23,12,-1.04347826086957,1.25,0.103260869565217
"average.65dfbf73ec3a047b5653add8","average","5",2,21,18,0.476190476190476,0.5,0.488095238095238
"average.65dfbf73ec3a047b5653add8","average","7",2,13,16,-0.076923076923077,2.8125,1.36778846153846
"average.65ebbd5d9188410923b21986","average","3",2,22,10,-0.227272727272728,-2.5,-1.36363636363636
"average.65ebbd5d9188410923b21986","average","5",2,15,21,3.66666666666667,-2.23809523809524,0.714285714285714
"average.65ebbd5d9188410923b21986","average","7",2,21,15,4.33333333333333,2.13333333333333,3.23333333333333
"average.66295cf0dbecaeeb1cddb852","average","3",2,28,6,-2.53571428571429,-1.5,-2.01785714285714
"average.66295cf0dbecaeeb1cddb852","average","5",2,18,12,0.722222222222222,-1.83333333333333,-0.555555555555556
"average.66295cf0dbecaeeb1cddb852","average","7",2,14,28,1.5,0.892857142857143,1.19642857142857
"average.66c0f464e0ff62798027b486","average","3",2,22,11,-2.22727272727273,-2.18181818181818,-2.20454545454545
"average.66c0f464e0ff62798027b486","average","5",2,16,15,0.5,2.13333333333333,1.31666666666667
"average.66c0f464e0ff62798027b486","average","7",2,20,18,0.95,3.72222222222222,2.33611111111111
"average.66e89b61d7709ff7f27a76be","average","3",2,44,9,0.181818181818183,3.44444444444444,1.81313131313131
"average.66e89b61d7709ff7f27a76be","average","5",2,11,12,-0.818181818181818,4.16666666666667,1.67424242424242
"average.66e89b61d7709ff7f27a76be","average","7",2,4,25,-0.75,3.48,1.365
"average.66f0c81ea46a554aeb92cd04","average","3",2,13,15,-0.384615384615384,1.73333333333333,0.674358974358974
"average.66f0c81ea46a554aeb92cd04","average","5",2,19,14,3,4.35714285714286,3.67857142857143
"average.66f0c81ea46a554aeb92cd04","average","7",2,18,15,2.88888888888889,4.06666666666667,3.47777777777778
"average.6711ee336b91eb0fcf53841f","average","3",2,19,17,-2.8421052631579,-1.23529411764706,-2.03869969040248
"average.6711ee336b91eb0fcf53841f","average","5",2,23,13,0.478260869565217,-0.923076923076923,-0.222408026755853
"average.6711ee336b91eb0fcf53841f","average","7",2,15,15,-0.533333333333333,1.13333333333333,0.3
"average.67265982eb0c3fc495c6e33a","average","3",2,23,11,-0.17391304347826,-0.454545454545454,-0.314229249011857
