"participant_id","condition","variance_level","side","n_trials","inward"
"average.55b5f6b6fdf99b713277dc94","average","3","high",15,2.4
"average.55b5f6b6fdf99b713277dc94","average","3","low",20,-1.2
"average.55b5f6b6fdf99b713277dc94","average","5","high",18,3.66666666666667
"average.55b5f6b6fdf99b713277dc94","average","5","low",18,0.666666666666667
"average.55b5f6b6fdf99b713277dc94","average","7","high",12,4.08333333333333
"average.55b5f6b6fdf99b713277dc94","average","7","low",19,2.78947368421053
"average.58ed2be2a083320001a13783","average","3","high",16,0.25
"average.58ed2be2a083320001a13783","average","3","low",23,-2.73913043478261
"average.58ed2be2a083320001a13783","average","5","high",17,1.11764705882353
"average.58ed2be2a083320001a13783","average","5","low",14,-0.928571428571428
"average.58ed2be2a083320001a13783","average","7","high",13,1.84615384615385
"average.58ed2be2a083320001a13783","average","7","low",19,1.47368421052632
"average.5d27dc6b46dea800184f8bfa","average","3","high",18,7.16666666666667
"average.5d27dc6b46dea800184f8bfa","average","3","low",21,1.66666666666667
"average.5d27dc6b46dea800184f8bfa","average","5","high",10,8.3
"average.5d27dc6b46dea800184f8bfa","average","5","low",17,2.29411764705882
"average.5d27dc6b46dea800184f8bfa","average","7","high",16,6.3125
"average.5d27dc6b46dea800184f8bfa","average","7","low",21,1.0952380952381
"average.5eb278ce4602871c6d7e335d","average","3","high",15,0.2
"average.5eb278ce4602871c6d7e335d","average","3","low",21,-6.28571428571429
"average.5eb278ce4602871c6d7e335d","average","5","high",19,2.57894736842105
"average.5eb278ce4602871c6d7e335d","average","5","low",18,-4.77777777777778
"average.5eb278ce4602871c6d7e335d","average","7","high",12,5.33333333333333
"average.5eb278ce4602871c6d7e335d","average","7","low",19,-1.21052631578947
"average.5f0a7dec44c42c19a6c9f6d9","average","3","high",14,-2.85714285714286
"average.5f0a7dec44c42c19a6c9f6d9","average","3","low",12,-0.666666666666667
"average.5f0a7dec44c42c19a6c9f6d9","average","5","high",15,-0.933333333333333
"average.5f0a7dec44c42c19a6c9f6d9","average","5","low",19,-2.36842105263158
"average.5f0a7dec44c42c19a6c9f6d9","average","7","high",16,-0.6875
"average.5f0a7dec44c42c19a6c9f6d9","average","7","low",27,0.111111111111111
"average.5f3898caed1478189b8462a0","average","3","high",15,0.2
"average.5f3898caed1478189b8462a0","average","3","low",17,-4.94117647058824
"average.5f3898caed1478189b8462a0","average","5","high",11,5.09090909090909
"average.5f3898caed1478189b8462a0","average","5","low",20,-3.95
"average.5f3898caed1478189b8462a0","average","7","high",18,7.66666666666667
"average.5f3898caed1478189b8462a0","average","7","low",14,-4.14285714285714
"average.5f9fdfd04296cb0102563f84","average","3","high",13,5.07692307692308
"average.5f9fdfd04296cb0102563f84","average","3","low",18,0.444444444444445
"average.5f9fdfd04296cb0102563f84","average","5","high",15,3.26666666666667
"average.5f9fdfd04296cb0102563f84","average","5","low",31,0.838709677419355
"average.5f9fdfd04296cb0102563f84","average","7","high",18,-0.0555555555555556
"average.5f9fdfd04296cb0102563f84","average","7","low",9,-0.333333333333333
"average.606f9bca353fc36aba9ccb8b","average","3","high",10,1.4
"average.606f9bca353fc36aba9ccb8b","average","3","low",22,-2.09090909090909
"average.606f9bca353fc36aba9ccb8b","average","5","high",20,3.1
"average.606f9bca353fc36aba9ccb8b","average","5","low",14,-1.14285714285714
"average.606f9bca353fc36aba9ccb8b","average","7","high",16,4.25
"average.606f9bca353fc36aba9ccb8b","average","7","low",20,0.25
"average.61fa94015719bc09cb834e2e","average","3","high",12,-3.75
"average.61fa94015719bc09cb834e2e","average","3","low",16,-1.5625
"average.61fa94015719bc09cb834e2e","average","5","high",15,-0.6
"average.61fa94015719bc09cb834e2e","average","5","low",23,0.695652173913044
"average.61fa94015719bc09cb834e2e","average","7","high",19,-0.947368421052631
"average.61fa94015719bc09cb834e2e","average","7","low",19,0.842105263157895
"average.620bdd10a922fc3f247f6b6b","average","3","high",16,0.9375
"average.620bdd10a922fc3f247f6b6b","average","3","low",19,0.736842105263158
"average.620bdd10a922fc3f247f6b6b","average","5","high",10,2.7
"average.620bdd10a922fc3f247f6b6b","average","5","low",22,2.68181818181818
"average.620bdd10a922fc3f247f6b6b","average","7","high",18,3.72222222222222
"average.620bdd10a922fc3f247f6b6b","average","7","low",16,2.5625
"average.63d40c3695dd423166c7c83d","average","3","high",8,-1.875
"average.63d40c3695dd423166c7c83d","average","3","low",19,-0.736842105263158
"average.63d40c3695dd423166c7c83d","average","5","high",17,-1.35294117647059
"average.63d40c3695dd423166c7c83d","average","5","low",17,2.82352941176471
"average.63d40c3695dd423166c7c83d","average","7","high",19,-3.31578947368421
"average.63d40c3695dd423166c7c83d","average","7","low",18,0.888888888888889
"average.63e55e08efd239a8c8b9d39e","average","3","high",15,-6.4
"average.63e55e08efd239a8c8b9d39e","average","3","low",24,0
"average.63e55e08efd239a8c8b9d39e","average","5","high",14,-2.85714285714286
"average.63e55e08efd239a8c8b9d39e","average","5","low",15,2.46666666666667
"average.63e55e08efd239a8c8b9d39e","average","7","high",15,-4.6
"average.63e55e08efd239a8c8b9d39e","average","7","low",17,7.76470588235294
"average.63fa812428f289c772131458","average","3","high",19,-4.1578947368421
"average.63fa812428f289c772131458","average","3","low",18,-1.61111111111111
"average.63fa812428f289c772131458","average","5","high",13,-0.769230769230769
"average.63fa812428f289c772131458","average","5","low",22,3.86363636363636
"average.63fa812428f289c772131458","average","7","high",12,-3.16666666666667
"average.63fa812428f289c772131458","average","7","low",19,5.73684210526316
"average.65dfbf73ec3a047b5653add8","average","3","high",12,1.25
"average.65dfbf73ec3a047b5653add8","average","3","low",23,-1.04347826086957
"average.65dfbf73ec3a047b5653add8","average","5","high",18,0.5
"average.65dfbf73ec3a047b5653add8","average","5","low",21,0.476190476190476
"average.65dfbf73ec3a047b5653add8","average","7","high",16,2.8125
"average.65dfbf73ec3a047b5653add8","average","7","low",13,-0.076923076923077
"average.65ebbd5d9188410923b21986","average","3","high",10,-2.5
"average.65ebbd5d9188410923b21986","average","3","low",22,-0.227272727272728
"average.65ebbd5d9188410923b21986","average","5","high",21,-2.23809523809524
"average.65ebbd5d9188410923b21986","average","5","low",15,3.66666666666667
"average.65ebbd5d9188410923b21986","average","7","high",15,2.13333333333333
"average.65ebbd5d9188410923b21986","average","7","low",21,4.33333333333333
"average.66295cf0dbecaeeb1cddb852","average","3","high",6,-1.5
"average.66295cf0dbecaeeb1cddb852","average","3","low",28,-2.53571428571429
"average.66295cf0dbecaeeb1cddb852","average","5","high",12,-1.83333333333333
"average.66295cf0dbecaeeb1cddb852","average","5","low",18,0.722222222222222
"average.66295cf0dbecaeeb1cddb852","average","7","high",28,0.892857142857143
"average.66295cf0dbecaeeb1cddb852","average","7","low",14,1.5
"average.66c0f464e0ff62798027b486","average","3","high",11,-2.18181818181818
"average.66c0f464e0ff62798027b486","average","3","low",22,-2.22727272727273
"average.66c0f464e0ff62798027b486","average","5","high",15,2.13333333333333
"average.66c0f464e0ff62798027b486","average","5","low",16,0.5
"average.66c0f464e0ff62798027b486","average","7","high",18,3.72222222222222
"average.66c0f464e0ff62798027b486","average","7","low",20,0.95
"average.66e89b61d7709ff7f27a76be","average","3","high",9,3.44444444444444
"average.66e89b61d7709ff7f27a76be","average","3","low",44,0.181818181818183
"average.66e89b61d7709ff7f27a76be","average","5","high",12,4.16666666666667
"average.66e89b61d7709ff7f27a76be","average","5","low",11,-0.818181818181818
"average.66e89b61d7709ff7f27a76be","average","7","high",25,3.48
"average.66e89b61d7709ff7f27a76be","average","7","low",4,-0.75
"average.66f0c81ea46a554aeb92cd04","average","3","high",15,1.73333333333333
"average.66f0c81ea46a554aeb92cd04","average","3","low",13,-0.384615384615384
"average.66f0c81ea46a554aeb92cd04","average","5","high",14,4.35714285714286
"average.66f0c81ea46a554aeb92cd04","average","5","low",19,3
"average.66f0c81ea46a554aeb92cd04","average","7","high",15,4.06666666666667
