"participant_id","condition","variance_level","n_trials","r","z"
"average.55b5f6b6fdf99b713277dc94","average","3",71,0.778720191926987,1.04211069540999
"average.55b5f6b6fdf99b713277dc94","average","5",71,0.729581069020627,0.927831074397578
"average.55b5f6b6fdf99b713277dc94","average","7",66,0.546156999688831,0.612888226121038
"average.58ed2be2a083320001a13783","average","3",67,0.912309897735333,1.54112906344297
"average.58ed2be2a083320001a13783","average","5",67,0.882989013096516,1.38917392915322
"average.58ed2be2a083320001a13783","average","7",71,0.767825890982403,1.01500910014458
"average.5d27dc6b46dea800184f8bfa","average","3",71,0.530441943584474,0.590759938926042
"average.5d27dc6b46dea800184f8bfa","average","5",70,0.442057992881942,0.474785753464855
"average.5d27dc6b46dea800184f8bfa","average","7",69,0.583148271787232,0.667220064909248
"average.5eb278ce4602871c6d7e335d","average","3",70,0.895782425075068,1.45045307055979
"average.5eb278ce4602871c6d7e335d","average","5",72,0.909770938691147,1.52619351191254
"average.5eb278ce4602871c6d7e335d","average","7",69,0.767165498735142,1.01340211130259
"average.5f0a7dec44c42c19a6c9f6d9","average","3",70,0.831311328252706,1.19236636251049
"average.5f0a7dec44c42c19a6c9f6d9","average","5",71,0.840016218212392,1.22122860927067
"average.5f0a7dec44c42c19a6c9f6d9","average","7",72,0.796918371816233,1.09011022677793
"average.5f3898caed1478189b8462a0","average","3",64,0.913137834926115,1.54608873287181
"average.5f3898caed1478189b8462a0","average","5",62,0.859896355325691,1.29294678720049
"average.5f3898caed1478189b8462a0","average","7",65,0.701200905838337,0.869659137091482
"average.5f9fdfd04296cb0102563f84","average","3",68,0.636464926047107,0.752208939771233
"average.5f9fdfd04296cb0102563f84","average","5",71,0.710574686904207,0.888343694686306
"average.5f9fdfd04296cb0102563f84","average","7",71,0.660821187936932,0.794270006514647
"average.606f9bca353fc36aba9ccb8b","average","3",71,0.792953937627222,1.07933924555569
"average.606f9bca353fc36aba9ccb8b","average","5",69,0.686850286463664,0.841968469495126
"average.606f9bca353fc36aba9ccb8b","average","7",68,0.639097234562721,0.756646164146346
"average.61fa94015719bc09cb834e2e","average","3",69,0.931819496488834,1.67202946518975
"average.61fa94015719bc09cb834e2e","average","5",72,0.915520973787242,1.56062081026865
"average.61fa94015719bc09cb834e2e","average","7",72,0.888982589133788,1.41705330341066
"average.620bdd10a922fc3f247f6b6b","average","3",69,0.892875788623558,1.43593175886338
"average.620bdd10a922fc3f247f6b6b","average","5",68,0.853622095643019,1.2693526149141
"average.620bdd10a922fc3f247f6b6b","average","7",72,0.768521817937746,1.01670686120476
"average.63d40c3695dd423166c7c83d","average","3",62,0.828892787753218,1.18458784823639
"average.63d40c3695dd423166c7c83d","average","5",67,0.821515307002174,1.16146058794951
"average.63d40c3695dd423166c7c83d","average","7",62,0.76894479384185,1.01774090822759
"average.63e55e08efd239a8c8b9d39e","average","3",69,0.81637270140897,1.14584430894362
"average.63e55e08efd239a8c8b9d39e","average","5",70,0.710820750951947,0.888840885449938
"average.63e55e08efd239a8c8b9d39e","average","7",69,0.587816280358747,0.674322885614718
"average.63fa812428f289c772131458","average","3",69,0.731965146459643,0.932947471524982
"average.63fa812428f289c772131458","average","5",70,0.582918483757115,0.666871939239907
