"response_value","variance_level","condition","mean_true","n_trials"
1,"3","average",14.3333333333333,3
1,"3","experience",17,2
1,"5","average",15.6666666666667,3
1,"5","experience",15,1
1,"7","average",14,1
1,"7","experience",15,3
2,"3","average",16,4
2,"3","experience",15,3
2,"5","average",19.5,2
2,"5","experience",14.5,2
3,"3","average",16.2857142857143,7
3,"3","experience",16.6,5
3,"5","average",15.25,4
3,"5","experience",18,2
3,"7","average",14.5,2
3,"7","experience",17.3333333333333,6
4,"3","average",16.625,8
4,"3","experience",16.875,8
4,"5","average",17,3
4,"5","experience",17.25,4
4,"7","average",15,2
4,"7","experience",17.2,5
5,"3","average",17,9
5,"3","experience",16,14
5,"5","average",21,2
5,"5","experience",17,5
5,"7","average",19,5
5,"7","experience",17.2,10
6,"3","average",18.0769230769231,26
6,"3","experience",16.1666666666667,18
6,"5","average",15.7777777777778,9
6,"5","experience",15.8571428571429,14
6,"7","average",16.2857142857143,7
6,"7","experience",16.8,5
7,"3","average",16.2142857142857,14
7,"3","experience",16.1481481481481,27
7,"5","average",16.2380952380952,21
7,"5","experience",16.4347826086957,23
7,"7","average",17.375,8
7,"7","experience",18.0714285714286,14
8,"3","average",16.8787878787879,33
8,"3","experience",16.6,30
8,"5","average",17.1578947368421,19
8,"5","experience",17.4285714285714,21
8,"7","average",18.5238095238095,21
8,"7","experience",15.8571428571429,14
9,"3","average",16.825,40
9,"3","experience",17.75,36
9,"5","average",16.2666666666667,30
9,"5","experience",17.0833333333333,36
9,"7","average",16.90625,32
9,"7","experience",18.0434782608696,23
10,"3","average",17.5081967213115,61
10,"3","experience",17.4255319148936,47
10,"5","average",17.6122448979592,49
10,"5","experience",16.7,40
10,"7","average",17.9714285714286,35
10,"7","experience",16.4705882352941,34
11,"3","average",16.8461538461538,78
11,"3","experience",17.2098765432099,81
11,"5","average",16.7317073170732,41
11,"5","experience",17.3035714285714,56
11,"7","average",17.7719298245614,57
11,"7","experience",17.9761904761905,42
12,"3","average",18.202380952381,84
12,"3","experience",17.3586956521739,92
12,"5","average",17.8507462686567,67
12,"5","experience",17.3684210526316,57
12,"7","average",17.9827586206897,58
12,"7","experience",19.2222222222222,54
13,"3","average",18.3142857142857,105
13,"3","experience",17.7889908256881,109
13,"5","average",18.0144927536232,69
13,"5","experience",18.8641975308642,81
13,"7","average",17.8918918918919,74
13,"7","experience",18.0338983050847,59
14,"3","average",18.2283464566929,127
14,"3","experience",17.6608695652174,115
14,"5","average",18.6538461538462,104
14,"5","experience",18.7083333333333,96
14,"7","average",19.5,74
14,"7","experience",18.6590909090909,88
15,"3","average",18.6865671641791,134
15,"3","experience",19.0263157894737,152
15,"5","average",17.9401709401709,117
15,"5","experience",18.3274336283186,113
15,"7","average",19.5247524752475,101
15,"7","experience",19.438202247191,89
16,"3","average",19.0144927536232,138
16,"3","experience",18.8636363636364,132
16,"5","average",19.1791044776119,134
16,"5","experience",18.895652173913,115
16,"7","average",18.8053097345133,113
16,"7","experience",19.9207920792079,101
17,"3","average",20.0540540540541,148
17,"3","experience",19.5611510791367,139
17,"5","average",19.3404255319149,141
17,"5","experience",19.177304964539,141
17,"7","average",20.1150442477876,113
17,"7","experience",19.6635514018692,107
18,"3","average",20.8263888888889,144
18,"3","experience",20.2105263157895,152
18,"5","average",20.4790419161677,167
18,"5","experience",19.9527559055118,127
18,"7","average",20.4466666666667,150
18,"7","experience",20.7407407407407,108
19,"3","average",20.8765432098765,162
19,"3","experience",19.9929078014184,141
19,"5","average",21.2397260273973,146
19,"5","experience",20.4166666666667,144
19,"7","average",21.0642857142857,140
19,"7","experience",20.4336283185841,113
20,"3","average",21.5179856115108,139
20,"3","experience",21.6594202898551,138
20,"5","average",21.2838709677419,155
20,"5","experience",20.5906040268456,149
20,"7","average",22.1753246753247,154
20,"7","experience",20.6666666666667,156
21,"3","average",22.9606299212598,127
21,"3","experience",21.6271186440678,118
21,"5","average",21.876404494382,178
21,"5","experience",21.6838709677419,155
21,"7","average",22.3461538461538,156
21,"7","experience",22.7801418439716,141
22,"3","average",23.9333333333333,135
22,"3","experience",23.584,125
22,"5","average",22.38,150
22,"5","experience",23.3825503355705,149
22,"7","average",22.5269461077844,167
22,"7","experience",22.2910447761194,134
23,"3","average",24.3308270676692,133
23,"3","experience",23.6283185840708,113
23,"5","average",23.5819209039548,177
23,"5","experience",23.5114503816794,131
23,"7","average",24.075,160
23,"7","experience",24.1883116883117,154
24,"3","average",24.8142857142857,140
24,"3","experience",24.7659574468085,141
24,"5","average",24.9295774647887,142
24,"5","experience",24.1689189189189,148
24,"7","average",25.3390804597701,174
24,"7","experience",24.1161290322581,155
25,"3","average",25.864,125
25,"3","experience",25.0650406504065,123
25,"5","average",24.9444444444444,144
25,"5","experience",25.3943661971831,142
25,"7","average",25.6078431372549,153
25,"7","experience",25.0689655172414,174
26,"3","average",26.1833333333333,120
26,"3","experience",25.9354838709677,124
26,"5","average",26.5244755244755,143
26,"5","experience",26.3333333333333,150
26,"7","average",26.1524390243902,164
26,"7","experience",25.6025641025641,156
27,"3","average",26.9731543624161,149
27,"3","experience",27.256,125
27,"5","average",26.3356643356643,143
27,"5","experience",25.9538461538462,130
27,"7","average",26.9885714285714,175
27,"7","experience",26.06875,160
28,"3","average",27.4464285714286,112
28,"3","experience",28.0924369747899,119
28,"5","average",27.3283582089552,134
28,"5","experience",26.7771084337349,166
28,"7","average",27.4078947368421,152
28,"7","experience",26.530487804878,164
29,"3","average",28.3716216216216,148
29,"3","experience",29,124
29,"5","average",28.487012987013,154
29,"5","experience",27.8389830508475,118
29,"7","average",27.9068322981366,161
29,"7","experience",26.7103448275862,145
30,"3","average",29.2962962962963,108
30,"3","experience",28.288,125
30,"5","average",28.4013157894737,152
30,"5","experience",27.4883720930233,129
30,"7","average",28.4890510948905,137
30,"7","experience",28.2080536912752,149
31,"3","average",29.2881355932203,118
31,"3","experience",29.3148148148148,108
31,"5","average",28.904,125
31,"5","experience",28.9264705882353,136
31,"7","average",28.5890410958904,146
31,"7","experience",27.9940476190476,168
32,"3","average",29.6019417475728,103
32,"3","experience",29.7327586206897,116
32,"5","average",29.8909090909091,110
32,"5","experience",28.8602941176471,136
32,"7","average",29.6666666666667,120
32,"7","experience",28.4609375,128
33,"3","average",29.7283950617284,81
33,"3","experience",30.09375,96
33,"5","average",29.8924731182796,93
33,"5","experience",30.02,100
33,"7","average",29.537037037037,108
33,"7","experience",28.8869565217391,115
34,"3","average",30.6896551724138,87
34,"3","experience",30.7260273972603,73
34,"5","average",30.3,90
34,"5","experience",30.3846153846154,91
34,"7","average",29.719512195122,82
34,"7","experience",29.6339285714286,112
35,"3","average",31.3625,80
35,"3","experience",31.2584269662921,89
35,"5","average",30.45,80
35,"5","experience",30.3076923076923,78
35,"7","average",30.7042253521127,71
35,"7","experience",30.3506493506494,77
36,"3","average",31.4,70
36,"3","experience",32.1935483870968,62
36,"5","average",30.6792452830189,53
36,"5","experience",30.5810810810811,74
36,"7","average",31.3589743589744,78
36,"7","experience",30.3,70
37,"3","average",31.4545454545455,44
37,"3","experience",31.2413793103448,58
37,"5","average",31.780487804878,41
37,"5","experience",31.4603174603175,63
37,"7","average",30.5853658536585,41
37,"7","experience",30.90625,64
38,"3","average",31.5094339622642,53
38,"3","experience",31.8,50
38,"5","average",31.6829268292683,41
38,"5","experience",29.6857142857143,35
38,"7","average",29.8787878787879,33
38,"7","experience",29.7441860465116,43
39,"3","average",31.8333333333333,30
39,"3","experience",32.2413793103448,29
39,"5","average",31.037037037037,27
39,"5","experience",31.2857142857143,28
39,"7","average",30.5151515151515,33
39,"7","experience",31.6279069767442,43
40,"3","average",31.6842105263158,19
40,"3","experience",32.037037037037,27
40,"5","average",31.7142857142857,21
40,"5","experience",31.8787878787879,33
40,"7","average",29.625,32
40,"7","experience",32.0740740740741,27
41,"3","average",31.3,10
41,"3","experience",31.8421052631579,19
41,"5","average",31.95,20
41,"5","experience",31.5217391304348,23
41,"7","average",31,19
41,"7","experience",32.4814814814815,27
42,"3","average",33.2142857142857,14
42,"3","experience",32.0952380952381,21
42,"5","average",31.0909090909091,11
42,"5","experience",31.1428571428571,14
42,"7","average",31.3846153846154,13
42,"7","experience",30.0714285714286,14
43,"3","average",33.25,12
43,"3","experience",32.3125,16
43,"5","average",32.1,10
43,"5","experience",33.25,8
43,"7","average",33.1428571428571,7
43,"7","experience",30.2666666666667,15
44,"3","average",34.1,10
44,"3","experience",33.0833333333333,12
44,"5","average",31.5,6
44,"5","experience",31.6666666666667,6
44,"7","average",32.1666666666667,6
44,"7","experience",32.125,8
45,"3","average",31.5,8
45,"3","experience",33.25,12
45,"5","average",34,4
45,"5","experience",34.2,5
45,"7","average",35,1
45,"7","experience",31.2857142857143,7
46,"3","average",32.9,10
46,"3","experience",31.7142857142857,7
46,"5","average",32,2
46,"5","experience",25,2
46,"7","average",33,2
46,"7","experience",23,1
48,"3","average",33.1333333333333,15
48,"3","experience",32.4375,16
48,"5","average",33.5,2
48,"5","experience",32.7857142857143,14
48,"7","average",32.3333333333333,3
48,"7","experience",32.8461538461538,13
