"experiment","model","condition","variance_level","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"exp4","combined","average","3",0.626406749072527,0.0214008151746559,117.01130408942,0.584023598832054,0.668789899313001,29.2702284450527,1.1375019669491e-55
"exp4","combined","experience","3",0.622178637164826,0.0215006116240641,114.54789205624,0.579588276254028,0.664768998075625,28.9377180539584,1.69214671856142e-54
"exp4","combined","average","5",0.660076266487973,0.0217325937848479,124.421442055833,0.617062811309621,0.703089721666326,30.3726408832149,2.16077946524499e-59
"exp4","combined","experience","5",0.617061174686898,0.021736090881132,119.673809576327,0.574024032726668,0.660098316647127,28.388783340179,5.38396152197071e-55
"exp4","combined","average","7",0.623423990046665,0.0219136109998496,128.544772305365,0.580065920207178,0.666782059886152,28.44916750831,2.53758402277611e-57
"exp4","combined","experience","7",0.592522234356562,0.0218900053692441,123.072193912903,0.549192563408987,0.635851905304138,27.0681630434439,1.15871245106827e-53
"exp4","experience","experience","3",0.621527728170564,0.02163712937475,56.4472277321197,0.578190926563274,0.664864529777854,28.7250548538972,2.23804163487763e-35
"exp4","experience","experience","5",0.616353402949568,0.0218668781590197,58.8951721892836,0.572596251237418,0.660110554661719,28.1866208092139,6.91115894126796e-36
"exp4","experience","experience","7",0.591853566964693,0.0220189849009547,60.5384425964245,0.547817095301116,0.63589003862827,26.8792394212065,2.36739248441125e-35
"exp4","average","average","3",0.62649417549163,0.0214147433423997,59.148303665961,0.583645620943304,0.669342730039955,29.2552735970089,7.08038351128828e-37
"exp4","average","average","5",0.660263378347191,0.0217519752255167,62.9540152044665,0.616794902981546,0.703731853712836,30.3541803216405,2.67520587070175e-39
"exp4","average","average","7",0.623740313693898,0.0219292906627662,64.9981916899005,0.579944472908478,0.667536154479318,28.4432507775069,2.14289518173958e-38
