"bucket","bucket_label","array_length","condition","value","n_trials","direction"
4,"3-5","2","experience",17.25,4,"reverse"
4,"3-5","10","experience",15,1,"reverse"
4,"3-5","20","experience",14,2,"reverse"
7,"6-8","2","experience",15.2857142857143,14,"reverse"
7,"6-8","10","experience",16.25,4,"reverse"
7,"6-8","20","experience",15.2857142857143,7,"reverse"
10,"9-11","2","experience",16.6615384615385,65,"reverse"
10,"9-11","10","experience",16.7307692307692,26,"reverse"
10,"9-11","20","experience",17.030303030303,33,"reverse"
13,"12-14","2","experience",17.956043956044,91,"reverse"
13,"12-14","10","experience",17.2753623188406,69,"reverse"
13,"12-14","20","experience",19.2470588235294,85,"reverse"
16,"15-17","2","experience",19.4551724137931,145,"reverse"
16,"15-17","10","experience",18.4536082474227,97,"reverse"
16,"15-17","20","experience",20.0078125,128,"reverse"
19,"18-20","2","experience",22.6423841059603,151,"reverse"
19,"18-20","10","experience",19.7236842105263,152,"reverse"
19,"18-20","20","experience",21.1342281879195,149,"reverse"
22,"21-23","2","experience",24.7730061349693,163,"reverse"
22,"21-23","10","experience",22.3355263157895,152,"reverse"
22,"21-23","20","experience",23.6551724137931,145,"reverse"
25,"24-26","2","experience",27.7867647058824,136,"reverse"
25,"24-26","10","experience",23.8541666666667,144,"reverse"
25,"24-26","20","experience",25.7642857142857,140,"reverse"
28,"27-29","2","experience",29.1640625,128,"reverse"
28,"27-29","10","experience",26.9096774193548,155,"reverse"
28,"27-29","20","experience",27.6511627906977,129,"reverse"
31,"30-32","2","experience",31.04,100,"reverse"
31,"30-32","10","experience",28.843537414966,147,"reverse"
31,"30-32","20","experience",30.3253968253968,126,"reverse"
34,"33-35","2","experience",32.2857142857143,84,"reverse"
34,"33-35","10","experience",30.5842696629213,89,"reverse"
34,"33-35","20","experience",31.2234042553191,94,"reverse"
37,"36-38","2","experience",32.6,30,"reverse"
37,"36-38","10","experience",32.7377049180328,61,"reverse"
37,"36-38","20","experience",31.3076923076923,52,"reverse"
40,"39-41","2","experience",33.2105263157895,19,"reverse"
40,"39-41","10","experience",31.4285714285714,35,"reverse"
40,"39-41","20","experience",32.4594594594595,37,"reverse"
43,"42-44","2","experience",33.1666666666667,12,"reverse"
43,"42-44","10","experience",32.875,8,"reverse"
43,"42-44","20","experience",33,7,"reverse"
46,"45-47","2","experience",36,2,"reverse"
46,"45-47","10","experience",31.1666666666667,6,"reverse"
46,"45-47","20","experience",36,3,"reverse"
49,"48-50","10","experience",32.5,2,"reverse"
49,"48-50","20","experience",35,2,"reverse"
13,"12-14","2","experience",13.0727272727273,55,"forward"
13,"12-14","10","experience",15.7777777777778,63,"forward"
13,"12-14","20","experience",14.3421052631579,38,"forward"
16,"15-17","2","experience",14.9745222929936,157,"forward"
16,"15-17","10","experience",19.0061728395062,162,"forward"
16,"15-17","20","experience",17.2068965517241,145,"forward"
19,"18-20","2","experience",17.3082706766917,133,"forward"
19,"18-20","10","experience",20.1965317919075,173,"forward"
19,"18-20","20","experience",18.8152866242038,157,"forward"
22,"21-23","2","experience",20.0896551724138,145,"forward"
22,"21-23","10","experience",23.317880794702,151,"forward"
22,"21-23","20","experience",20.9929078014184,141,"forward"
25,"24-26","2","experience",22.0866666666667,150,"forward"
25,"24-26","10","experience",25.5538461538462,130,"forward"
25,"24-26","20","experience",24.1533742331288,163,"forward"
28,"27-29","2","experience",25.9496402877698,139,"forward"
28,"27-29","10","experience",27.6190476190476,147,"forward"
28,"27-29","20","experience",26.8931297709924,131,"forward"
31,"30-32","2","experience",28.0272108843537,147,"forward"
31,"30-32","10","experience",30.3913043478261,138,"forward"
31,"30-32","20","experience",29.4512195121951,164,"forward"
34,"33-35","2","experience",30.8554913294798,173,"forward"
34,"33-35","10","experience",33.5714285714286,140,"forward"
34,"33-35","20","experience",31.3661971830986,142,"forward"
37,"36-38","2","experience",33.2666666666667,45,"forward"
37,"36-38","10","experience",33.8863636363636,44,"forward"
37,"36-38","20","experience",34.1896551724138,58,"forward"
