"participant_id","condition","array_length","band","n_trials","dist","inward"
"experience.55ecd6ff748092000daa9f5f","experience","2","extreme",15,8.34184397163121,0.866666666666666
"experience.55ecd6ff748092000daa9f5f","experience","2","middle",17,2.55193992490613,-0.176470588235294
"experience.55ecd6ff748092000daa9f5f","experience","10","extreme",20,8.37553191489362,1
"experience.55ecd6ff748092000daa9f5f","experience","10","middle",10,2.7,-1.2
"experience.55ecd6ff748092000daa9f5f","experience","20","extreme",17,8.35919899874843,1.82352941176471
"experience.55ecd6ff748092000daa9f5f","experience","20","middle",15,3.14184397163121,-1.33333333333333
"experience.56b53292a9d33a000c8981a6","experience","2","extreme",16,8.90870786516854,2.375
"experience.56b53292a9d33a000c8981a6","experience","2","middle",14,3.24157303370787,0.357142857142857
"experience.56b53292a9d33a000c8981a6","experience","10","extreme",17,8.60872438863186,3.35294117647059
"experience.56b53292a9d33a000c8981a6","experience","10","middle",13,2.13310285220398,0.230769230769231
"experience.56b53292a9d33a000c8981a6","experience","20","extreme",15,9.187265917603,1.06666666666667
"experience.56b53292a9d33a000c8981a6","experience","20","middle",14,2.5,1.07142857142857
"experience.59205f5005b0ce000123c6e6","experience","2","extreme",13,8.58704453441296,-0.846153846153846
"experience.59205f5005b0ce000123c6e6","experience","2","middle",19,2.90304709141274,0.68421052631579
"experience.59205f5005b0ce000123c6e6","experience","10","extreme",17,8.19814241486068,-0.823529411764706
"experience.59205f5005b0ce000123c6e6","experience","10","middle",14,3.73308270676692,3.14285714285714
"experience.59205f5005b0ce000123c6e6","experience","20","extreme",17,8.27244582043344,0.647058823529412
"experience.59205f5005b0ce000123c6e6","experience","20","middle",15,2.54035087719298,-1
"experience.5b6db9e0580154000153cc64","experience","2","extreme",13,8.82758620689655,2.84615384615385
"experience.5b6db9e0580154000153cc64","experience","2","middle",15,3.02758620689655,0.866666666666666
"experience.5b6db9e0580154000153cc64","experience","10","extreme",14,8.47536945812808,2.85714285714286
"experience.5b6db9e0580154000153cc64","experience","10","middle",15,2.94942528735632,1.4
"experience.5b6db9e0580154000153cc64","experience","20","extreme",14,8.98768472906404,0.357142857142857
"experience.5b6db9e0580154000153cc64","experience","20","middle",16,2.07327586206897,1.4375
"experience.5d6b2515783298001a763157","experience","2","extreme",14,9.58229813664596,0.785714285714286
"experience.5d6b2515783298001a763157","experience","2","middle",15,2.90507246376812,0.0666666666666668
"experience.5d6b2515783298001a763157","experience","10","extreme",20,8.4,0.8
"experience.5d6b2515783298001a763157","experience","10","middle",12,2.76268115942029,2.41666666666667
"experience.5d6b2515783298001a763157","experience","20","extreme",20,8.40760869565217,0.55
"experience.5d6b2515783298001a763157","experience","20","middle",11,2.93379446640316,-1.45454545454545
"experience.5e03e20e4cac68ec33187d80","experience","2","extreme",22,8.18181818181818,0.363636363636364
"experience.5e03e20e4cac68ec33187d80","experience","2","middle",9,2.34408602150538,-0.111111111111111
"experience.5e03e20e4cac68ec33187d80","experience","10","extreme",19,8.35257498585173,1.89473684210526
"experience.5e03e20e4cac68ec33187d80","experience","10","middle",12,3.26702508960573,1.16666666666667
"experience.5e03e20e4cac68ec33187d80","experience","20","extreme",17,7.77039848197343,1.17647058823529
