"experiment","version","band","level","n_trials","n_participants","mean_report","sd_report","mean_objective","sd_objective","gap"
"short_exposure","raw","extreme low (1-9)","2 squares",34,19,7.79411764705882,1.55269876031547,15.4705882352941,1.98837978991648,7.6764705882353
"short_exposure","raw","extreme low (1-9)","10 squares",11,7,7.54545454545455,1.80906806746658,15.3636363636364,1.74772579501061,7.81818181818182
"short_exposure","raw","extreme low (1-9)","20 squares",21,14,8,1.37840487520902,16.1428571428571,2.59394900269289,8.14285714285714
"short_exposure","raw","low (10-14)","2 squares",140,34,12.1642857142857,1.39686552648243,17.6714285714286,3.30563690603997,5.50714285714286
"short_exposure","raw","low (10-14)","10 squares",89,30,12.5505617977528,1.32297217000771,17.2808988764045,3.52906362820657,4.73033707865168
"short_exposure","raw","low (10-14)","20 squares",106,36,12.4905660377358,1.23631775094907,18.811320754717,4.29864476439055,6.32075471698113
"short_exposure","raw","high (36-40)","2 squares",42,22,37.6904761904762,1.4053572627644,32.7142857142857,4.05020754834478,4.97619047619048
"short_exposure","raw","high (36-40)","10 squares",91,30,37.6373626373626,1.43384861680787,32.2417582417582,4.02862165384048,5.3956043956044
"short_exposure","raw","high (36-40)","20 squares",81,25,37.7901234567901,1.41170153877082,31.7407407407407,4.49938267370585,6.04938271604939
"short_exposure","raw","extreme high (41-50)","2 squares",21,13,42.5238095238095,1.5039630187956,33.5714285714286,2.61861468283191,8.95238095238095
"short_exposure","raw","extreme high (41-50)","10 squares",21,11,43.5238095238095,2.18217890235992,32.2857142857143,3.87482718508654,11.2380952380952
"short_exposure","raw","extreme high (41-50)","20 squares",20,11,42.95,2.39462116551153,33.35,3.28112625079929,9.6
"short_exposure","shift_removed","extreme low (1-9)","2 squares",15,9,7.53333333333333,1.84648959096005,15.5333333333333,1.68466472572297,8
"short_exposure","shift_removed","extreme low (1-9)","10 squares",17,11,7.11764705882353,2.3686059439356,16.3529411764706,3.21988308154559,9.23529411764706
"short_exposure","shift_removed","extreme low (1-9)","20 squares",14,10,7.5,2.06621169516358,17.9285714285714,5.71723824821156,10.4285714285714
"short_exposure","shift_removed","low (10-14)","2 squares",77,27,12.5584415584416,1.29262591256292,16.4155844155844,2.53060555136435,3.85714285714286
"short_exposure","shift_removed","low (10-14)","10 squares",95,32,12.6631578947368,1.26835901954597,17.0421052631579,3.04545629279998,4.37894736842105
"short_exposure","shift_removed","low (10-14)","20 squares",67,29,12.4776119402985,1.39651307055069,17.2238805970149,3.28827529409709,4.74626865671642
"short_exposure","shift_removed","high (36-40)","2 squares",84,32,37.5119047619048,1.40989658357008,33.2738095238095,2.88473836476746,4.23809523809524
"short_exposure","shift_removed","high (36-40)","10 squares",59,26,37.5254237288136,1.34364317157893,33.1525423728814,3.49784938518648,4.3728813559322
"short_exposure","shift_removed","high (36-40)","20 squares",84,29,37.6309523809524,1.25898947721147,32.9166666666667,2.8547501455599,4.71428571428571
"short_exposure","shift_removed","extreme high (41-50)","2 squares",22,16,42.9545454545455,1.91428894488323,33.6818181818182,2.23364667957524,9.27272727272727
"short_exposure","shift_removed","extreme high (41-50)","10 squares",11,8,42.4545454545455,1.57249078621379,31.8181818181818,4.51260859854213,10.6363636363636
"short_exposure","shift_removed","extreme high (41-50)","20 squares",18,11,42.5555555555556,2.20219735778027,34.7777777777778,1.47750009676741,7.77777777777778
