"bias","experiment","level","true","n","mean_report","sd_report"
-0.927272727272728,"short_exposure","2 squares",14,55,13.0727272727273,4.49631349183251
-1.11475409836066,"short_exposure","2 squares",15,61,13.8852459016393,4.74376208177904
-1.30952380952381,"short_exposure","2 squares",16,42,14.6904761904762,3.96009420458344
-0.574074074074073,"short_exposure","2 squares",17,54,16.4259259259259,6.21502091513308
-1.80487804878049,"short_exposure","2 squares",18,41,16.1951219512195,4.46217162486564
-1.5952380952381,"short_exposure","2 squares",19,42,17.4047619047619,4.19092820389716
-1.86,"short_exposure","2 squares",20,50,18.14,4.13057292068076
-1.30188679245283,"short_exposure","2 squares",21,53,19.6981132075472,5.4932997847741
-3.8,"short_exposure","2 squares",22,45,18.2,4.74149957100264
-0.659574468085108,"short_exposure","2 squares",23,47,22.3404255319149,4.99685377423365
-2.40384615384615,"short_exposure","2 squares",24,52,21.5961538461538,5.21408204612379
-4.02127659574468,"short_exposure","2 squares",25,47,20.9787234042553,4.34635960467332
-2.3921568627451,"short_exposure","2 squares",26,51,23.6078431372549,3.72063667332648
-2.59615384615385,"short_exposure","2 squares",27,52,24.4038461538462,4.62414640934767
-1.075,"short_exposure","2 squares",28,40,26.925,5.51635098639746
-2.17021276595745,"short_exposure","2 squares",29,47,26.8297872340426,5.61178553673145
-1.80434782608696,"short_exposure","2 squares",30,46,28.195652173913,4.36969139626024
-3.32,"short_exposure","2 squares",31,50,27.68,6.05566019589634
-3.7843137254902,"short_exposure","2 squares",32,51,28.2156862745098,6.16218703218328
-3.11111111111111,"short_exposure","2 squares",33,63,29.8888888888889,4.97124347107899
-1.89473684210526,"short_exposure","2 squares",34,57,32.1052631578947,5.91512652481004
-4.33962264150943,"short_exposure","2 squares",35,53,30.6603773584906,5.86693274674784
-2.73333333333333,"short_exposure","2 squares",36,45,33.2666666666667,5.92145559500672
1.77777777777778,"short_exposure","10 squares",14,63,15.7777777777778,4.43753943896856
3.25,"short_exposure","10 squares",15,56,18.25,6.17399237270195
2.08510638297872,"short_exposure","10 squares",16,47,18.0851063829787,5.81164418565095
3.45762711864407,"short_exposure","10 squares",17,59,20.4576271186441,5.96923732752814
2.30909090909091,"short_exposure","10 squares",18,55,20.3090909090909,5.45646991864374
0.409836065573771,"short_exposure","10 squares",19,61,19.4098360655738,5.48445393568745
0.92982456140351,"short_exposure","10 squares",20,57,20.9298245614035,5.11601005640559
0.928571428571427,"short_exposure","10 squares",21,56,21.9285714285714,5.53618556854362
1.59183673469388,"short_exposure","10 squares",22,49,23.5918367346939,4.9451928145209
1.71739130434782,"short_exposure","10 squares",23,46,24.7173913043478,5.49206718206971
0.717391304347824,"short_exposure","10 squares",24,46,24.7173913043478,5.70638256098968
1.39024390243902,"short_exposure","10 squares",25,41,26.390243902439,5.43543029014487
-0.348837209302324,"short_exposure","10 squares",26,43,25.6511627906977,5.05627248799629
1.36734693877551,"short_exposure","10 squares",27,49,28.3673469387755,5.38784850980666
-1.63265306122449,"short_exposure","10 squares",28,49,26.3673469387755,5.00705284886155
-0.877551020408163,"short_exposure","10 squares",29,49,28.1224489795918,4.85469125803942
-1.71111111111111,"short_exposure","10 squares",30,45,28.2888888888889,5.49223510646134
-0.586956521739129,"short_exposure","10 squares",31,46,30.4130434782609,5.77571962599187
0.382978723404257,"short_exposure","10 squares",32,47,32.3829787234043,5.57382544261613
-0.217391304347828,"short_exposure","10 squares",33,46,32.7826086956522,5.46061878251199
-0.209302325581397,"short_exposure","10 squares",34,43,33.7906976744186,5.307488597816
-0.901960784313722,"short_exposure","10 squares",35,51,34.0980392156863,4.31395364815518
-2.11363636363637,"short_exposure","10 squares",36,44,33.8863636363636,5.34492112366327
0.342105263157896,"short_exposure","20 squares",14,38,14.3421052631579,4.65151132539112
1.61224489795918,"short_exposure","20 squares",15,49,16.6122448979592,6.25438621599078
1.35294117647059,"short_exposure","20 squares",16,51,17.3529411764706,5.18776841970327
0.68888888888889,"short_exposure","20 squares",17,45,17.6888888888889,4.74256462179686
-0.415094339622641,"short_exposure","20 squares",18,53,17.5849056603774,5.25662205905067
0.446428571428573,"short_exposure","20 squares",19,56,19.4464285714286,5.25329210325087
-0.5625,"short_exposure","20 squares",20,48,19.4375,5.38676964739003
-0.0701754385964897,"short_exposure","20 squares",21,57,20.9298245614035,5.43092878508563
-0.702702702702702,"short_exposure","20 squares",22,37,21.2972972972973,5.78726986518622
-2.17021276595745,"short_exposure","20 squares",23,47,20.8297872340426,5.26398406291433
-1,"short_exposure","20 squares",24,63,23,6.2630508900705
-1.92857142857143,"short_exposure","20 squares",25,42,23.0714285714286,5.91975962408683
0.189655172413794,"short_exposure","20 squares",26,58,26.1896551724138,5.87428800180334
-0.615384615384617,"short_exposure","20 squares",27,52,26.3846153846154,6.68669690770001
-0.564102564102566,"short_exposure","20 squares",28,39,27.4358974358974,6.70739918140239
-1.975,"short_exposure","20 squares",29,40,27.025,5.92901384112106
-2.70175438596491,"short_exposure","20 squares",30,57,27.2982456140351,5.03546320851526
-0.745098039215687,"short_exposure","20 squares",31,51,30.2549019607843,4.33978403727606
-1.08928571428572,"short_exposure","20 squares",32,56,30.9107142857143,6.2907631729943
-3.22448979591837,"short_exposure","20 squares",33,49,29.7755102040816,6.06308951127795
-2.26086956521739,"short_exposure","20 squares",34,46,31.7391304347826,6.77391986505334
-2.3404255319149,"short_exposure","20 squares",35,47,32.6595744680851,5.00988846419576
-1.81034482758621,"short_exposure","20 squares",36,58,34.1896551724138,6.24206695566524
