"participant_id","trial","condition","array_length","n_items","shown_mean","item_sd","item_min","item_max","skew","n_at_edge"
"67ad0557981df85a8b4f3fb5",1,"average",10,10,37.6,4.8,31,48,0.632161458333332,0
"67ad0557981df85a8b4f3fb5",2,"average",11,11,8.90909090909091,5.08928545537397,1,17,0.0280766908022087,1
"67ad0557981df85a8b4f3fb5",3,"average",7,7,10.8571428571429,4.70345075232981,2,17,-0.53628791461611,0
"67ad0557981df85a8b4f3fb5",4,"average",7,7,37.1428571428571,5.05480171798689,29,46,0.195032617399282,0
"67ad0557981df85a8b4f3fb5",5,"average",4,4,8.75,3.76662979332984,5,15,0.868395698436968,0
"67ad0557981df85a8b4f3fb5",6,"average",2,2,7,1,6,8,0,0
"67ad0557981df85a8b4f3fb5",7,"average",5,5,12.4,5.67802782663136,5,18,-0.379941797596908,0
"67ad0557981df85a8b4f3fb5",8,"average",8,8,10.75,5.60691537300145,1,20,-0.0973308155766094,1
"67ad0557981df85a8b4f3fb5",9,"average",10,10,37.7,6.29364759102383,29,48,0.0215651258246456,0
"67ad0557981df85a8b4f3fb5",10,"average",2,2,8,2,6,10,0,0
"67ad0557981df85a8b4f3fb5",11,"average",2,2,8,1,7,9,0,0
"67ad0557981df85a8b4f3fb5",12,"average",7,7,9.85714285714286,6.49018096662888,2,20,0.156446400142889,0
"67ad0557981df85a8b4f3fb5",13,"average",11,11,9.63636363636364,6.00413080943941,1,20,0.175195127122967,1
"67ad0557981df85a8b4f3fb5",14,"average",11,11,11.5454545454545,6.12541110106292,1,20,-0.296329199110242,1
"67ad0557981df85a8b4f3fb5",15,"average",5,5,6.2,3.42928563989645,2,11,0.127354422972692,0
"67ad0557981df85a8b4f3fb5",16,"average",7,7,39.5714285714286,6.71580529916752,29,48,-0.273799591077339,0
"67ad0557981df85a8b4f3fb5",17,"average",3,3,37.3333333333333,4.18993502999218,33,43,0.445109265323634,0
"67ad0557981df85a8b4f3fb5",18,"average",4,4,37.25,4.9180788932265,31,43,-0.0748700991297026,0
"67ad0557981df85a8b4f3fb5",19,"average",8,8,38.125,5.62222153601225,29,46,-0.0660072293592341,0
"67ad0557981df85a8b4f3fb5",20,"average",6,6,10,5.77350269189626,1,19,-0.0779422863405995,1
"67ad0557981df85a8b4f3fb5",21,"average",2,2,29,4,25,33,0,0
"67ad0557981df85a8b4f3fb5",22,"average",2,2,30,4,26,34,0,0
