"participant_id","trial","array_length","item_sd","n_items","condition","level","experiment"
"6683fb33cc602af8407e62e9",6,2,1,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",7,10,6.15142259969188,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",9,2,2,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",11,10,5.5937465083788,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",12,10,6.04069532421558,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",18,10,5.88302643203309,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",21,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",22,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",23,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",24,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",25,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",26,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",27,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",28,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",29,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",30,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",31,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",32,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",33,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",34,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",35,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",36,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",37,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",38,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",39,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",40,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",41,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",42,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",43,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",44,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",45,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",46,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",47,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",48,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",49,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",50,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",51,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",52,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",53,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",54,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",55,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",56,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",57,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",58,10,5.9464274989274,10,"average",10,"exp2_batch2"
"6683fb33cc602af8407e62e9",59,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",60,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",61,20,5.5,20,"average",20,"exp2_batch2"
"6683fb33cc602af8407e62e9",62,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",63,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",64,2,4,2,"average",2,"exp2_batch2"
"6683fb33cc602af8407e62e9",65,10,5.9464274989274,10,"average",10,"exp2_batch2"
