"participant_id","trial","array_length","item_sd","n_items","condition","level","experiment"
"676f2ff678d74407b518207d",2,2,6.5,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",5,10,5.67538544946509,10,"experience",10,"short_exposure"
"676f2ff678d74407b518207d",7,2,1,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",8,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",21,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",22,10,5.9464274989274,10,"experience",10,"short_exposure"
"676f2ff678d74407b518207d",23,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",24,10,5.9464274989274,10,"experience",10,"short_exposure"
"676f2ff678d74407b518207d",25,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",26,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",27,10,5.9464274989274,10,"experience",10,"short_exposure"
"676f2ff678d74407b518207d",28,10,5.9464274989274,10,"experience",10,"short_exposure"
"676f2ff678d74407b518207d",29,20,5.5,20,"experience",20,"short_exposure"
"676f2ff678d74407b518207d",30,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",31,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",32,20,5.5,20,"experience",20,"short_exposure"
"676f2ff678d74407b518207d",33,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",34,10,5.9464274989274,10,"experience",10,"short_exposure"
"676f2ff678d74407b518207d",35,20,5.5,20,"experience",20,"short_exposure"
"676f2ff678d74407b518207d",36,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",37,20,5.5,20,"experience",20,"short_exposure"
"676f2ff678d74407b518207d",38,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",39,10,5.9464274989274,10,"experience",10,"short_exposure"
"676f2ff678d74407b518207d",40,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",41,20,5.5,20,"experience",20,"short_exposure"
"676f2ff678d74407b518207d",42,10,5.9464274989274,10,"experience",10,"short_exposure"
"676f2ff678d74407b518207d",43,2,4,2,"experience",2,"short_exposure"
"676f2ff678d74407b518207d",44,10,5.9464274989274,10,"experience",10,"short_exposure"
