"experiment","condition","levels_by_sd","slopes_by_sd","monotonic","worst_inversion","spearman_sd_slope"
"exp1","average","2 < 6 < 8 < 12","0.902 > 0.803 > 0.752 > 0.708",TRUE,0,-1
"exp1","experience","2 < 6 < 8 < 12","0.885 > 0.825 > 0.759 > 0.925",FALSE,0.165830483431097,0.2
"exp2","average","2 < 20 < 10","0.812 > 0.741 > 0.681",TRUE,0,-1
"exp2","experience","2 < 20 < 10","0.921 > 0.871 > 0.829",TRUE,0,-1
"exp2_batch2","average","2 < 20 < 10","0.831 > 0.759 > 0.688",TRUE,0,-1
"exp2_batch2","experience","2 < 20 < 10","0.972 > 0.916 > 0.821",TRUE,0,-1
"exp3","average","2 < 20 < 10","0.826 > 0.742 > 0.701",TRUE,0,-1
"exp3","experience","2 < 20 < 10","0.880 > 0.886 > 0.801",FALSE,0.00541066812901003,-0.5
"exp4","average","3 < 5 < 7","1.076 > 0.913 > 0.778",TRUE,0,-1
"exp4","experience","3 < 5 < 7","1.097 > 0.965 > 0.860",TRUE,0,-1
"short_exposure","experience","2 < 20 < 10","0.916 > 0.857 > 0.836",TRUE,0,-1
