"comparison","model","effect","Sum Sq","Mean Sq","df1","df2","F","p"
"compare_exp2_exp3","experience","meanVal_c",31542.9675641707,31542.9675641707,1,113.149823081337,1391.56966736199,2.05041998707125e-65
"compare_exp2_exp3","experience","array_length",5753.47863728592,2876.73931864296,2,112.372214865663,126.91206585389,1.49084649755082e-29
"compare_exp2_exp3","experience","frame",86.6746022101534,86.6746022101534,1,113.009622225349,3.82379201072126,0.0529984026260298
"compare_exp2_exp3","experience","meanVal_c:array_length",406.820494544949,203.410247272474,2,110.725891564824,8.97377615340483,0.000244419513433233
"compare_exp2_exp3","experience","meanVal_c:frame",5.87203183496014,5.87203183496014,1,113.149823480534,0.259054300160275,0.611761691346067
"compare_exp2_exp3","experience","array_length:frame",113.96711196532,56.98355598266,2,112.372214865499,2.5139228857454,0.0854942518958472
"compare_exp2_exp3","experience","meanVal_c:array_length:frame",29.3437125454245,14.6718562727123,2,110.725891568558,0.647272965407112,0.52544044659929
"compare_exp2_exp3","average","meanVal_c",29405.2959763933,29405.2959763933,1,129.587694263173,1616.19634957044,4.80175127908636e-75
"compare_exp2_exp3","average","array_length",4446.16650722869,2223.08325361435,2,130.041901145203,122.186800709882,1.37339266601969e-30
"compare_exp2_exp3","average","frame",3.61990456349988,3.61990456349988,1,130.017075493139,0.198959961022622,0.656303584910594
"compare_exp2_exp3","average","meanVal_c:array_length",810.646426061824,405.323213030912,2,133.234664576402,22.2776841907194,4.50300688299033e-09
"compare_exp2_exp3","average","meanVal_c:frame",2.27894022049779,2.27894022049779,1,129.587693791019,0.125256854010743,0.723976676780584
"compare_exp2_exp3","average","array_length:frame",85.861279869689,42.9306399348445,2,130.041901114187,2.35958664055347,0.09849191825928
"compare_exp2_exp3","average","meanVal_c:array_length:frame",7.79898830284549,3.89949415142275,2,133.234664618904,0.214326977621999,0.807362158667336
