"comparison","model","frame","array_length","slope","SE","df","ci_low","ci_high","t.ratio","p.value"
"compare_exp2_exp3","experience","no frame","2",0.921968919268064,0.0312420072526762,113.788060028678,0.860077507006075,0.983860331530053,29.5105532692394,3.78966643026629e-55
"compare_exp2_exp3","experience","Mondrian frame","2",0.878668544082494,0.0447206299435322,116.31625493361,0.790096239740229,0.967240848424759,19.6479464889464,9.37940218984492e-39
"compare_exp2_exp3","experience","no frame","10",0.82982719733018,0.0297616638052143,114.53562610176,0.770872527854872,0.888781866805489,27.8824195704003,7.11012783726023e-53
"compare_exp2_exp3","experience","Mondrian frame","10",0.798604907104866,0.0422734170654493,113.639217344741,0.714858741570187,0.882351072639545,18.8914207211694,7.43474696814274e-37
"compare_exp2_exp3","experience","no frame","20",0.878194922179291,0.0298286564884877,113.270340913086,0.81910050017827,0.937289344180312,29.4413166921624,6.68624110421906e-55
"compare_exp2_exp3","experience","Mondrian frame","20",0.881916213127315,0.042393889218205,112.5304108236,0.797922479164592,0.965909947090039,20.8029088482073,2.30514486014652e-40
"compare_exp2_exp3","average","no frame","2",0.81457577742674,0.0264691035984141,128.813093591029,0.762205288231904,0.866946266621577,30.7745887350543,3.18374657312184e-61
"compare_exp2_exp3","average","Mondrian frame","2",0.828436932357673,0.036109605969297,127.619522880606,0.756985874872934,0.899887989842412,22.9422866885357,4.0977197183683e-47
"compare_exp2_exp3","average","no frame","10",0.678555586069409,0.0258495572588416,128.608110493446,0.627410128379321,0.729701043759496,26.2501821317391,1.6849362421214e-53
"compare_exp2_exp3","average","Mondrian frame","10",0.702446856943265,0.0356024140705965,132.232863722105,0.632022910167082,0.772870803719449,19.7303153530649,3.17751601525581e-41
"compare_exp2_exp3","average","no frame","20",0.738028540027689,0.0255893661460006,127.827631829149,0.687394955636501,0.788662124418877,28.8412200527693,8.36961009200893e-58
"compare_exp2_exp3","average","Mondrian frame","20",0.739908900627101,0.0351827467941796,130.775077710918,0.670307919075392,0.80950988217881,21.0304472517622,8.72643982394033e-44
