"comparison_set","contrast","estimate","SE","df","t.ratio","p.value","condition","array_length"
"noise_overall","X2 - X6",0.0215974216919397,0.0137628315560765,42,1.56925714043228,0.406779161238184,NA,NA
"noise_overall","X2 - X8",0.0297975316608858,0.0186034531378427,42,1.60172046770566,0.388697189463037,NA,NA
"noise_overall","X2 - X12",0.0183214693335661,0.0132488783283155,42,1.38286946861074,0.516874741550394,NA,NA
"noise_overall","X6 - X8",0.008200109968946,0.0146914423050506,42,0.558155543797561,0.943798251554775,NA,NA
"noise_overall","X6 - X12",-0.00327595235837366,0.0132988451308641,42,-0.24633359710091,0.994667181653944,NA,NA
"noise_overall","X8 - X12",-0.0114760623273197,0.0169094077935933,42,-0.678679139293558,0.904603721969339,NA,NA
"noise_within_condition","X2 - X6",0.0290157857265609,0.0190160845345092,42,1.52585489793679,0.431532988768233,"average",NA
"noise_within_condition","X2 - X8",0.0316252587991719,0.0257043644007112,42,1.23034587847256,0.611418391935144,"average",NA
"noise_within_condition","X2 - X12",0.0501273838285959,0.018305956100105,42,2.73831006446631,0.043051797347786,"average",NA
"noise_within_condition","X6 - X8",0.00260947307261098,0.0202991446686245,42,0.128550887991075,0.999228592663942,"average",NA
"noise_within_condition","X6 - X12",0.021111598102035,0.0183749951592049,42,1.14893081163394,0.661745322772577,"average",NA
"noise_within_condition","X8 - X12",0.018502125029424,0.0233637043889773,42,0.79191744260183,0.857706944688457,"average",NA
"noise_within_condition","X2 - X6",0.0141790576573186,0.0199010215501651,42,0.712478885648007,0.891590188006787,"experience",NA
"noise_within_condition","X2 - X8",0.0279698045225996,0.0269005487929722,42,1.03974847271171,0.727269141080781,"experience",NA
"noise_within_condition","X2 - X12",-0.0134844451614638,0.0191578464106763,42,-0.703860176786319,0.894990378252935,"experience",NA
"noise_within_condition","X6 - X8",0.013790746865281,0.0212437904746957,42,0.649166017792715,0.915252999958851,"experience",NA
"noise_within_condition","X6 - X12",-0.0276635028187824,0.0192300982877889,42,-1.43855233627946,0.483056479529689,"experience",NA
"noise_within_condition","X8 - X12",-0.0414542496840634,0.0244509632723256,42,-1.69540353982629,0.338834451616399,"experience",NA
"condition_within_noise","average - experience",-0.000375821406067133,0.025864992558605,42,-0.0145301184686443,0.988475854594873,NA,"X2"
"condition_within_noise","average - experience",-0.0152125494753094,0.0284264493767368,42,-0.535154752311727,0.595365182311617,NA,"X6"
"condition_within_noise","average - experience",-0.00403127568263941,0.0278427288591625,42,-0.144787377093348,0.885571326230815,NA,"X8"
"condition_within_noise","average - experience",-0.0639876503961268,0.0291103397553005,42,-2.19810730255993,0.0335054442600951,NA,"X12"
