"experiment","condition","contrast","estimate","SE","df","t.ratio","p.value"
"exp1","experience","array_length2 - array_length6",0.0541895761269675,0.0915701511167505,39.5172748554407,0.591782097835315,0.933976613088261
"exp1","experience","array_length2 - array_length8",0.124898442936183,0.0851275429139522,38.6205927991254,1.46719191769028,0.466643418545017
"exp1","experience","array_length2 - array_length12",-0.0383617265799687,0.0924707450311706,38.6634296987795,-0.414852573827944,0.975602222186717
"exp1","experience","array_length6 - array_length8",0.070708866809216,0.0914390776414557,39.2713273270737,0.773289370726971,0.866020295846512
"exp1","experience","array_length6 - array_length12",-0.0925513027069362,0.0983367679576605,40.6327099250284,-0.94116681511014,0.782956944476689
"exp1","experience","array_length8 - array_length12",-0.163260169516152,0.0923446081204456,38.5957906002972,-1.76794479763465,0.30400188011873
"exp1","average","array_length2 - array_length6",0.0855370702753498,0.0834291039689573,40.7098655749855,1.02526655814471,0.735728482459149
"exp1","average","array_length2 - array_length8",0.147081639708845,0.0827417964360017,39.8210527502243,1.77759785313107,0.298948245903578
"exp1","average","array_length2 - array_length12",0.192779612379831,0.0819998739038665,42.0793198665003,2.35097449791006,0.102753531882629
"exp1","average","array_length6 - array_length8",0.0615445694334947,0.0934441606719886,43.3691908748371,0.658624027343249,0.911932835056288
"exp1","average","array_length6 - array_length12",0.107242542104481,0.0927934487784141,44.7485444619873,1.15571242923162,0.65741974163835
"exp1","average","array_length8 - array_length12",0.0456979726709861,0.0921545332154221,43.8313325397951,0.495884153242486,0.959585659922293
