"experiment","tail","condition","array_length","n_trials","mean_report","mean_obj","se_obj"
"exp1","high","average","2",31,39.741935483871,33.2258064516129,0.490138618574345
"exp1","high","average","6",40,40.125,32.025,0.766684085643811
"exp1","high","average","8",42,40.547619047619,31.952380952381,0.617168594694242
"exp1","high","average","12",49,40.5918367346939,31,0.755928946018455
"exp1","high","experience","2",27,39.6296296296296,33.6666666666667,0.436901809201096
"exp1","high","experience","6",35,40.1714285714286,33.1714285714286,0.462884115823683
"exp1","high","experience","8",36,41,32.4722222222222,0.704279561095143
"exp1","high","experience","12",62,40.8548387096774,32.2096774193548,0.433363425643482
"exp1","low","average","2",77,10.1688311688312,19.0519480519481,0.505572536683207
"exp1","low","average","6",47,10.0851063829787,18.7446808510638,0.622183262491297
"exp1","low","average","8",38,10.4736842105263,17.8421052631579,0.666754005908251
"exp1","low","average","12",26,10.0769230769231,18.4615384615385,0.811893833966693
"exp1","low","experience","2",57,10.3684210526316,17.4736842105263,0.440085192793366
"exp1","low","experience","6",44,10.8409090909091,18.1136363636364,0.662508453885915
"exp1","low","experience","8",38,10.4736842105263,18.578947368421,0.788999383366147
"exp1","low","experience","12",36,11.2222222222222,16.4166666666667,0.461837255744543
