"response_value","array_length","condition","mean_true","n_trials"
1,"2","average",14,1
1,"10","experience",18,1
1,"20","average",14,1
2,"2","experience",16,1
2,"10","experience",14.5,2
2,"20","average",16,1
2,"20","experience",14,1
3,"2","average",15,1
3,"2","experience",14,1
3,"10","average",17.5,2
3,"10","experience",30,1
4,"2","experience",14.5,2
4,"10","average",18,2
4,"10","experience",30,1
4,"20","average",17.5,6
4,"20","experience",15.1666666666667,6
5,"2","average",15,5
5,"2","experience",16.8,5
5,"10","average",24.5,2
5,"10","experience",16.3333333333333,3
5,"20","average",15.2222222222222,9
5,"20","experience",16.6666666666667,6
6,"2","average",18.25,4
6,"2","experience",16.7333333333333,15
6,"10","average",19.5,4
6,"10","experience",16,10
6,"20","average",16.7142857142857,7
6,"20","experience",16.6,10
7,"2","average",16.375,8
7,"2","experience",17.5333333333333,15
7,"10","average",17.25,12
7,"10","experience",16.5,6
7,"20","average",17.375,16
7,"20","experience",17.7916666666667,24
8,"2","average",17.2380952380952,21
8,"2","experience",16.7058823529412,17
8,"10","average",16.6666666666667,6
8,"10","experience",18.6363636363636,11
8,"20","average",16.8666666666667,30
8,"20","experience",16.1923076923077,26
9,"2","average",16.8666666666667,45
9,"2","experience",17.7916666666667,48
9,"10","average",17.12,25
9,"10","experience",20.4285714285714,7
9,"20","average",17.925,40
9,"20","experience",18.4230769230769,26
10,"2","average",16.5333333333333,45
10,"2","experience",19.03125,32
10,"10","average",17.4,20
10,"10","experience",17.3214285714286,28
10,"20","average",18.5192307692308,52
10,"20","experience",18.5945945945946,37
11,"2","average",18.0545454545455,55
11,"2","experience",18.7878787878788,66
11,"10","average",18.04,25
11,"10","experience",19,25
11,"20","average",18.21875,64
11,"20","experience",18.2045454545455,44
12,"2","average",17.7912087912088,91
12,"2","experience",17.8793103448276,58
12,"10","average",18.8039215686275,51
12,"10","experience",18.1842105263158,38
12,"20","average",18.1184210526316,76
12,"20","experience",18.734375,64
13,"2","average",18.8469387755102,98
13,"2","experience",19.1212121212121,66
13,"10","average",18.171875,64
13,"10","experience",17.7234042553191,47
13,"20","average",19.4084507042254,71
13,"20","experience",19.4354838709677,62
14,"2","average",19.5274725274725,91
14,"2","experience",19.3870967741935,93
14,"10","average",18.9506172839506,81
14,"10","experience",18.9259259259259,54
14,"20","average",19.990099009901,101
14,"20","experience",19.126582278481,79
15,"2","average",20.264,125
15,"2","experience",19.9367088607595,79
15,"10","average",18.7,80
15,"10","experience",18.5166666666667,60
15,"20","average",20.7394957983193,119
15,"20","experience",19.5844155844156,77
16,"2","average",21.2461538461538,130
16,"2","experience",20.2886597938144,97
16,"10","average",19.5684210526316,95
16,"10","experience",19.8356164383562,73
16,"20","average",20.8807339449541,109
16,"20","experience",21.0918367346939,98
17,"2","average",21.2248062015504,129
17,"2","experience",20.8859649122807,114
17,"10","average",20.7909090909091,110
17,"10","experience",21.089552238806,67
17,"20","average",22.4921875,128
17,"20","experience",20.36,100
18,"2","average",23.0082644628099,121
18,"2","experience",21.8508771929825,114
18,"10","average",21.1550387596899,129
18,"10","experience",20.063829787234,94
18,"20","average",22.2857142857143,98
18,"20","experience",21.6451612903226,93
19,"2","average",23.4545454545455,132
19,"2","experience",22.3,100
19,"10","average",21.5510204081633,147
19,"10","experience",21.1481481481481,108
19,"20","average",23.9710144927536,138
19,"20","experience",21.6707317073171,82
20,"2","average",24.0546875,128
20,"2","experience",23.21,100
20,"10","average",22.6277372262774,137
20,"10","experience",21.1926605504587,109
20,"20","average",24.0325203252033,123
20,"20","experience",23.0086206896552,116
21,"2","average",24.9037037037037,135
21,"2","experience",23.7403846153846,104
21,"10","average",23.38,150
21,"10","experience",23.0686274509804,102
21,"20","average",25.0071428571429,140
21,"20","experience",23.3203883495146,103
22,"2","average",25.9590163934426,122
22,"2","experience",25.1081081081081,111
22,"10","average",24.2480620155039,129
22,"10","experience",23.6355140186916,107
22,"20","average",25.4137931034483,145
22,"20","experience",24.4949494949495,99
23,"2","average",26.0084745762712,118
23,"2","experience",25.4128440366972,109
23,"10","average",24.472972972973,148
23,"10","experience",23.2439024390244,123
23,"20","average",26.3410852713178,129
23,"20","experience",24.9504132231405,121
24,"2","average",27.2946428571429,112
24,"2","experience",26.8925619834711,121
24,"10","average",25.8345864661654,133
24,"10","experience",23.7788461538462,104
24,"20","average",27.1703703703704,135
24,"20","experience",25.54,100
25,"2","average",29.0803571428571,112
25,"2","experience",27.7894736842105,95
25,"10","average",26.8562091503268,153
25,"10","experience",25.3130434782609,115
25,"20","average",26.9636363636364,110
25,"20","experience",27.1555555555556,90
26,"2","average",28.752380952381,105
26,"2","experience",28.4130434782609,92
26,"10","average",26.731884057971,138
26,"10","experience",25.9166666666667,108
26,"20","average",28.2456140350877,114
26,"20","experience",27,92
27,"2","average",30.0291262135922,103
27,"2","experience",28.8571428571429,77
27,"10","average",27.8067226890756,119
27,"10","experience",26.5090909090909,110
27,"20","average",29.3,110
27,"20","experience",28.7040816326531,98
28,"2","average",30.34375,96
28,"2","experience",29.6029411764706,68
28,"10","average",28.8598130841122,107
28,"10","experience",28.1388888888889,72
28,"20","average",30.3411764705882,85
28,"20","experience",28.8051948051948,77
29,"2","average",30.7,110
29,"2","experience",29.7926829268293,82
29,"10","average",30.0617283950617,81
29,"10","experience",29.0721649484536,97
29,"20","average",29.4494382022472,89
29,"20","experience",29.1717171717172,99
30,"2","average",31.5,66
30,"2","experience",30.7391304347826,69
30,"10","average",29.9278350515464,97
30,"10","experience",28.7391304347826,92
30,"20","average",31.1,80
30,"20","experience",29.4186046511628,86
31,"2","average",31.8166666666667,60
31,"2","experience",30.5901639344262,61
31,"10","average",30.7317073170732,82
31,"10","experience",29.4333333333333,90
31,"20","average",31.6101694915254,59
31,"20","experience",29.536231884058,69
32,"2","average",31.5918367346939,49
32,"2","experience",32.2203389830508,59
32,"10","average",30.3013698630137,73
32,"10","experience",28.8648648648649,74
32,"20","average",31.5409836065574,61
32,"20","experience",30.1304347826087,46
33,"2","average",31.7027027027027,37
33,"2","experience",31.406779661017,59
33,"10","average",30.8490566037736,53
33,"10","experience",30.3731343283582,67
33,"20","average",31.1304347826087,46
33,"20","experience",30.5172413793103,58
34,"2","average",32.8771929824561,57
34,"2","experience",32.4594594594595,37
34,"10","average",31.0384615384615,52
34,"10","experience",30.21875,64
34,"20","average",32.0384615384615,26
34,"20","experience",31.1,50
35,"2","average",32.8235294117647,34
35,"2","experience",32.047619047619,42
35,"10","average",32.2105263157895,38
35,"10","experience",31.6666666666667,48
35,"20","average",32.1818181818182,33
35,"20","experience",31.5652173913043,46
36,"2","average",33.5238095238095,21
36,"2","experience",31.8378378378378,37
36,"10","average",32.1923076923077,26
36,"10","experience",31.1521739130435,46
36,"20","average",32.6086956521739,23
36,"20","experience",31.6744186046512,43
37,"2","average",32.1363636363636,22
37,"2","experience",33.5151515151515,33
37,"10","average",32,20
37,"10","experience",30.9591836734694,49
37,"20","average",33.3,20
37,"20","experience",31.3823529411765,34
38,"2","average",34.1111111111111,18
38,"2","experience",32.6296296296296,27
38,"10","average",34.0833333333333,12
38,"10","experience",32.3,40
38,"20","average",33.4285714285714,14
38,"20","experience",30.0434782608696,23
39,"2","average",34,12
39,"2","experience",33.3125,16
39,"10","average",33.6923076923077,13
39,"10","experience",32.6216216216216,37
39,"20","average",32.3125,16
39,"20","experience",33.8333333333333,18
40,"2","average",33.2,10
40,"2","experience",32.1538461538462,13
40,"10","average",32.5454545454545,11
40,"10","experience",33.08,25
40,"20","average",32.8571428571429,7
40,"20","experience",32.9047619047619,21
41,"2","average",33.5,4
41,"2","experience",33.5714285714286,7
41,"10","average",32.6,5
41,"10","experience",33.5909090909091,22
41,"20","average",33,2
41,"20","experience",34.4615384615385,13
42,"2","average",33.75,8
42,"2","experience",33.1111111111111,9
42,"10","average",34.8,5
42,"10","experience",35.125,16
42,"20","average",34,6
42,"20","experience",33.0769230769231,13
43,"2","experience",33.7142857142857,7
43,"10","average",35,2
43,"10","experience",34.1428571428571,7
43,"20","experience",34.5,4
44,"2","average",33,1
44,"2","experience",34,4
44,"10","average",36,2
44,"10","experience",32.3333333333333,3
44,"20","average",30,1
44,"20","experience",34.2,5
45,"2","average",34,1
45,"2","experience",35,2
45,"10","average",34,1
45,"10","experience",32.8333333333333,6
45,"20","experience",33,1
46,"2","experience",36,2
46,"10","average",36,1
46,"10","experience",34.5,2
46,"20","experience",30,1
48,"2","experience",32,3
48,"10","experience",31.8,5
48,"20","average",36,1
48,"20","experience",31,1
