"experiment","window","condition","array_length","n_trials","mean_report","mean_obj","se_obj"
"exp2","high","average","2",52,39.4615384615385,33.8076923076923,0.33525666260023
"exp2","high","average","10",46,39.5217391304348,33.5217391304348,0.362144885777055
"exp2","high","average","20",45,39.3333333333333,33,0.4964520585763
"exp2","high","experience","2",72,39.375,32.8472222222222,0.437242981612708
"exp2","high","experience","10",140,39.55,33.05,0.255529798464664
"exp2","high","experience","20",88,39.7159090909091,32.6022727272727,0.332236874590774
"exp2","low","average","2",257,10.5836575875486,17.420233463035,0.22364128454915
"exp2","low","average","10",127,10.7086614173228,18,0.325556065303725
"exp2","low","average","20",262,10.4427480916031,18.0496183206107,0.23543392457231
"exp2","low","experience","2",221,10.4524886877828,18.2081447963801,0.245671091207012
"exp2","low","experience","10",109,10.6605504587156,18.3394495412844,0.441482263638545
"exp2","low","experience","20",197,10.4771573604061,18.2131979695431,0.287658616552266
