"comparison_set","experiment","measure","contrast","condition","estimate","SE","df","t.ratio","p.value","array_length"
"noise","exp2_batch2","slope_fwd","X2 - X10","average",0.140785443366358,0.0287767212932934,102,4.89233787030382,1.10906935559818e-05,NA
"noise","exp2_batch2","slope_fwd","X2 - X20","average",0.075948869730974,0.0312661778401786,102,2.42910630519653,0.0441697264905481,NA
"noise","exp2_batch2","slope_fwd","X10 - X20","average",-0.0648365736353836,0.0236871618450949,102,-2.73720313389127,0.0198395955844991,NA
"noise","exp2_batch2","slope_fwd","X2 - X10","experience",0.139352604299899,0.0316905524005813,102,4.39729173977237,7.95391442031113e-05,NA
"noise","exp2_batch2","slope_fwd","X2 - X20","experience",0.0409654483663431,0.0344320826932079,102,1.189746456273,0.461983480552016,NA
"noise","exp2_batch2","slope_fwd","X10 - X20","experience",-0.0983871559335563,0.0260856417943616,102,-3.77169772969981,0.000789705883676883,NA
"condition","exp2_batch2","slope_fwd","average - experience",NA,-0.135741853172852,0.0479306693507158,102,-2.8320458489659,0.00557357754459703,"X2"
"condition","exp2_batch2","slope_fwd","average - experience",NA,-0.13717469223931,0.0469612493098725,102,-2.92101880284671,0.00429564730956824,"X10"
"condition","exp2_batch2","slope_fwd","average - experience",NA,-0.170725274537483,0.0446324062540424,102,-3.82514161494531,0.000225364993618912,"X20"
"noise","exp2_batch2","slope_rev","X2 - X10","average",0.0144888441951334,0.02286715125701,102,0.633609496534547,0.801981854971572,NA
"noise","exp2_batch2","slope_rev","X2 - X20","average",-0.00569704271639827,0.0217055995558153,102,-0.262468802197723,0.962750278666565,NA
"noise","exp2_batch2","slope_rev","X10 - X20","average",-0.0201858869115317,0.0224110180695576,102,-0.900712624874079,0.641097654700817,NA
"noise","exp2_batch2","slope_rev","X2 - X10","experience",-0.015846348038191,0.0251825997748806,102,-0.629257828018119,0.804400879743169,NA
"noise","exp2_batch2","slope_rev","X2 - X20","experience",-0.0165009344866649,0.0239034333723734,102,-0.69031650096492,0.769673602792506,NA
"noise","exp2_batch2","slope_rev","X10 - X20","experience",-0.00065458644847393,0.0246802801210439,102,-0.0265226506856294,0.99961224439666,NA
"condition","exp2_batch2","slope_rev","average - experience",NA,0.103811760368965,0.034717110994019,102,2.99021886892748,0.00349458375126579,"X2"
"condition","exp2_batch2","slope_rev","average - experience",NA,0.0734765681356408,0.0385781499241157,102,1.90461616952009,0.059647199752869,"X10"
"condition","exp2_batch2","slope_rev","average - experience",NA,0.0930078685986986,0.0385641862721113,102,2.41176795336557,0.0176627830189455,"X20"
"noise","exp2_batch2","r","X2 - X10","average",0.203163103074048,0.0405316089348367,102,5.01246085248373,6.75192445331874e-06,NA
"noise","exp2_batch2","r","X2 - X20","average",0.117371636986946,0.0374803773024202,102,3.13154897134311,0.00636896675421839,NA
"noise","exp2_batch2","r","X10 - X20","average",-0.0857914660871028,0.0321984800031675,102,-2.66445702028988,0.0241379763720346,NA
"noise","exp2_batch2","r","X2 - X10","experience",0.139521148873548,0.0446356992423826,102,3.12577491204774,0.00648140454249235,NA
"noise","exp2_batch2","r","X2 - X20","experience",0.074053019923318,0.0412755104652149,102,1.79411518085831,0.176675885788433,NA
"noise","exp2_batch2","r","X10 - X20","experience",-0.0654681289502299,0.0354587865434571,102,-1.84631611321483,0.15988116633887,NA
"condition","exp2_batch2","r","average - experience",NA,-0.0208641844050303,0.0606818674561336,102,-0.343828976919882,0.73168266918534,"X2"
"condition","exp2_batch2","r","average - experience",NA,-0.0845061386055308,0.0585381473423999,102,-1.44360801361272,0.151913654681175,"X10"
"condition","exp2_batch2","r","average - experience",NA,-0.0641828014686579,0.0477215826461149,102,-1.34494285205529,0.181626560978796,"X20"
"noise","exp2_batch2","bias","X2 - X10","average",-1.94865680225412,0.263189270231914,102,-7.40401309117591,1.16828879903608e-10,NA
"noise","exp2_batch2","bias","X2 - X20","average",-0.211824254715602,0.364034776399052,102,-0.581879173223281,0.8301113835667,NA
"noise","exp2_batch2","bias","X10 - X20","average",1.73683254753852,0.239977069466798,102,7.23749377970806,2.63405186551324e-10,NA
"noise","exp2_batch2","bias","X2 - X10","experience",-2.48240826752604,0.289838903971977,102,-8.5647862778492,4.01123578797069e-13,NA
"noise","exp2_batch2","bias","X2 - X20","experience",-1.0143730799313,0.40089567673565,102,-2.53026694673031,0.0342622229230761,NA
"noise","exp2_batch2","bias","X10 - X20","experience",1.46803518759474,0.264276316171151,102,5.55492527239563,6.63489520325022e-07,NA
"condition","exp2_batch2","bias","average - experience",NA,-1.38706478385752,0.566136346083048,102,-2.45005429072743,0.0159862562900533,"X2"
"condition","exp2_batch2","bias","average - experience",NA,-1.92081624912944,0.632453154027347,102,-3.03708857628115,0.00303296411878198,"X10"
"condition","exp2_batch2","bias","average - experience",NA,-2.18961360907321,0.666672402832373,102,-3.28439215388336,0.00140108024681603,"X20"
