"bucket","bucket_label","array_length","condition","value","n_trials","direction"
1,"0-2","2","experience",16,1,"reverse"
1,"0-2","10","experience",14,1,"reverse"
1,"0-2","20","average",15,2,"reverse"
1,"0-2","20","experience",14,1,"reverse"
4,"3-5","2","average",15,5,"reverse"
4,"3-5","2","experience",17.25,4,"reverse"
4,"3-5","10","average",20,6,"reverse"
4,"3-5","10","experience",30,2,"reverse"
4,"3-5","20","average",16.1428571428571,14,"reverse"
4,"3-5","20","experience",16,4,"reverse"
7,"6-8","2","average",16.8846153846154,26,"reverse"
7,"6-8","2","experience",17,31,"reverse"
7,"6-8","10","average",17.2857142857143,14,"reverse"
7,"6-8","10","experience",17.5238095238095,21,"reverse"
7,"6-8","20","average",16.85,40,"reverse"
7,"6-8","20","experience",16.3333333333333,33,"reverse"
10,"9-11","2","average",17.25,108,"reverse"
10,"9-11","2","experience",18.7391304347826,92,"reverse"
10,"9-11","10","average",17.6530612244898,49,"reverse"
10,"9-11","10","experience",18.4857142857143,35,"reverse"
10,"9-11","20","average",18.3693693693694,111,"reverse"
10,"9-11","20","experience",18.359375,64,"reverse"
13,"12-14","2","average",19.1083743842365,203,"reverse"
13,"12-14","2","experience",18.8965517241379,145,"reverse"
13,"12-14","10","average",18.95,140,"reverse"
13,"12-14","10","experience",18.3956043956044,91,"reverse"
13,"12-14","20","average",19.5290697674419,172,"reverse"
13,"12-14","20","experience",18.9370078740157,127,"reverse"
16,"15-17","2","average",21.321568627451,255,"reverse"
16,"15-17","2","experience",20.419689119171,193,"reverse"
16,"15-17","10","average",19.8928571428571,196,"reverse"
16,"15-17","10","experience",20.1338582677165,127,"reverse"
16,"15-17","20","average",21.3858921161826,241,"reverse"
16,"15-17","20","experience",20.50625,160,"reverse"
19,"18-20","2","average",23.7102040816327,245,"reverse"
19,"18-20","2","experience",22.3837209302326,172,"reverse"
19,"18-20","10","average",21.9888475836431,269,"reverse"
19,"18-20","10","experience",20.7977528089888,178,"reverse"
19,"18-20","20","average",23.5434782608696,230,"reverse"
19,"18-20","20","experience",22.0718232044199,181,"reverse"
22,"21-23","2","average",25.965811965812,234,"reverse"
22,"21-23","2","experience",24.3389830508475,177,"reverse"
22,"21-23","10","average",24.0813559322034,295,"reverse"
22,"21-23","10","experience",22.98,200,"reverse"
22,"21-23","20","average",25.8534798534799,273,"reverse"
22,"21-23","20","experience",23.8603351955307,179,"reverse"
25,"24-26","2","average",28.7294685990338,207,"reverse"
25,"24-26","2","experience",27.7322404371585,183,"reverse"
25,"24-26","10","average",26.5259259259259,270,"reverse"
25,"24-26","10","experience",24.6530612244898,196,"reverse"
25,"24-26","20","average",27.6371308016878,237,"reverse"
25,"24-26","20","experience",26.2235294117647,170,"reverse"
28,"27-29","2","average",30.5545023696682,211,"reverse"
28,"27-29","2","experience",29.1313868613139,137,"reverse"
28,"27-29","10","average",28.6782178217822,202,"reverse"
28,"27-29","10","experience",27.7345679012346,162,"reverse"
28,"27-29","20","average",29.6943005181347,193,"reverse"
28,"27-29","20","experience",28.5243902439024,164,"reverse"
31,"30-32","2","average",31.8727272727273,110,"reverse"
31,"30-32","2","experience",30.8181818181818,121,"reverse"
31,"30-32","10","average",30.6130952380952,168,"reverse"
31,"30-32","10","experience",28.6086956521739,161,"reverse"
31,"30-32","20","average",31.4214876033058,121,"reverse"
31,"30-32","20","experience",29.6015037593985,133,"reverse"
34,"33-35","2","average",32.5802469135802,81,"reverse"
34,"33-35","2","experience",32.0224719101124,89,"reverse"
34,"33-35","10","average",31.0978260869565,92,"reverse"
34,"33-35","10","experience",30.5217391304348,115,"reverse"
34,"33-35","20","average",31.25,64,"reverse"
34,"33-35","20","experience",30.9032258064516,93,"reverse"
37,"36-38","2","average",33.0769230769231,39,"reverse"
37,"36-38","2","experience",32.6153846153846,65,"reverse"
37,"36-38","10","average",32,37,"reverse"
37,"36-38","10","experience",31.0588235294118,85,"reverse"
37,"36-38","20","average",33.4117647058824,34,"reverse"
37,"36-38","20","experience",31,69,"reverse"
40,"39-41","2","average",33.6923076923077,13,"reverse"
40,"39-41","2","experience",32.75,24,"reverse"
40,"39-41","10","average",32.5294117647059,17,"reverse"
40,"39-41","10","experience",33.1458333333333,48,"reverse"
40,"39-41","20","average",32.5263157894737,19,"reverse"
40,"39-41","20","experience",33.6585365853659,41,"reverse"
43,"42-44","2","average",33.75,8,"reverse"
43,"42-44","2","experience",32.6,10,"reverse"
43,"42-44","10","average",35.4,5,"reverse"
43,"42-44","10","experience",34.4,20,"reverse"
43,"42-44","20","average",33.4285714285714,7,"reverse"
43,"42-44","20","experience",33.4210526315789,19,"reverse"
46,"45-47","2","average",34,1,"reverse"
46,"45-47","2","experience",35.3333333333333,3,"reverse"
46,"45-47","10","average",35,2,"reverse"
46,"45-47","10","experience",34.2,5,"reverse"
46,"45-47","20","experience",31.5,2,"reverse"
49,"48-50","2","experience",32,3,"reverse"
49,"48-50","10","experience",31.8,5,"reverse"
49,"48-50","20","experience",31,1,"reverse"
13,"12-14","2","average",12.719512195122,82,"forward"
13,"12-14","2","experience",12.843137254902,51,"forward"
13,"12-14","10","average",15.7710843373494,83,"forward"
13,"12-14","10","experience",15.7323943661972,71,"forward"
13,"12-14","20","average",13.474358974359,78,"forward"
13,"12-14","20","experience",13.15,60,"forward"
16,"15-17","2","average",13.9015544041451,193,"forward"
16,"15-17","2","experience",14.2324324324324,185,"forward"
16,"15-17","10","average",17.162037037037,216,"forward"
16,"15-17","10","experience",17.7368421052632,171,"forward"
16,"15-17","20","average",14.4094827586207,232,"forward"
16,"15-17","20","experience",15.6306818181818,176,"forward"
19,"18-20","2","average",15.9878542510121,247,"forward"
19,"18-20","2","experience",16.8617021276596,188,"forward"
19,"18-20","10","average",18.6448979591837,245,"forward"
19,"18-20","10","experience",20.2331606217617,193,"forward"
19,"18-20","20","average",17.047619047619,231,"forward"
19,"18-20","20","experience",17.7871287128713,202,"forward"
22,"21-23","2","average",18.5518867924528,212,"forward"
22,"21-23","2","experience",19.0642201834862,218,"forward"
22,"21-23","10","average",20.9341085271318,258,"forward"
22,"21-23","10","experience",22.0657276995305,213,"forward"
22,"21-23","20","average",19.1285714285714,210,"forward"
22,"21-23","20","experience",20.678391959799,199,"forward"
25,"24-26","2","average",21.3054393305439,239,"forward"
25,"24-26","2","experience",22.2432432432432,185,"forward"
25,"24-26","10","average",22.9603524229075,227,"forward"
25,"24-26","10","experience",25.585798816568,169,"forward"
25,"24-26","20","average",21.0905172413793,232,"forward"
25,"24-26","20","experience",23.6397849462366,186,"forward"
28,"27-29","2","average",23.6985645933014,209,"forward"
28,"27-29","2","experience",24.8586387434555,191,"forward"
28,"27-29","10","average",24.9264069264069,231,"forward"
28,"27-29","10","experience",26.9308510638298,188,"forward"
28,"27-29","20","average",23.673640167364,239,"forward"
28,"27-29","20","experience",26.2376237623762,202,"forward"
31,"30-32","2","average",25.9823008849558,226,"forward"
31,"30-32","2","experience",28.3814432989691,194,"forward"
31,"30-32","10","average",26.621359223301,206,"forward"
31,"30-32","10","experience",29.49,200,"forward"
31,"30-32","20","average",25.2232142857143,224,"forward"
31,"30-32","20","experience",29.3867403314917,181,"forward"
34,"33-35","2","average",28.4285714285714,245,"forward"
34,"33-35","2","experience",30.9945054945055,182,"forward"
34,"33-35","10","average",29.6333333333333,210,"forward"
34,"33-35","10","experience",32.2444444444444,180,"forward"
34,"33-35","20","average",28.16,225,"forward"
34,"33-35","20","experience",31.551724137931,174,"forward"
37,"36-38","2","average",30.741935483871,93,"forward"
37,"36-38","2","experience",34.3392857142857,56,"forward"
37,"36-38","10","average",30.2093023255814,86,"forward"
37,"36-38","10","experience",35.7014925373134,67,"forward"
37,"36-38","20","average",29.9770114942529,87,"forward"
37,"36-38","20","experience",33.2295081967213,61,"forward"
