"participant_id","condition","array_length","band","n_trials","dist","inward"
"average.55a56724fdf99b7973398109","average","2","extreme",14,7.20186335403727,2.5
"average.55a56724fdf99b7973398109","average","2","middle",17,2.5460358056266,-0.470588235294118
"average.55a56724fdf99b7973398109","average","10","extreme",16,7.69565217391304,1.375
"average.55a56724fdf99b7973398109","average","10","middle",16,2.60869565217391,-1.1875
"average.55a56724fdf99b7973398109","average","20","extreme",19,7.72196796338673,-0.157894736842105
"average.55a56724fdf99b7973398109","average","20","middle",10,2.2,-0.4
"average.55d35a63da14d7001295328e","average","2","extreme",18,8.02329749103943,-1.16666666666667
"average.55d35a63da14d7001295328e","average","2","middle",13,2.71464019851117,-1.07692307692308
"average.55d35a63da14d7001295328e","average","10","extreme",10,7.74193548387097,1.7
"average.55d35a63da14d7001295328e","average","10","middle",20,3.35268817204301,-1
"average.55d35a63da14d7001295328e","average","20","extreme",20,7.77096774193548,-2.3
"average.55d35a63da14d7001295328e","average","20","middle",12,3.04390681003584,-2.25
"average.55d4d11258c35800113dc2ab","average","2","extreme",14,8.04945054945055,1
"average.55d4d11258c35800113dc2ab","average","2","middle",13,2.59763313609467,-3.23076923076923
"average.55d4d11258c35800113dc2ab","average","10","extreme",18,8.46581196581197,2.16666666666667
"average.55d4d11258c35800113dc2ab","average","10","middle",14,2.94505494505494,-1.5
"average.55d4d11258c35800113dc2ab","average","20","extreme",18,8.67094017094017,1.11111111111111
"average.55d4d11258c35800113dc2ab","average","20","middle",14,2.61538461538461,-0.142857142857143
"average.56e6a66af6ed900006a5867c","average","2","extreme",13,8.39525368248773,1.07692307692308
"average.56e6a66af6ed900006a5867c","average","2","middle",19,2.56159014557671,-1.05263157894737
"average.56e6a66af6ed900006a5867c","average","10","extreme",8,8.18351063829787,0.875
"average.56e6a66af6ed900006a5867c","average","10","middle",24,2.8386524822695,2.375
"average.56e6a66af6ed900006a5867c","average","20","extreme",19,8.54031354983203,4.21052631578947
"average.56e6a66af6ed900006a5867c","average","20","middle",11,2.7147001934236,5.72727272727273
